Date,Size,P/B RATIO
12/31/14,"643,120,129,220",5.765
1/1/15,"643,120,129,220",5.765
1/2/15,"643,120,129,220",5.765
1/5/15,"643,120,129,220",5.765
1/6/15,"643,120,129,220",5.765
1/7/15,"643,120,129,220",5.765
1/8/15,"643,120,129,220",5.765
1/9/15,"643,120,129,220",5.765
1/12/15,"643,120,129,220",5.765
1/13/15,"643,120,129,220",5.765
1/14/15,"643,120,129,220",5.765
1/15/15,"643,120,129,220",5.765
1/16/15,"643,120,129,220",5.765
1/19/15,"643,120,129,220",5.765
1/20/15,"643,120,129,220",5.765
1/21/15,"643,120,129,220",5.765
1/22/15,"643,120,129,220",5.765
1/23/15,"643,120,129,220",5.765
1/26/15,"643,120,129,220",5.765
1/27/15,"643,120,129,220",5.765
1/28/15,"643,120,129,220",5.765
1/29/15,"643,120,129,220",5.765
1/30/15,"643,120,129,220",5.765
2/2/15,"643,120,129,220",5.765
2/3/15,"643,120,129,220",5.765
2/4/15,"643,120,129,220",5.765
2/5/15,"643,120,129,220",5.765
2/6/15,"643,120,129,220",5.765
2/9/15,"643,120,129,220",5.765
2/10/15,"643,120,129,220",5.765
2/11/15,"643,120,129,220",5.765
2/12/15,"643,120,129,220",5.765
2/13/15,"643,120,129,220",5.765
2/16/15,"643,120,129,220",5.765
2/17/15,"643,120,129,220",5.765
2/18/15,"643,120,129,220",5.765
2/19/15,"643,120,129,220",5.765
2/20/15,"643,120,129,220",5.765
2/23/15,"643,120,129,220",5.765
2/24/15,"643,120,129,220",5.765
2/25/15,"643,120,129,220",5.765
2/26/15,"643,120,129,220",5.765
2/27/15,"643,120,129,220",5.765
3/2/15,"643,120,129,220",5.765
3/3/15,"643,120,129,220",5.765
3/4/15,"643,120,129,220",5.765
3/5/15,"643,120,129,220",5.765
3/6/15,"643,120,129,220",5.765
3/9/15,"643,120,129,220",5.765
3/10/15,"643,120,129,220",5.765
3/11/15,"643,120,129,220",5.765
3/12/15,"643,120,129,220",5.765
3/13/15,"643,120,129,220",5.765
3/16/15,"643,120,129,220",5.765
3/17/15,"643,120,129,220",5.765
3/18/15,"643,120,129,220",5.765
3/19/15,"643,120,129,220",5.765
3/20/15,"643,120,129,220",5.765
3/23/15,"643,120,129,220",5.765
3/24/15,"643,120,129,220",5.765
3/25/15,"643,120,129,220",5.765
3/26/15,"643,120,129,220",5.765
3/27/15,"643,120,129,220",5.765
3/30/15,"643,120,129,220",5.765
3/31/15,"643,120,129,220",5.765
4/1/15,"717,000,251,540",5.814
4/2/15,"717,000,251,540",5.814
4/3/15,"717,000,251,540",5.814
4/6/15,"717,000,251,540",5.814
4/7/15,"717,000,251,540",5.814
4/8/15,"717,000,251,540",5.814
4/9/15,"717,000,251,540",5.814
4/10/15,"717,000,251,540",5.814
4/13/15,"717,000,251,540",5.814
4/14/15,"717,000,251,540",5.814
4/15/15,"717,000,251,540",5.814
4/16/15,"717,000,251,540",5.814
4/17/15,"717,000,251,540",5.814
4/20/15,"717,000,251,540",5.814
4/21/15,"717,000,251,540",5.814
4/22/15,"717,000,251,540",5.814
4/23/15,"717,000,251,540",5.814
4/24/15,"717,000,251,540",5.814
4/27/15,"717,000,251,540",5.814
4/28/15,"717,000,251,540",5.814
4/29/15,"717,000,251,540",5.814
4/30/15,"717,000,251,540",5.814
5/1/15,"717,000,251,540",5.814
5/4/15,"717,000,251,540",5.814
5/5/15,"717,000,251,540",5.814
5/6/15,"717,000,251,540",5.814
5/7/15,"717,000,251,540",5.814
5/8/15,"717,000,251,540",5.814
5/11/15,"717,000,251,540",5.814
5/12/15,"717,000,251,540",5.814
5/13/15,"717,000,251,540",5.814
5/14/15,"717,000,251,540",5.814
5/15/15,"717,000,251,540",5.814
5/18/15,"717,000,251,540",5.814
5/19/15,"717,000,251,540",5.814
5/20/15,"717,000,251,540",5.814
5/21/15,"717,000,251,540",5.814
5/22/15,"717,000,251,540",5.814
5/25/15,"717,000,251,540",5.814
5/26/15,"717,000,251,540",5.814
5/27/15,"717,000,251,540",5.814
5/28/15,"717,000,251,540",5.814
5/29/15,"717,000,251,540",5.814
6/1/15,"717,000,251,540",5.814
6/2/15,"717,000,251,540",5.814
6/3/15,"717,000,251,540",5.814
