Date,Size,P/B RATIO
12/31/14,"2,242,976,192",1.25
1/1/15,"2,242,976,192",1.25
1/2/15,"2,242,976,192",1.25
1/5/15,"2,242,976,192",1.25
1/6/15,"2,242,976,192",1.25
1/7/15,"2,242,976,192",1.25
1/8/15,"2,242,976,192",1.25
1/9/15,"2,242,976,192",1.25
1/12/15,"2,242,976,192",1.25
1/13/15,"2,242,976,192",1.25
1/14/15,"2,242,976,192",1.25
1/15/15,"2,242,976,192",1.25
1/16/15,"2,242,976,192",1.25
1/19/15,"2,242,976,192",1.25
1/20/15,"2,242,976,192",1.25
1/21/15,"2,242,976,192",1.25
1/22/15,"2,242,976,192",1.25
1/23/15,"2,242,976,192",1.25
1/26/15,"2,242,976,192",1.25
1/27/15,"2,242,976,192",1.25
1/28/15,"2,242,976,192",1.25
1/29/15,"2,242,976,192",1.25
1/30/15,"2,242,976,192",1.25
2/2/15,"2,242,976,192",1.25
2/3/15,"2,242,976,192",1.25
2/4/15,"2,242,976,192",1.25
2/5/15,"2,242,976,192",1.25
2/6/15,"2,242,976,192",1.25
2/9/15,"2,242,976,192",1.25
2/10/15,"2,242,976,192",1.25
2/11/15,"2,242,976,192",1.25
2/12/15,"2,242,976,192",1.25
2/13/15,"2,242,976,192",1.25
2/16/15,"2,242,976,192",1.25
2/17/15,"2,242,976,192",1.25
2/18/15,"2,242,976,192",1.25
2/19/15,"2,242,976,192",1.25
2/20/15,"2,242,976,192",1.25
2/23/15,"2,242,976,192",1.25
2/24/15,"2,242,976,192",1.25
2/25/15,"2,242,976,192",1.25
2/26/15,"2,242,976,192",1.25
2/27/15,"2,242,976,192",1.25
3/2/15,"2,242,976,192",1.25
3/3/15,"2,242,976,192",1.25
3/4/15,"2,242,976,192",1.25
3/5/15,"2,242,976,192",1.25
3/6/15,"2,242,976,192",1.25
3/9/15,"2,242,976,192",1.25
3/10/15,"2,242,976,192",1.25
3/11/15,"2,242,976,192",1.25
3/12/15,"2,242,976,192",1.25
3/13/15,"2,242,976,192",1.25
3/16/15,"2,242,976,192",1.25
3/17/15,"2,242,976,192",1.25
3/18/15,"2,242,976,192",1.25
3/19/15,"2,242,976,192",1.25
3/20/15,"2,242,976,192",1.25
3/23/15,"2,242,976,192",1.25
3/24/15,"2,242,976,192",1.25
3/25/15,"2,242,976,192",1.25
3/26/15,"2,242,976,192",1.25
3/27/15,"2,242,976,192",1.25
3/30/15,"2,242,976,192",1.25
3/31/15,"2,242,976,192",1.25
4/1/15,"2,242,976,192",1.25
4/2/15,"2,242,976,192",1.25
4/3/15,"2,242,976,192",1.25
4/6/15,"2,242,976,192",1.25
4/7/15,"2,242,976,192",1.25
4/8/15,"2,242,976,192",1.25
4/9/15,"2,242,976,192",1.25
4/10/15,"2,242,976,192",1.25
4/13/15,"2,242,976,192",1.25
4/14/15,"2,242,976,192",1.25
4/15/15,"2,242,976,192",1.25
4/16/15,"2,242,976,192",1.25
4/17/15,"2,242,976,192",1.25
4/20/15,"2,242,976,192",1.25
4/21/15,"2,242,976,192",1.25
4/22/15,"2,242,976,192",1.25
4/23/15,"2,242,976,192",1.25
4/24/15,"2,242,976,192",1.25
4/27/15,"2,242,976,192",1.25
4/28/15,"2,242,976,192",1.25
4/29/15,"2,242,976,192",1.25
4/30/15,"2,242,976,192",1.25
5/1/15,"2,242,976,192",1.25
5/4/15,"2,242,976,192",1.25
5/5/15,"2,242,976,192",1.25
5/6/15,"2,242,976,192",1.25
5/7/15,"2,242,976,192",1.25
5/8/15,"2,242,976,192",1.25
