Date,Size,P/B RATIO
3/31/17,"483,591,738",2.312
4/3/17,"483,591,738",2.312
4/4/17,"483,591,738",2.312
4/5/17,"483,591,738",2.312
4/6/17,"483,591,738",2.312
4/7/17,"483,591,738",2.312
4/10/17,"483,591,738",2.312
4/11/17,"483,591,738",2.312
4/12/17,"483,591,738",2.312
4/13/17,"483,591,738",2.312
4/14/17,"483,591,738",2.312
4/17/17,"483,591,738",2.312
4/18/17,"483,591,738",2.312
4/19/17,"483,591,738",2.312
4/20/17,"483,591,738",2.312
4/21/17,"483,591,738",2.312
4/24/17,"483,591,738",2.312
4/25/17,"483,591,738",2.312
4/26/17,"483,591,738",2.312
4/27/17,"483,591,738",2.312
4/28/17,"483,591,738",2.312
5/1/17,"483,591,738",2.312
5/2/17,"483,591,738",2.312
5/3/17,"483,591,738",2.312
5/4/17,"483,591,738",2.312
5/5/17,"483,591,738",2.312
5/8/17,"483,591,738",2.312
5/9/17,"483,591,738",2.312
5/10/17,"483,591,738",2.312
5/11/17,"483,591,738",2.312
5/12/17,"483,591,738",2.312
5/15/17,"483,591,738",2.312
5/16/17,"483,591,738",2.312
5/17/17,"483,591,738",2.312
5/18/17,"483,591,738",2.312
5/19/17,"483,591,738",2.312
5/22/17,"483,591,738",2.312
5/23/17,"483,591,738",2.312
5/24/17,"483,591,738",2.312
5/25/17,"483,591,738",2.312
5/26/17,"483,591,738",2.312
5/29/17,"483,591,738",2.312
5/30/17,"483,591,738",2.312
5/31/17,"483,591,738",2.312
6/1/17,"483,591,738",2.312
6/2/17,"483,591,738",2.312
6/5/17,"483,591,738",2.312
6/6/17,"483,591,738",2.312
6/7/17,"483,591,738",2.312
6/8/17,"483,591,738",2.312
6/9/17,"483,591,738",2.312
6/12/17,"483,591,738",2.312
6/13/17,"483,591,738",2.312
6/14/17,"483,591,738",2.312
6/15/17,"483,591,738",2.312
6/16/17,"483,591,738",2.312
6/19/17,"483,591,738",2.312
6/20/17,"483,591,738",2.312
6/21/17,"483,591,738",2.312
6/22/17,"483,591,738",2.312
6/23/17,"483,591,738",2.312
6/26/17,"483,591,738",2.312
6/27/17,"483,591,738",2.312
6/28/17,"483,591,738",2.312
6/29/17,"483,591,738",2.312
6/30/17,"483,591,738",2.312
7/3/17,"483,591,738",2.312
7/4/17,"483,591,738",2.312
7/5/17,"483,591,738",2.312
7/6/17,"483,591,738",2.312
7/7/17,"483,591,738",2.312
7/10/17,"483,591,738",2.312
7/11/17,"483,591,738",2.312
7/12/17,"483,591,738",2.312
7/13/17,"483,591,738",2.312
7/14/17,"483,591,738",2.312
7/17/17,"483,591,738",2.312
7/18/17,"483,591,738",2.312
7/19/17,"483,591,738",2.312
7/20/17,"483,591,738",2.312
7/21/17,"483,591,738",2.312
7/24/17,"483,591,738",2.312
7/25/17,"483,591,738",2.312
7/26/17,"483,591,738",2.312
7/27/17,"483,591,738",2.312
7/28/17,"483,591,738",2.312
7/31/17,"483,591,738",2.312
8/1/17,"483,591,738",2.312
8/2/17,"483,591,738",2.312
8/3/17,"483,591,738",2.312
8/4/17,"483,591,738",2.312
8/7/17,"483,591,738",2.312
8/8/17,"483,591,738",2.312
8/9/17,"483,591,738",2.312
8/10/17,"483,591,738",2.312
8/11/17,"483,591,738",2.312
8/14/17,"483,591,738",2.312
8/15/17,"483,591,738",2.312
8/16/17,"483,591,738",2.312
8/17/17,"483,591,738",2.312
8/18/17,"483,591,738",2.312
8/21/17,"483,591,738",2.312
8/22/17,"483,591,738",2.312
8/23/17,"483,591,738",2.312
8/24/17,"483,591,738",2.312
8/25/17,"483,591,738",2.312
8/28/17,"483,591,738",2.312
8/29/17,"483,591,738",2.312
8/30/17,"483,591,738",2.312
8/31/17,"483,591,738",2.312
9/1/17,"483,591,738",2.312
9/4/17,"483,591,738",2.312
9/5/17,"483,591,738",2.312
9/6/17,"483,591,738",2.312
9/7/17,"483,591,738",2.312
9/8/17,"483,591,738",2.312
9/11/17,"483,591,738",2.312
9/12/17,"483,591,738",2.312
9/13/17,"483,591,738",2.312
9/14/17,"483,591,738",2.312
9/15/17,"483,591,738",2.312
9/18/17,"483,591,738",2.312
9/19/17,"483,591,738",2.312
9/20/17,"483,591,738",2.312
9/21/17,"483,591,738",2.312
9/22/17,"483,591,738",2.312
9/25/17,"483,591,738",2.312
9/26/17,"483,591,738",2.312
9/27/17,"483,591,738",2.312
9/28/17,"483,591,738",2.312
9/29/17,"483,591,738",2.312
10/2/17,"483,591,738",2.312
10/3/17,"483,591,738",2.312
10/4/17,"483,591,738",2.312
10/5/17,"483,591,738",2.312
10/6/17,"483,591,738",2.312
10/9/17,"483,591,738",2.312
10/10/17,"483,591,738",2.312
10/11/17,"483,591,738",2.312
10/12/17,"483,591,738",2.312
10/13/17,"483,591,738",2.312
10/16/17,"483,591,738",2.312
10/17/17,"483,591,738",2.312
10/18/17,"483,591,738",2.312
10/19/17,"483,591,738",2.312
10/20/17,"483,591,738",2.312
10/23/17,"483,591,738",2.312
10/24/17,"483,591,738",2.312
10/25/17,"483,591,738",2.312
10/26/17,"483,591,738",2.312
10/27/17,"483,591,738",2.312
10/30/17,"483,591,738",2.312
10/31/17,"483,591,738",2.312
11/1/17,"483,591,738",2.312
11/2/17,"483,591,738",2.312
11/3/17,"483,591,738",2.312
11/6/17,"483,591,738",2.312
11/7/17,"483,591,738",2.312
11/8/17,"483,591,738",2.312
11/9/17,"483,591,738",2.312
11/10/17,"483,591,738",2.312
11/13/17,"483,591,738",2.312
11/14/17,"483,591,738",2.312
11/15/17,"483,591,738",2.312
11/16/17,"483,591,738",2.312
11/17/17,"483,591,738",2.312
11/20/17,"483,591,738",2.312
11/21/17,"483,591,738",2.312
11/22/17,"483,591,738",2.312
11/23/17,"483,591,738",2.312
11/24/17,"483,591,738",2.312
11/27/17,"483,591,738",2.312
11/28/17,"483,591,738",2.312
11/29/17,"483,591,738",2.312
11/30/17,"483,591,738",2.312
12/1/17,"483,591,738",2.312
12/4/17,"483,591,738",2.312
12/5/17,"483,591,738",2.312
12/6/17,"483,591,738",2.312
12/7/17,"483,591,738",2.312
12/8/17,"483,591,738",2.312
12/11/17,"483,591,738",2.312
12/12/17,"483,591,738",2.312
12/13/17,"483,591,738",2.312
12/14/17,"483,591,738",2.312
12/15/17,"483,591,738",2.312
12/18/17,"483,591,738",2.312
12/19/17,"483,591,738",2.312
12/20/17,"483,591,738",2.312
12/21/17,"483,591,738",2.312
12/22/17,"483,591,738",2.312
12/25/17,"483,591,738",2.312
12/26/17,"483,591,738",2.312
12/27/17,"483,591,738",2.312
12/28/17,"483,591,738",2.312
12/29/17,"483,591,738",2.312
1/1/18,"483,591,738",2.312
1/2/18,"483,591,738",2.312
1/3/18,"483,591,738",2.312
1/4/18,"483,591,738",2.312
1/5/18,"483,591,738",2.312
1/8/18,"483,591,738",2.312
1/9/18,"483,591,738",2.312
1/10/18,"483,591,738",2.312
1/11/18,"483,591,738",2.312
1/12/18,"483,591,738",2.312
1/15/18,"483,591,738",2.312
1/16/18,"483,591,738",2.312
1/17/18,"483,591,738",2.312
1/18/18,"483,591,738",2.312
1/19/18,"483,591,738",2.312
1/22/18,"483,591,738",2.312
1/23/18,"483,591,738",2.312
1/24/18,"483,591,738",2.312
1/25/18,"483,591,738",2.312
1/26/18,"483,591,738",2.312
1/29/18,"483,591,738",2.312
1/30/18,"483,591,738",2.312
1/31/18,"483,591,738",2.312
2/1/18,"483,591,738",2.312
2/2/18,"483,591,738",2.312
2/5/18,"483,591,738",2.312
2/6/18,"483,591,738",2.312
2/7/18,"483,591,738",2.312
2/8/18,"483,591,738",2.312
2/9/18,"483,591,738",2.312
2/12/18,"483,591,738",2.312
2/13/18,"483,591,738",2.312
2/14/18,"483,591,738",2.312
2/15/18,"483,591,738",2.312
2/16/18,"483,591,738",2.312
2/19/18,"483,591,738",2.312
2/20/18,"483,591,738",2.312
2/21/18,"483,591,738",2.312
2/22/18,"483,591,738",2.312
2/23/18,"483,591,738",2.312
2/26/18,"483,591,738",2.312
2/27/18,"483,591,738",2.312
2/28/18,"483,591,738",2.312
3/1/18,"483,591,738",2.312
3/2/18,"483,591,738",2.312
3/5/18,"483,591,738",2.312
3/6/18,"483,591,738",2.312
3/7/18,"483,591,738",2.312
3/8/18,"483,591,738",2.312
3/9/18,"483,591,738",2.312
3/12/18,"483,591,738",2.312
3/13/18,"483,591,738",2.312
3/14/18,"483,591,738",2.312
3/15/18,"483,591,738",2.312
3/16/18,"483,591,738",2.312
3/19/18,"483,591,738",2.312
3/20/18,"483,591,738",2.312
3/21/18,"483,591,738",2.312
3/22/18,"483,591,738",2.312
3/23/18,"483,591,738",2.312
3/26/18,"483,591,738",2.312
3/27/18,"483,591,738",2.312
3/28/18,"483,591,738",2.312
3/29/18,"483,591,738",2.312
3/30/18,"483,591,738",2.312
4/2/18,"344,302,005",1.853
4/3/18,"344,302,005",1.853
4/4/18,"344,302,005",1.853
4/5/18,"344,302,005",1.853
4/6/18,"344,302,005",1.853
4/9/18,"344,302,005",1.853
4/10/18,"344,302,005",1.853
4/11/18,"344,302,005",1.853
4/12/18,"344,302,005",1.853
4/13/18,"344,302,005",1.853
4/16/18,"344,302,005",1.853
4/17/18,"344,302,005",1.853
4/18/18,"344,302,005",1.853
4/19/18,"344,302,005",1.853
4/20/18,"344,302,005",1.853
4/23/18,"344,302,005",1.853
4/24/18,"344,302,005",1.853
4/25/18,"344,302,005",1.853
4/26/18,"344,302,005",1.853
4/27/18,"344,302,005",1.853
4/30/18,"344,302,005",1.853
5/1/18,"344,302,005",1.853
5/2/18,"344,302,005",1.853
5/3/18,"344,302,005",1.853
5/4/18,"344,302,005",1.853
5/7/18,"344,302,005",1.853
5/8/18,"344,302,005",1.853
5/9/18,"344,302,005",1.853
5/10/18,"344,302,005",1.853
5/11/18,"344,302,005",1.853
5/14/18,"344,302,005",1.853
5/15/18,"344,302,005",1.853
5/16/18,"344,302,005",1.853
5/17/18,"344,302,005",1.853
5/18/18,"344,302,005",1.853
5/21/18,"344,302,005",1.853
5/22/18,"344,302,005",1.853
5/23/18,"344,302,005",1.853
5/24/18,"344,302,005",1.853
5/25/18,"344,302,005",1.853
5/28/18,"344,302,005",1.853
5/29/18,"344,302,005",1.853
5/30/18,"344,302,005",1.853
5/31/18,"344,302,005",1.853
6/1/18,"344,302,005",1.853
6/4/18,"344,302,005",1.853
6/5/18,"344,302,005",1.853
6/6/18,"344,302,005",1.853
6/7/18,"344,302,005",1.853
6/8/18,"344,302,005",1.853
6/11/18,"344,302,005",1.853
6/12/18,"344,302,005",1.853
6/13/18,"344,302,005",1.853
6/14/18,"344,302,005",1.853
6/15/18,"344,302,005",1.853
6/18/18,"344,302,005",1.853
6/19/18,"344,302,005",1.853
6/20/18,"344,302,005",1.853
6/21/18,"344,302,005",1.853
6/22/18,"344,302,005",1.853
6/25/18,"344,302,005",1.853
6/26/18,"344,302,005",1.853
6/27/18,"344,302,005",1.853
6/28/18,"344,302,005",1.853
6/29/18,"344,302,005",1.853
7/2/18,"344,302,005",1.853
7/3/18,"344,302,005",1.853
7/4/18,"344,302,005",1.853
7/5/18,"344,302,005",1.853
7/6/18,"344,302,005",1.853
7/9/18,"344,302,005",1.853
7/10/18,"344,302,005",1.853
7/11/18,"344,302,005",1.853
7/12/18,"344,302,005",1.853
7/13/18,"344,302,005",1.853
7/16/18,"344,302,005",1.853
7/17/18,"344,302,005",1.853
7/18/18,"344,302,005",1.853
7/19/18,"344,302,005",1.853
7/20/18,"344,302,005",1.853
7/23/18,"344,302,005",1.853
7/24/18,"344,302,005",1.853
7/25/18,"344,302,005",1.853
7/26/18,"344,302,005",1.853
7/27/18,"344,302,005",1.853
7/30/18,"344,302,005",1.853
7/31/18,"344,302,005",1.853
8/1/18,"344,302,005",1.853
8/2/18,"344,302,005",1.853
8/3/18,"344,302,005",1.853
8/6/18,"344,302,005",1.853
8/7/18,"344,302,005",1.853
8/8/18,"344,302,005",1.853
8/9/18,"344,302,005",1.853
8/10/18,"344,302,005",1.853
8/13/18,"344,302,005",1.853
8/14/18,"344,302,005",1.853
8/15/18,"344,302,005",1.853
8/16/18,"344,302,005",1.853
8/17/18,"344,302,005",1.853
8/20/18,"344,302,005",1.853
8/21/18,"344,302,005",1.853
8/22/18,"344,302,005",1.853
8/23/18,"344,302,005",1.853
8/24/18,"344,302,005",1.853
8/27/18,"344,302,005",1.853
8/28/18,"344,302,005",1.853
8/29/18,"344,302,005",1.853
8/30/18,"344,302,005",1.853
8/31/18,"344,302,005",1.853
9/3/18,"344,302,005",1.853
9/4/18,"344,302,005",1.853
9/5/18,"344,302,005",1.853
9/6/18,"344,302,005",1.853
9/7/18,"344,302,005",1.853
9/10/18,"344,302,005",1.853
9/11/18,"344,302,005",1.853
9/12/18,"344,302,005",1.853
9/13/18,"344,302,005",1.853
9/14/18,"344,302,005",1.853
9/17/18,"344,302,005",1.853
9/18/18,"344,302,005",1.853
9/19/18,"344,302,005",1.853
9/20/18,"344,302,005",1.853
9/21/18,"344,302,005",1.853
9/24/18,"344,302,005",1.853
9/25/18,"344,302,005",1.853
9/26/18,"344,302,005",1.853
9/27/18,"344,302,005",1.853
9/28/18,"344,302,005",1.853
10/1/18,"344,302,005",1.853
10/2/18,"344,302,005",1.853
10/3/18,"344,302,005",1.853
10/4/18,"344,302,005",1.853
10/5/18,"344,302,005",1.853
10/8/18,"344,302,005",1.853
10/9/18,"344,302,005",1.853
10/10/18,"344,302,005",1.853
10/11/18,"344,302,005",1.853
10/12/18,"344,302,005",1.853
10/15/18,"344,302,005",1.853
10/16/18,"344,302,005",1.853
10/17/18,"344,302,005",1.853
10/18/18,"344,302,005",1.853
10/19/18,"344,302,005",1.853
10/22/18,"344,302,005",1.853
10/23/18,"344,302,005",1.853
10/24/18,"344,302,005",1.853
10/25/18,"344,302,005",1.853
10/26/18,"344,302,005",1.853
10/29/18,"344,302,005",1.853
10/30/18,"344,302,005",1.853
10/31/18,"344,302,005",1.853
11/1/18,"344,302,005",1.853
11/2/18,"344,302,005",1.853
11/5/18,"344,302,005",1.853
11/6/18,"344,302,005",1.853
11/7/18,"344,302,005",1.853
11/8/18,"344,302,005",1.853
11/9/18,"344,302,005",1.853
11/12/18,"344,302,005",1.853
11/13/18,"344,302,005",1.853
11/14/18,"344,302,005",1.853
11/15/18,"344,302,005",1.853
11/16/18,"344,302,005",1.853
11/19/18,"344,302,005",1.853
11/20/18,"344,302,005",1.853
11/21/18,"344,302,005",1.853
11/22/18,"344,302,005",1.853
11/23/18,"344,302,005",1.853
11/26/18,"344,302,005",1.853
11/27/18,"344,302,005",1.853
11/28/18,"344,302,005",1.853
11/29/18,"344,302,005",1.853
11/30/18,"344,302,005",1.853
12/3/18,"344,302,005",1.853
12/4/18,"344,302,005",1.853
12/5/18,"344,302,005",1.853
12/6/18,"344,302,005",1.853
12/7/18,"344,302,005",1.853
12/10/18,"344,302,005",1.853
12/11/18,"344,302,005",1.853
12/12/18,"344,302,005",1.853
12/13/18,"344,302,005",1.853
12/14/18,"344,302,005",1.853
12/17/18,"344,302,005",1.853
12/18/18,"344,302,005",1.853
12/19/18,"344,302,005",1.853
12/20/18,"344,302,005",1.853
12/21/18,"344,302,005",1.853
12/24/18,"344,302,005",1.853
12/25/18,"344,302,005",1.853
12/26/18,"344,302,005",1.853
12/27/18,"344,302,005",1.853
12/28/18,"344,302,005",1.853
12/31/18,"344,302,005",1.853
1/1/19,"344,302,005",1.853
1/2/19,"344,302,005",1.853
1/3/19,"344,302,005",1.853
1/4/19,"344,302,005",1.853
1/7/19,"344,302,005",1.853
1/8/19,"344,302,005",1.853
1/9/19,"344,302,005",1.853
1/10/19,"344,302,005",1.853
1/11/19,"344,302,005",1.853
1/14/19,"344,302,005",1.853
1/15/19,"344,302,005",1.853
1/16/19,"344,302,005",1.853
1/17/19,"344,302,005",1.853
1/18/19,"344,302,005",1.853
1/21/19,"344,302,005",1.853
1/22/19,"344,302,005",1.853
1/23/19,"344,302,005",1.853
1/24/19,"344,302,005",1.853
1/25/19,"344,302,005",1.853
1/28/19,"344,302,005",1.853
1/29/19,"344,302,005",1.853
1/30/19,"344,302,005",1.853
1/31/19,"344,302,005",1.853
2/1/19,"344,302,005",1.853
2/4/19,"344,302,005",1.853
2/5/19,"344,302,005",1.853
2/6/19,"344,302,005",1.853
2/7/19,"344,302,005",1.853
2/8/19,"344,302,005",1.853
2/11/19,"344,302,005",1.853
2/12/19,"344,302,005",1.853
2/13/19,"344,302,005",1.853
2/14/19,"344,302,005",1.853
2/15/19,"344,302,005",1.853
2/18/19,"344,302,005",1.853
2/19/19,"344,302,005",1.853
2/20/19,"344,302,005",1.853
2/21/19,"344,302,005",1.853
2/22/19,"344,302,005",1.853
2/25/19,"344,302,005",1.853
2/26/19,"344,302,005",1.853
2/27/19,"344,302,005",1.853
2/28/19,"344,302,005",1.853
3/1/19,"344,302,005",1.853
3/4/19,"344,302,005",1.853
3/5/19,"344,302,005",1.853
3/6/19,"344,302,005",1.853
3/7/19,"344,302,005",1.853
3/8/19,"344,302,005",1.853
3/11/19,"344,302,005",1.853
3/12/19,"344,302,005",1.853
3/13/19,"344,302,005",1.853
3/14/19,"344,302,005",1.853
3/15/19,"344,302,005",1.853
3/18/19,"344,302,005",1.853
3/19/19,"344,302,005",1.853
3/20/19,"344,302,005",1.853
3/21/19,"344,302,005",1.853
3/22/19,"344,302,005",1.853
