Date,Size,P/B RATIO
12/31/14,"179,854,143,299",2.379
1/1/15,"179,854,143,299",2.379
1/2/15,"179,854,143,299",2.379
1/5/15,"179,854,143,299",2.379
1/6/15,"179,854,143,299",2.379
1/7/15,"179,854,143,299",2.379
1/8/15,"179,854,143,299",2.379
1/9/15,"179,854,143,299",2.379
1/12/15,"179,854,143,299",2.379
1/13/15,"179,854,143,299",2.379
1/14/15,"179,854,143,299",2.379
1/15/15,"179,854,143,299",2.379
1/16/15,"179,854,143,299",2.379
1/19/15,"179,854,143,299",2.379
1/20/15,"179,854,143,299",2.379
1/21/15,"179,854,143,299",2.379
1/22/15,"179,854,143,299",2.379
1/23/15,"179,854,143,299",2.379
1/26/15,"179,854,143,299",2.379
1/27/15,"179,854,143,299",2.379
1/28/15,"179,854,143,299",2.379
1/29/15,"179,854,143,299",2.379
1/30/15,"179,854,143,299",2.379
2/2/15,"179,854,143,299",2.379
2/3/15,"179,854,143,299",2.379
2/4/15,"179,854,143,299",2.379
2/5/15,"179,854,143,299",2.379
2/6/15,"179,854,143,299",2.379
2/9/15,"179,854,143,299",2.379
2/10/15,"179,854,143,299",2.379
2/11/15,"179,854,143,299",2.379
2/12/15,"179,854,143,299",2.379
2/13/15,"179,854,143,299",2.379
2/16/15,"179,854,143,299",2.379
2/17/15,"179,854,143,299",2.379
2/18/15,"179,854,143,299",2.379
2/19/15,"179,854,143,299",2.379
2/20/15,"179,854,143,299",2.379
2/23/15,"179,854,143,299",2.379
2/24/15,"179,854,143,299",2.379
2/25/15,"179,854,143,299",2.379
2/26/15,"179,854,143,299",2.379
2/27/15,"179,854,143,299",2.379
3/2/15,"179,854,143,299",2.379
3/3/15,"179,854,143,299",2.379
3/4/15,"179,854,143,299",2.379
3/5/15,"179,854,143,299",2.379
3/6/15,"179,854,143,299",2.379
3/9/15,"179,854,143,299",2.379
3/10/15,"179,854,143,299",2.379
3/11/15,"179,854,143,299",2.379
3/12/15,"179,854,143,299",2.379
3/13/15,"179,854,143,299",2.379
3/16/15,"179,854,143,299",2.379
3/17/15,"179,854,143,299",2.379
3/18/15,"179,854,143,299",2.379
3/19/15,"179,854,143,299",2.379
3/20/15,"179,854,143,299",2.379
3/23/15,"179,854,143,299",2.379
3/24/15,"179,854,143,299",2.379
3/25/15,"179,854,143,299",2.379
3/26/15,"179,854,143,299",2.379
3/27/15,"179,854,143,299",2.379
3/30/15,"179,854,143,299",2.379
3/31/15,"179,854,143,299",2.379
4/1/15,"179,854,143,299",2.379
4/2/15,"179,854,143,299",2.379
4/3/15,"179,854,143,299",2.379
4/6/15,"179,854,143,299",2.379
4/7/15,"179,854,143,299",2.379
4/8/15,"179,854,143,299",2.379
4/9/15,"179,854,143,299",2.379
4/10/15,"179,854,143,299",2.379
4/13/15,"179,854,143,299",2.379
4/14/15,"179,854,143,299",2.379
4/15/15,"179,854,143,299",2.379
4/16/15,"179,854,143,299",2.379
4/17/15,"179,854,143,299",2.379
4/20/15,"179,854,143,299",2.379
4/21/15,"179,854,143,299",2.379
4/22/15,"179,854,143,299",2.379
4/23/15,"179,854,143,299",2.379
