Date,Size,P/B RATIO
12/31/14,"26,267,774,000",3.39
1/1/15,"26,267,774,000",3.39
1/2/15,"26,267,774,000",3.39
1/5/15,"26,267,774,000",3.39
1/6/15,"26,267,774,000",3.39
1/7/15,"26,267,774,000",3.39
1/8/15,"26,267,774,000",3.39
1/9/15,"26,267,774,000",3.39
1/12/15,"26,267,774,000",3.39
1/13/15,"26,267,774,000",3.39
1/14/15,"26,267,774,000",3.39
1/15/15,"26,267,774,000",3.39
1/16/15,"26,267,774,000",3.39
1/19/15,"26,267,774,000",3.39
1/20/15,"26,267,774,000",3.39
1/21/15,"26,267,774,000",3.39
1/22/15,"26,267,774,000",3.39
1/23/15,"26,267,774,000",3.39
1/26/15,"26,267,774,000",3.39
1/27/15,"26,267,774,000",3.39
1/28/15,"26,267,774,000",3.39
1/29/15,"26,267,774,000",3.39
1/30/15,"26,267,774,000",3.39
2/2/15,"26,267,774,000",3.39
2/3/15,"26,267,774,000",3.39
2/4/15,"26,267,774,000",3.39
2/5/15,"26,267,774,000",3.39
2/6/15,"26,267,774,000",3.39
2/9/15,"26,267,774,000",3.39
2/10/15,"26,267,774,000",3.39
2/11/15,"26,267,774,000",3.39
2/12/15,"26,267,774,000",3.39
2/13/15,"26,267,774,000",3.39
2/16/15,"26,267,774,000",3.39
2/17/15,"26,267,774,000",3.39
2/18/15,"26,267,774,000",3.39
2/19/15,"26,267,774,000",3.39
2/20/15,"26,267,774,000",3.39
2/23/15,"26,267,774,000",3.39
2/24/15,"26,267,774,000",3.39
2/25/15,"26,267,774,000",3.39
2/26/15,"26,267,774,000",3.39
2/27/15,"26,267,774,000",3.39
3/2/15,"26,267,774,000",3.39
3/3/15,"26,267,774,000",3.39
3/4/15,"26,267,774,000",3.39
3/5/15,"26,267,774,000",3.39
3/6/15,"26,267,774,000",3.39
3/9/15,"26,267,774,000",3.39
3/10/15,"26,267,774,000",3.39
3/11/15,"26,267,774,000",3.39
3/12/15,"26,267,774,000",3.39
3/13/15,"26,267,774,000",3.39
3/16/15,"26,267,774,000",3.39
3/17/15,"26,267,774,000",3.39
3/18/15,"26,267,774,000",3.39
3/19/15,"26,267,774,000",3.39
3/20/15,"26,267,774,000",3.39
3/23/15,"26,267,774,000",3.39
3/24/15,"26,267,774,000",3.39
3/25/15,"26,267,774,000",3.39
3/26/15,"26,267,774,000",3.39
3/27/15,"26,267,774,000",3.39
3/30/15,"26,267,774,000",3.39
3/31/15,"26,267,774,000",3.39
4/1/15,"26,267,774,000",3.39
4/2/15,"26,267,774,000",3.39
4/3/15,"26,267,774,000",3.39
4/6/15,"26,267,774,000",3.39
4/7/15,"26,267,774,000",3.39
4/8/15,"26,267,774,000",3.39
4/9/15,"26,267,774,000",3.39
4/10/15,"26,267,774,000",3.39
4/13/15,"26,267,774,000",3.39
4/14/15,"26,267,774,000",3.39
4/15/15,"26,267,774,000",3.39
4/16/15,"26,267,774,000",3.39
4/17/15,"26,267,774,000",3.39
4/20/15,"26,267,774,000",3.39
4/21/15,"26,267,774,000",3.39
4/22/15,"26,267,774,000",3.39
4/23/15,"26,267,774,000",3.39
4/24/15,"26,267,774,000",3.39
4/27/15,"26,267,774,000",3.39
4/28/15,"26,267,774,000",3.39
4/29/15,"26,267,774,000",3.39
4/30/15,"26,267,774,000",3.39
5/1/15,"26,267,774,000",3.39
5/4/15,"26,267,774,000",3.39
5/5/15,"26,267,774,000",3.39
5/6/15,"26,267,774,000",3.39
5/7/15,"26,267,774,000",3.39
5/8/15,"26,267,774,000",3.39
5/11/15,"26,267,774,000",3.39
5/12/15,"26,267,774,000",3.39
5/13/15,"26,267,774,000",3.39
5/14/15,"26,267,774,000",3.39
5/15/15,"26,267,774,000",3.39
5/18/15,"26,267,774,000",3.39
5/19/15,"26,267,774,000",3.39
5/20/15,"26,267,774,000",3.39
5/21/15,"26,267,774,000",3.39
5/22/15,"26,267,774,000",3.39
5/25/15,"26,267,774,000",3.39
5/26/15,"26,267,774,000",3.39
5/27/15,"26,267,774,000",3.39
5/28/15,"26,267,774,000",3.39
5/29/15,"26,267,774,000",3.39
6/1/15,"26,267,774,000",3.39
6/2/15,"26,267,774,000",3.39
6/3/15,"26,267,774,000",3.39
6/4/15,"26,267,774,000",3.39
6/5/15,"26,267,774,000",3.39
6/8/15,"26,267,774,000",3.39
6/9/15,"26,267,774,000",3.39
6/10/15,"26,267,774,000",3.39
6/11/15,"26,267,774,000",3.39
6/12/15,"26,267,774,000",3.39
6/15/15,"26,267,774,000",3.39
6/16/15,"26,267,774,000",3.39
6/17/15,"26,267,774,000",3.39
6/18/15,"26,267,774,000",3.39
6/19/15,"26,267,774,000",3.39
6/22/15,"26,267,774,000",3.39
6/23/15,"26,267,774,000",3.39
6/24/15,"26,267,774,000",3.39
6/25/15,"26,267,774,000",3.39
6/26/15,"26,267,774,000",3.39
6/29/15,"26,267,774,000",3.39
6/30/15,"26,267,774,000",3.39
7/1/15,"26,267,774,000",3.39
7/2/15,"26,267,774,000",3.39
7/3/15,"26,267,774,000",3.39
7/6/15,"26,267,774,000",3.39
7/7/15,"26,267,774,000",3.39
7/8/15,"26,267,774,000",3.39
7/9/15,"26,267,774,000",3.39
7/10/15,"26,267,774,000",3.39
7/13/15,"26,267,774,000",3.39
7/14/15,"26,267,774,000",3.39
7/15/15,"26,267,774,000",3.39
7/16/15,"26,267,774,000",3.39
7/17/15,"26,267,774,000",3.39
7/20/15,"26,267,774,000",3.39
7/21/15,"26,267,774,000",3.39
7/22/15,"26,267,774,000",3.39
7/23/15,"26,267,774,000",3.39
7/24/15,"26,267,774,000",3.39
7/27/15,"26,267,774,000",3.39
7/28/15,"26,267,774,000",3.39
7/29/15,"26,267,774,000",3.39
7/30/15,"26,267,774,000",3.39
7/31/15,"26,267,774,000",3.39
8/3/15,"26,267,774,000",3.39
8/4/15,"26,267,774,000",3.39
8/5/15,"26,267,774,000",3.39
8/6/15,"26,267,774,000",3.39
8/7/15,"26,267,774,000",3.39
8/10/15,"26,267,774,000",3.39
8/11/15,"26,267,774,000",3.39
8/12/15,"26,267,774,000",3.39
8/13/15,"26,267,774,000",3.39
8/14/15,"26,267,774,000",3.39
8/17/15,"26,267,774,000",3.39
8/18/15,"26,267,774,000",3.39
8/19/15,"26,267,774,000",3.39
8/20/15,"26,267,774,000",3.39
8/21/15,"26,267,774,000",3.39
8/24/15,"26,267,774,000",3.39
8/25/15,"26,267,774,000",3.39
8/26/15,"26,267,774,000",3.39
8/27/15,"26,267,774,000",3.39
8/28/15,"26,267,774,000",3.39
8/31/15,"26,267,774,000",3.39
9/1/15,"26,267,774,000",3.39
9/2/15,"26,267,774,000",3.39
9/3/15,"26,267,774,000",3.39
9/4/15,"26,267,774,000",3.39
9/7/15,"26,267,774,000",3.39
9/8/15,"26,267,774,000",3.39
9/9/15,"26,267,774,000",3.39
9/10/15,"26,267,774,000",3.39
9/11/15,"26,267,774,000",3.39
9/14/15,"26,267,774,000",3.39
9/15/15,"26,267,774,000",3.39
9/16/15,"26,267,774,000",3.39
9/17/15,"26,267,774,000",3.39
9/18/15,"26,267,774,000",3.39
9/21/15,"26,267,774,000",3.39
9/22/15,"26,267,774,000",3.39
9/23/15,"26,267,774,000",3.39
9/24/15,"26,267,774,000",3.39
9/25/15,"26,267,774,000",3.39
9/28/15,"26,267,774,000",3.39
9/29/15,"26,267,774,000",3.39
9/30/15,"26,267,774,000",3.39
10/1/15,"26,267,774,000",3.39
10/2/15,"26,267,774,000",3.39
10/5/15,"26,267,774,000",3.39
10/6/15,"26,267,774,000",3.39
10/7/15,"26,267,774,000",3.39
10/8/15,"26,267,774,000",3.39
10/9/15,"26,267,774,000",3.39
10/12/15,"26,267,774,000",3.39
10/13/15,"26,267,774,000",3.39
10/14/15,"26,267,774,000",3.39
10/15/15,"26,267,774,000",3.39
10/16/15,"26,267,774,000",3.39
10/19/15,"26,267,774,000",3.39
10/20/15,"26,267,774,000",3.39
10/21/15,"26,267,774,000",3.39
10/22/15,"26,267,774,000",3.39
10/23/15,"26,267,774,000",3.39
10/26/15,"26,267,774,000",3.39
10/27/15,"26,267,774,000",3.39
10/28/15,"26,267,774,000",3.39
10/29/15,"26,267,774,000",3.39
10/30/15,"26,267,774,000",3.39
11/2/15,"26,267,774,000",3.39
11/3/15,"26,267,774,000",3.39
11/4/15,"26,267,774,000",3.39
11/5/15,"26,267,774,000",3.39
11/6/15,"26,267,774,000",3.39
