Date,Size,P/B RATIO
12/31/14,"12,168,900,000",9.266
1/1/15,"12,168,900,000",9.266
1/2/15,"12,168,900,000",9.266
1/5/15,"12,168,900,000",9.266
1/6/15,"12,168,900,000",9.266
1/7/15,"12,168,900,000",9.266
1/8/15,"12,168,900,000",9.266
1/9/15,"12,168,900,000",9.266
1/12/15,"12,168,900,000",9.266
1/13/15,"12,168,900,000",9.266
1/14/15,"12,168,900,000",9.266
1/15/15,"12,168,900,000",9.266
1/16/15,"12,168,900,000",9.266
1/19/15,"12,168,900,000",9.266
1/20/15,"12,168,900,000",9.266
1/21/15,"12,168,900,000",9.266
1/22/15,"12,168,900,000",9.266
1/23/15,"12,168,900,000",9.266
1/26/15,"12,168,900,000",9.266
1/27/15,"12,168,900,000",9.266
1/28/15,"12,168,900,000",9.266
1/29/15,"12,168,900,000",9.266
1/30/15,"12,168,900,000",9.266
2/2/15,"12,168,900,000",9.266
2/3/15,"12,168,900,000",9.266
2/4/15,"12,168,900,000",9.266
2/5/15,"12,168,900,000",9.266
2/6/15,"12,168,900,000",9.266
2/9/15,"12,168,900,000",9.266
2/10/15,"12,168,900,000",9.266
2/11/15,"12,168,900,000",9.266
2/12/15,"12,168,900,000",9.266
2/13/15,"12,168,900,000",9.266
2/16/15,"12,168,900,000",9.266
2/17/15,"12,168,900,000",9.266
2/18/15,"12,168,900,000",9.266
2/19/15,"12,168,900,000",9.266
2/20/15,"12,168,900,000",9.266
2/23/15,"12,168,900,000",9.266
2/24/15,"12,168,900,000",9.266
2/25/15,"12,168,900,000",9.266
2/26/15,"12,168,900,000",9.266
2/27/15,"12,168,900,000",9.266
3/2/15,"12,168,900,000",9.266
3/3/15,"12,168,900,000",9.266
3/4/15,"12,168,900,000",9.266
3/5/15,"12,168,900,000",9.266
3/6/15,"12,168,900,000",9.266
3/9/15,"12,168,900,000",9.266
3/10/15,"12,168,900,000",9.266
3/11/15,"12,168,900,000",9.266
3/12/15,"12,168,900,000",9.266
3/13/15,"12,168,900,000",9.266
3/16/15,"12,168,900,000",9.266
3/17/15,"12,168,900,000",9.266
3/18/15,"12,168,900,000",9.266
3/19/15,"12,168,900,000",9.266
3/20/15,"12,168,900,000",9.266
3/23/15,"12,168,900,000",9.266
3/24/15,"12,168,900,000",9.266
3/25/15,"12,168,900,000",9.266
3/26/15,"12,168,900,000",9.266
3/27/15,"12,168,900,000",9.266
3/30/15,"12,168,900,000",9.266
3/31/15,"12,168,900,000",9.266
4/1/15,"12,168,900,000",9.266
4/2/15,"12,168,900,000",9.266
4/3/15,"12,168,900,000",9.266
4/6/15,"12,168,900,000",9.266
4/7/15,"12,168,900,000",9.266
4/8/15,"12,168,900,000",9.266
4/9/15,"12,168,900,000",9.266
4/10/15,"12,168,900,000",9.266
4/13/15,"12,168,900,000",9.266
4/14/15,"12,168,900,000",9.266
4/15/15,"12,168,900,000",9.266
4/16/15,"12,168,900,000",9.266
4/17/15,"12,168,900,000",9.266
4/20/15,"12,168,900,000",9.266
4/21/15,"12,168,900,000",9.266
4/22/15,"12,168,900,000",9.266
4/23/15,"12,168,900,000",9.266
4/24/15,"12,168,900,000",9.266
4/27/15,"12,168,900,000",9.266
4/28/15,"12,168,900,000",9.266
4/29/15,"12,168,900,000",9.266
4/30/15,"12,168,900,000",9.266
5/1/15,"12,168,900,000",9.266
5/4/15,"12,168,900,000",9.266
5/5/15,"12,168,900,000",9.266
5/6/15,"12,168,900,000",9.266
5/7/15,"12,168,900,000",9.266
5/8/15,"12,168,900,000",9.266
5/11/15,"12,168,900,000",9.266
5/12/15,"12,168,900,000",9.266
5/13/15,"12,168,900,000",9.266
5/14/15,"12,168,900,000",9.266
5/15/15,"12,168,900,000",9.266
5/18/15,"12,168,900,000",9.266
5/19/15,"12,168,900,000",9.266
5/20/15,"12,168,900,000",9.266
5/21/15,"12,168,900,000",9.266
5/22/15,"12,168,900,000",9.266
5/25/15,"12,168,900,000",9.266
5/26/15,"12,168,900,000",9.266
5/27/15,"12,168,900,000",9.266
5/28/15,"12,168,900,000",9.266
5/29/15,"12,168,900,000",9.266
6/1/15,"12,168,900,000",9.266
6/2/15,"12,168,900,000",9.266
6/3/15,"12,168,900,000",9.266
6/4/15,"12,168,900,000",9.266
6/5/15,"12,168,900,000",9.266
6/8/15,"12,168,900,000",9.266
6/9/15,"12,168,900,000",9.266
