Date,Size,P/B RATIO
12/31/14,"10,846,439,120",5.755
1/1/15,"10,846,439,120",5.755
1/2/15,"10,846,439,120",5.755
1/5/15,"10,846,439,120",5.755
1/6/15,"10,846,439,120",5.755
1/7/15,"10,846,439,120",5.755
1/8/15,"10,846,439,120",5.755
1/9/15,"10,846,439,120",5.755
1/12/15,"10,846,439,120",5.755
1/13/15,"10,846,439,120",5.755
1/14/15,"10,846,439,120",5.755
1/15/15,"10,846,439,120",5.755
1/16/15,"10,846,439,120",5.755
1/19/15,"10,846,439,120",5.755
1/20/15,"10,846,439,120",5.755
1/21/15,"10,846,439,120",5.755
1/22/15,"10,846,439,120",5.755
1/23/15,"10,846,439,120",5.755
1/26/15,"10,846,439,120",5.755
1/27/15,"10,846,439,120",5.755
1/28/15,"10,846,439,120",5.755
1/29/15,"10,846,439,120",5.755
1/30/15,"10,846,439,120",5.755
2/2/15,"10,846,439,120",5.755
2/3/15,"10,846,439,120",5.755
2/4/15,"10,846,439,120",5.755
2/5/15,"10,846,439,120",5.755
2/6/15,"10,846,439,120",5.755
2/9/15,"10,846,439,120",5.755
2/10/15,"10,846,439,120",5.755
2/11/15,"10,846,439,120",5.755
2/12/15,"10,846,439,120",5.755
2/13/15,"10,846,439,120",5.755
2/16/15,"10,846,439,120",5.755
2/17/15,"10,846,439,120",5.755
2/18/15,"10,846,439,120",5.755
2/19/15,"10,846,439,120",5.755
2/20/15,"10,846,439,120",5.755
2/23/15,"10,846,439,120",5.755
2/24/15,"10,846,439,120",5.755
2/25/15,"10,846,439,120",5.755
2/26/15,"10,846,439,120",5.755
2/27/15,"10,846,439,120",5.755
3/2/15,"10,846,439,120",5.755
3/3/15,"10,846,439,120",5.755
3/4/15,"10,846,439,120",5.755
3/5/15,"10,846,439,120",5.755
3/6/15,"10,846,439,120",5.755
3/9/15,"10,846,439,120",5.755
3/10/15,"10,846,439,120",5.755
3/11/15,"10,846,439,120",5.755
3/12/15,"10,846,439,120",5.755
3/13/15,"10,846,439,120",5.755
3/16/15,"10,846,439,120",5.755
