Date,Size,P/B RATIO
12/31/14,"359,503,564,566",3.618
1/1/15,"359,503,564,566",3.618
1/2/15,"359,503,564,566",3.618
1/5/15,"359,503,564,566",3.618
1/6/15,"359,503,564,566",3.618
1/7/15,"359,503,564,566",3.618
1/8/15,"359,503,564,566",3.618
1/9/15,"359,503,564,566",3.618
1/12/15,"359,503,564,566",3.618
1/13/15,"359,503,564,566",3.618
1/14/15,"359,503,564,566",3.618
1/15/15,"359,503,564,566",3.618
1/16/15,"359,503,564,566",3.618
1/19/15,"359,503,564,566",3.618
1/20/15,"359,503,564,566",3.618
1/21/15,"359,503,564,566",3.618
1/22/15,"359,503,564,566",3.618
1/23/15,"359,503,564,566",3.618
1/26/15,"359,503,564,566",3.618
1/27/15,"359,503,564,566",3.618
1/28/15,"359,503,564,566",3.618
1/29/15,"359,503,564,566",3.618
1/30/15,"359,503,564,566",3.618
2/2/15,"359,503,564,566",3.618
2/3/15,"359,503,564,566",3.618
2/4/15,"359,503,564,566",3.618
2/5/15,"359,503,564,566",3.618
2/6/15,"359,503,564,566",3.618
2/9/15,"359,503,564,566",3.618
2/10/15,"359,503,564,566",3.618
2/11/15,"359,503,564,566",3.618
2/12/15,"359,503,564,566",3.618
2/13/15,"359,503,564,566",3.618
2/16/15,"359,503,564,566",3.618
2/17/15,"359,503,564,566",3.618
2/18/15,"359,503,564,566",3.618
2/19/15,"359,503,564,566",3.618
2/20/15,"359,503,564,566",3.618
2/23/15,"359,503,564,566",3.618
2/24/15,"359,503,564,566",3.618
2/25/15,"359,503,564,566",3.618
2/26/15,"359,503,564,566",3.618
2/27/15,"359,503,564,566",3.618
3/2/15,"359,503,564,566",3.618
3/3/15,"359,503,564,566",3.618
3/4/15,"359,503,564,566",3.618
3/5/15,"359,503,564,566",3.618
3/6/15,"359,503,564,566",3.618
3/9/15,"359,503,564,566",3.618
3/10/15,"359,503,564,566",3.618
3/11/15,"359,503,564,566",3.618
3/12/15,"359,503,564,566",3.618
3/13/15,"359,503,564,566",3.618
3/16/15,"359,503,564,566",3.618
3/17/15,"359,503,564,566",3.618
3/18/15,"359,503,564,566",3.618
3/19/15,"359,503,564,566",3.618
3/20/15,"359,503,564,566",3.618
3/23/15,"359,503,564,566",3.618
3/24/15,"359,503,564,566",3.618
3/25/15,"359,503,564,566",3.618
3/26/15,"359,503,564,566",3.618
3/27/15,"359,503,564,566",3.618
3/30/15,"359,503,564,566",3.618
3/31/15,"359,503,564,566",3.618
4/1/15,"359,503,564,566",3.618
4/2/15,"359,503,564,566",3.618
4/3/15,"359,503,564,566",3.618
4/6/15,"359,503,564,566",3.618
4/7/15,"359,503,564,566",3.618
4/8/15,"359,503,564,566",3.618
4/9/15,"359,503,564,566",3.618
4/10/15,"359,503,564,566",3.618
4/13/15,"359,503,564,566",3.618
4/14/15,"359,503,564,566",3.618
4/15/15,"359,503,564,566",3.618
4/16/15,"359,503,564,566",3.618
4/17/15,"359,503,564,566",3.618
4/20/15,"359,503,564,566",3.618
4/21/15,"359,503,564,566",3.618
4/22/15,"359,503,564,566",3.618
4/23/15,"359,503,564,566",3.618
4/24/15,"359,503,564,566",3.618
4/27/15,"359,503,564,566",3.618
4/28/15,"359,503,564,566",3.618
4/29/15,"359,503,564,566",3.618
4/30/15,"359,503,564,566",3.618
5/1/15,"359,503,564,566",3.618
5/4/15,"359,503,564,566",3.618
5/5/15,"359,503,564,566",3.618
5/6/15,"359,503,564,566",3.618
5/7/15,"359,503,564,566",3.618
5/8/15,"359,503,564,566",3.618
5/11/15,"359,503,564,566",3.618
5/12/15,"359,503,564,566",3.618
5/13/15,"359,503,564,566",3.618
5/14/15,"359,503,564,566",3.618
5/15/15,"359,503,564,566",3.618
5/18/15,"359,503,564,566",3.618
5/19/15,"359,503,564,566",3.618
5/20/15,"359,503,564,566",3.618
5/21/15,"359,503,564,566",3.618
5/22/15,"359,503,564,566",3.618
5/25/15,"359,503,564,566",3.618
5/26/15,"359,503,564,566",3.618
