Date,Size,P/B RATIO
12/31/14,"1,071,702,516",1.354
1/1/15,"1,071,702,516",1.354
1/2/15,"1,071,702,516",1.354
1/5/15,"1,071,702,516",1.354
1/6/15,"1,071,702,516",1.354
1/7/15,"1,071,702,516",1.354
1/8/15,"1,071,702,516",1.354
1/9/15,"1,071,702,516",1.354
1/12/15,"1,071,702,516",1.354
1/13/15,"1,071,702,516",1.354
1/14/15,"1,071,702,516",1.354
1/15/15,"1,071,702,516",1.354
1/16/15,"1,071,702,516",1.354
1/19/15,"1,071,702,516",1.354
1/20/15,"1,071,702,516",1.354
1/21/15,"1,071,702,516",1.354
1/22/15,"1,071,702,516",1.354
1/23/15,"1,071,702,516",1.354
1/26/15,"1,071,702,516",1.354
1/27/15,"1,071,702,516",1.354
1/28/15,"1,071,702,516",1.354
1/29/15,"1,071,702,516",1.354
1/30/15,"1,071,702,516",1.354
2/2/15,"1,071,702,516",1.354
2/3/15,"1,071,702,516",1.354
2/4/15,"1,071,702,516",1.354
2/5/15,"1,071,702,516",1.354
2/6/15,"1,071,702,516",1.354
2/9/15,"1,071,702,516",1.354
2/10/15,"1,071,702,516",1.354
2/11/15,"1,071,702,516",1.354
2/12/15,"1,071,702,516",1.354
2/13/15,"1,071,702,516",1.354
2/16/15,"1,071,702,516",1.354
2/17/15,"1,071,702,516",1.354
2/18/15,"1,071,702,516",1.354
2/19/15,"1,071,702,516",1.354
2/20/15,"1,071,702,516",1.354
2/23/15,"1,071,702,516",1.354
2/24/15,"1,071,702,516",1.354
2/25/15,"1,071,702,516",1.354
2/26/15,"1,071,702,516",1.354
2/27/15,"1,071,702,516",1.354
3/2/15,"1,071,702,516",1.354
3/3/15,"1,071,702,516",1.354
3/4/15,"1,071,702,516",1.354
3/5/15,"1,071,702,516",1.354
3/6/15,"1,071,702,516",1.354
3/9/15,"1,071,702,516",1.354
3/10/15,"1,071,702,516",1.354
3/11/15,"1,071,702,516",1.354
3/12/15,"1,071,702,516",1.354
3/13/15,"1,071,702,516",1.354
3/16/15,"1,071,702,516",1.354
3/17/15,"1,071,702,516",1.354
3/18/15,"1,071,702,516",1.354
3/19/15,"1,071,702,516",1.354
