Date,Size,P/B RATIO
12/31/14,"232,471,512,203",1.101
1/1/15,"232,471,512,203",1.101
1/2/15,"232,471,512,203",1.101
1/5/15,"232,471,512,203",1.101
1/6/15,"232,471,512,203",1.101
1/7/15,"232,471,512,203",1.101
1/8/15,"232,471,512,203",1.101
1/9/15,"232,471,512,203",1.101
1/12/15,"232,471,512,203",1.101
1/13/15,"232,471,512,203",1.101
1/14/15,"232,471,512,203",1.101
1/15/15,"232,471,512,203",1.101
1/16/15,"232,471,512,203",1.101
1/19/15,"232,471,512,203",1.101
1/20/15,"232,471,512,203",1.101
1/21/15,"232,471,512,203",1.101
1/22/15,"232,471,512,203",1.101
1/23/15,"232,471,512,203",1.101
1/26/15,"232,471,512,203",1.101
1/27/15,"232,471,512,203",1.101
1/28/15,"232,471,512,203",1.101
1/29/15,"232,471,512,203",1.101
1/30/15,"232,471,512,203",1.101
2/2/15,"232,471,512,203",1.101
2/3/15,"232,471,512,203",1.101
2/4/15,"232,471,512,203",1.101
2/5/15,"232,471,512,203",1.101
2/6/15,"232,471,512,203",1.101
2/9/15,"232,471,512,203",1.101
2/10/15,"232,471,512,203",1.101
2/11/15,"232,471,512,203",1.101
2/12/15,"232,471,512,203",1.101
2/13/15,"232,471,512,203",1.101
2/16/15,"232,471,512,203",1.101
2/17/15,"232,471,512,203",1.101
2/18/15,"232,471,512,203",1.101
2/19/15,"232,471,512,203",1.101
2/20/15,"232,471,512,203",1.101
2/23/15,"232,471,512,203",1.101
2/24/15,"232,471,512,203",1.101
2/25/15,"232,471,512,203",1.101
2/26/15,"232,471,512,203",1.101
2/27/15,"232,471,512,203",1.101
3/2/15,"232,471,512,203",1.101
3/3/15,"232,471,512,203",1.101
3/4/15,"232,471,512,203",1.101
3/5/15,"232,471,512,203",1.101
3/6/15,"232,471,512,203",1.101
3/9/15,"232,471,512,203",1.101
3/10/15,"232,471,512,203",1.101
3/11/15,"232,471,512,203",1.101
3/12/15,"232,471,512,203",1.101
3/13/15,"232,471,512,203",1.101
3/16/15,"232,471,512,203",1.101
3/17/15,"232,471,512,203",1.101
3/18/15,"232,471,512,203",1.101
3/19/15,"232,471,512,203",1.101
3/20/15,"232,471,512,203",1.101
3/23/15,"232,471,512,203",1.101
3/24/15,"232,471,512,203",1.101
3/25/15,"232,471,512,203",1.101
3/26/15,"232,471,512,203",1.101
3/27/15,"232,471,512,203",1.101
3/30/15,"232,471,512,203",1.101
3/31/15,"232,471,512,203",1.101
4/1/15,"232,471,512,203",1.101
4/2/15,"232,471,512,203",1.101
4/3/15,"232,471,512,203",1.101
4/6/15,"232,471,512,203",1.101
4/7/15,"232,471,512,203",1.101
4/8/15,"232,471,512,203",1.101
4/9/15,"232,471,512,203",1.101
4/10/15,"232,471,512,203",1.101
4/13/15,"232,471,512,203",1.101
4/14/15,"232,471,512,203",1.101
4/15/15,"232,471,512,203",1.101
4/16/15,"232,471,512,203",1.101
4/17/15,"232,471,512,203",1.101
4/20/15,"232,471,512,203",1.101
4/21/15,"232,471,512,203",1.101
4/22/15,"232,471,512,203",1.101
4/23/15,"232,471,512,203",1.101
4/24/15,"232,471,512,203",1.101
4/27/15,"232,471,512,203",1.101
4/28/15,"232,471,512,203",1.101
4/29/15,"232,471,512,203",1.101
4/30/15,"232,471,512,203",1.101
5/1/15,"232,471,512,203",1.101
5/4/15,"232,471,512,203",1.101
5/5/15,"232,471,512,203",1.101
5/6/15,"232,471,512,203",1.101
5/7/15,"232,471,512,203",1.101
5/8/15,"232,471,512,203",1.101
5/11/15,"232,471,512,203",1.101
5/12/15,"232,471,512,203",1.101
5/13/15,"232,471,512,203",1.101
5/14/15,"232,471,512,203",1.101
5/15/15,"232,471,512,203",1.101
5/18/15,"232,471,512,203",1.101
5/19/15,"232,471,512,203",1.101
5/20/15,"232,471,512,203",1.101
5/21/15,"232,471,512,203",1.101
5/22/15,"232,471,512,203",1.101
5/25/15,"232,471,512,203",1.101
5/26/15,"232,471,512,203",1.101
5/27/15,"232,471,512,203",1.101
5/28/15,"232,471,512,203",1.101
5/29/15,"232,471,512,203",1.101
6/1/15,"232,471,512,203",1.101
6/2/15,"232,471,512,203",1.101
6/3/15,"232,471,512,203",1.101
6/4/15,"232,471,512,203",1.101
6/5/15,"232,471,512,203",1.101
6/8/15,"232,471,512,203",1.101
6/9/15,"232,471,512,203",1.101
6/10/15,"232,471,512,203",1.101
6/11/15,"232,471,512,203",1.101
6/12/15,"232,471,512,203",1.101
6/15/15,"232,471,512,203",1.101
6/16/15,"232,471,512,203",1.101
6/17/15,"232,471,512,203",1.101
6/18/15,"232,471,512,203",1.101
6/19/15,"232,471,512,203",1.101
6/22/15,"232,471,512,203",1.101
6/23/15,"232,471,512,203",1.101
6/24/15,"232,471,512,203",1.101
6/25/15,"232,471,512,203",1.101
6/26/15,"232,471,512,203",1.101
6/29/15,"232,471,512,203",1.101
6/30/15,"232,471,512,203",1.101
7/1/15,"232,471,512,203",1.101
7/2/15,"232,471,512,203",1.101
7/3/15,"232,471,512,203",1.101
7/6/15,"232,471,512,203",1.101
7/7/15,"232,471,512,203",1.101
7/8/15,"232,471,512,203",1.101
7/9/15,"232,471,512,203",1.101
7/10/15,"232,471,512,203",1.101
7/13/15,"232,471,512,203",1.101
7/14/15,"232,471,512,203",1.101
7/15/15,"232,471,512,203",1.101
7/16/15,"232,471,512,203",1.101
7/17/15,"232,471,512,203",1.101
7/20/15,"232,471,512,203",1.101
7/21/15,"232,471,512,203",1.101
7/22/15,"232,471,512,203",1.101
7/23/15,"232,471,512,203",1.101
7/24/15,"232,471,512,203",1.101
7/27/15,"232,471,512,203",1.101
7/28/15,"232,471,512,203",1.101
7/29/15,"232,471,512,203",1.101
7/30/15,"232,471,512,203",1.101
7/31/15,"232,471,512,203",1.101
8/3/15,"232,471,512,203",1.101
8/4/15,"232,471,512,203",1.101
8/5/15,"232,471,512,203",1.101
8/6/15,"232,471,512,203",1.101
8/7/15,"232,471,512,203",1.101
8/10/15,"232,471,512,203",1.101
8/11/15,"232,471,512,203",1.101
8/12/15,"232,471,512,203",1.101
8/13/15,"232,471,512,203",1.101
8/14/15,"232,471,512,203",1.101
8/17/15,"232,471,512,203",1.101
8/18/15,"232,471,512,203",1.101
8/19/15,"232,471,512,203",1.101
8/20/15,"232,471,512,203",1.101
8/21/15,"232,471,512,203",1.101
8/24/15,"232,471,512,203",1.101
8/25/15,"232,471,512,203",1.101
8/26/15,"232,471,512,203",1.101
8/27/15,"232,471,512,203",1.101
8/28/15,"232,471,512,203",1.101
8/31/15,"232,471,512,203",1.101
9/1/15,"232,471,512,203",1.101
9/2/15,"232,471,512,203",1.101
9/3/15,"232,471,512,203",1.101
9/4/15,"232,471,512,203",1.101
9/7/15,"232,471,512,203",1.101
9/8/15,"232,471,512,203",1.101
9/9/15,"232,471,512,203",1.101
9/10/15,"232,471,512,203",1.101
9/11/15,"232,471,512,203",1.101
9/14/15,"232,471,512,203",1.101
9/15/15,"232,471,512,203",1.101
9/16/15,"232,471,512,203",1.101
9/17/15,"232,471,512,203",1.101
9/18/15,"232,471,512,203",1.101
9/21/15,"232,471,512,203",1.101
9/22/15,"232,471,512,203",1.101
9/23/15,"232,471,512,203",1.101
9/24/15,"232,471,512,203",1.101
9/25/15,"232,471,512,203",1.101
9/28/15,"232,471,512,203",1.101
9/29/15,"232,471,512,203",1.101
9/30/15,"232,471,512,203",1.101
10/1/15,"232,471,512,203",1.101
10/2/15,"232,471,512,203",1.101
10/5/15,"232,471,512,203",1.101
10/6/15,"232,471,512,203",1.101
10/7/15,"232,471,512,203",1.101
10/8/15,"232,471,512,203",1.101
10/9/15,"232,471,512,203",1.101
10/12/15,"232,471,512,203",1.101
10/13/15,"232,471,512,203",1.101
10/14/15,"232,471,512,203",1.101
10/15/15,"232,471,512,203",1.101
10/16/15,"232,471,512,203",1.101
10/19/15,"232,471,512,203",1.101
10/20/15,"232,471,512,203",1.101
10/21/15,"232,471,512,203",1.101
10/22/15,"232,471,512,203",1.101
10/23/15,"232,471,512,203",1.101
10/26/15,"232,471,512,203",1.101
10/27/15,"232,471,512,203",1.101
10/28/15,"232,471,512,203",1.101
10/29/15,"232,471,512,203",1.101
10/30/15,"232,471,512,203",1.101
11/2/15,"232,471,512,203",1.101
11/3/15,"232,471,512,203",1.101
11/4/15,"232,471,512,203",1.101
11/5/15,"232,471,512,203",1.101
11/6/15,"232,471,512,203",1.101
11/9/15,"232,471,512,203",1.101
11/10/15,"232,471,512,203",1.101
11/11/15,"232,471,512,203",1.101
11/12/15,"232,471,512,203",1.101
11/13/15,"232,471,512,203",1.101
11/16/15,"232,471,512,203",1.101
11/17/15,"232,471,512,203",1.101
11/18/15,"232,471,512,203",1.101
11/19/15,"232,471,512,203",1.101
11/20/15,"232,471,512,203",1.101
11/23/15,"232,471,512,203",1.101
11/24/15,"232,471,512,203",1.101
11/25/15,"232,471,512,203",1.101
11/26/15,"232,471,512,203",1.101
11/27/15,"232,471,512,203",1.101
11/30/15,"232,471,512,203",1.101
12/1/15,"232,471,512,203",1.101
12/2/15,"232,471,512,203",1.101
12/3/15,"232,471,512,203",1.101
12/4/15,"232,471,512,203",1.101
12/7/15,"232,471,512,203",1.101
12/8/15,"232,471,512,203",1.101
12/9/15,"232,471,512,203",1.101
12/10/15,"232,471,512,203",1.101
12/11/15,"232,471,512,203",1.101
12/14/15,"232,471,512,203",1.101
12/15/15,"232,471,512,203",1.101
12/16/15,"232,471,512,203",1.101
12/17/15,"232,471,512,203",1.101
12/18/15,"232,471,512,203",1.101
12/21/15,"232,471,512,203",1.101
12/22/15,"232,471,512,203",1.101
12/23/15,"232,471,512,203",1.101
12/24/15,"232,471,512,203",1.101
12/25/15,"232,471,512,203",1.101
