Date,Size,P/B RATIO
12/31/14,"9,128,340,000",3.294
1/1/15,"9,128,340,000",3.294
1/2/15,"9,128,340,000",3.294
1/5/15,"9,128,340,000",3.294
1/6/15,"9,128,340,000",3.294
1/7/15,"9,128,340,000",3.294
1/8/15,"9,128,340,000",3.294
1/9/15,"9,128,340,000",3.294
1/12/15,"9,128,340,000",3.294
1/13/15,"9,128,340,000",3.294
1/14/15,"9,128,340,000",3.294
1/15/15,"9,128,340,000",3.294
1/16/15,"9,128,340,000",3.294
1/19/15,"9,128,340,000",3.294
1/20/15,"9,128,340,000",3.294
1/21/15,"9,128,340,000",3.294
1/22/15,"9,128,340,000",3.294
1/23/15,"9,128,340,000",3.294
1/26/15,"9,128,340,000",3.294
1/27/15,"9,128,340,000",3.294
1/28/15,"9,128,340,000",3.294
1/29/15,"9,128,340,000",3.294
1/30/15,"9,128,340,000",3.294
2/2/15,"9,128,340,000",3.294
2/3/15,"9,128,340,000",3.294
2/4/15,"9,128,340,000",3.294
2/5/15,"9,128,340,000",3.294
2/6/15,"9,128,340,000",3.294
2/9/15,"9,128,340,000",3.294
2/10/15,"9,128,340,000",3.294
2/11/15,"9,128,340,000",3.294
2/12/15,"9,128,340,000",3.294
2/13/15,"9,128,340,000",3.294
2/16/15,"9,128,340,000",3.294
2/17/15,"9,128,340,000",3.294
2/18/15,"9,128,340,000",3.294
2/19/15,"9,128,340,000",3.294
2/20/15,"9,128,340,000",3.294
2/23/15,"9,128,340,000",3.294
2/24/15,"9,128,340,000",3.294
2/25/15,"9,128,340,000",3.294
2/26/15,"9,128,340,000",3.294
2/27/15,"9,128,340,000",3.294
3/2/15,"9,128,340,000",3.294
3/3/15,"9,128,340,000",3.294
3/4/15,"9,128,340,000",3.294
3/5/15,"9,128,340,000",3.294
3/6/15,"9,128,340,000",3.294
3/9/15,"9,128,340,000",3.294
3/10/15,"9,128,340,000",3.294
3/11/15,"9,128,340,000",3.294
3/12/15,"9,128,340,000",3.294
3/13/15,"9,128,340,000",3.294
3/16/15,"9,128,340,000",3.294
3/17/15,"9,128,340,000",3.294
3/18/15,"9,128,340,000",3.294
3/19/15,"9,128,340,000",3.294
3/20/15,"9,128,340,000",3.294
