Date,Size,P/B RATIO
12/31/14,"61,225,979,786",0.865
1/1/15,"61,225,979,786",0.865
1/2/15,"61,225,979,786",0.865
1/5/15,"61,225,979,786",0.865
1/6/15,"61,225,979,786",0.865
1/7/15,"61,225,979,786",0.865
1/8/15,"61,225,979,786",0.865
1/9/15,"61,225,979,786",0.865
1/12/15,"61,225,979,786",0.865
1/13/15,"61,225,979,786",0.865
1/14/15,"61,225,979,786",0.865
1/15/15,"61,225,979,786",0.865
1/16/15,"61,225,979,786",0.865
1/19/15,"61,225,979,786",0.865
1/20/15,"61,225,979,786",0.865
1/21/15,"61,225,979,786",0.865
1/22/15,"61,225,979,786",0.865
1/23/15,"61,225,979,786",0.865
1/26/15,"61,225,979,786",0.865
1/27/15,"61,225,979,786",0.865
1/28/15,"61,225,979,786",0.865
1/29/15,"61,225,979,786",0.865
1/30/15,"61,225,979,786",0.865
2/2/15,"61,225,979,786",0.865
2/3/15,"61,225,979,786",0.865
2/4/15,"61,225,979,786",0.865
2/5/15,"61,225,979,786",0.865
2/6/15,"61,225,979,786",0.865
2/9/15,"61,225,979,786",0.865
2/10/15,"61,225,979,786",0.865
2/11/15,"61,225,979,786",0.865
2/12/15,"61,225,979,786",0.865
2/13/15,"61,225,979,786",0.865
2/16/15,"61,225,979,786",0.865
2/17/15,"61,225,979,786",0.865
2/18/15,"61,225,979,786",0.865
2/19/15,"61,225,979,786",0.865
2/20/15,"61,225,979,786",0.865
2/23/15,"61,225,979,786",0.865
2/24/15,"61,225,979,786",0.865
2/25/15,"61,225,979,786",0.865
2/26/15,"61,225,979,786",0.865
2/27/15,"61,225,979,786",0.865
3/2/15,"61,225,979,786",0.865
3/3/15,"61,225,979,786",0.865
3/4/15,"61,225,979,786",0.865
3/5/15,"61,225,979,786",0.865
3/6/15,"61,225,979,786",0.865
3/9/15,"61,225,979,786",0.865
3/10/15,"61,225,979,786",0.865
3/11/15,"61,225,979,786",0.865
3/12/15,"61,225,979,786",0.865
3/13/15,"61,225,979,786",0.865
3/16/15,"61,225,979,786",0.865
3/17/15,"61,225,979,786",0.865
3/18/15,"61,225,979,786",0.865
3/19/15,"61,225,979,786",0.865
3/20/15,"61,225,979,786",0.865
3/23/15,"61,225,979,786",0.865
3/24/15,"61,225,979,786",0.865
3/25/15,"61,225,979,786",0.865
3/26/15,"61,225,979,786",0.865
3/27/15,"61,225,979,786",0.865
3/30/15,"61,225,979,786",0.865
3/31/15,"61,225,979,786",0.865
4/1/15,"61,225,979,786",0.865
4/2/15,"61,225,979,786",0.865
4/3/15,"61,225,979,786",0.865
4/6/15,"61,225,979,786",0.865
4/7/15,"61,225,979,786",0.865
4/8/15,"61,225,979,786",0.865
4/9/15,"61,225,979,786",0.865
4/10/15,"61,225,979,786",0.865
4/13/15,"61,225,979,786",0.865
4/14/15,"61,225,979,786",0.865
4/15/15,"61,225,979,786",0.865
4/16/15,"61,225,979,786",0.865
4/17/15,"61,225,979,786",0.865
4/20/15,"61,225,979,786",0.865
4/21/15,"61,225,979,786",0.865
4/22/15,"61,225,979,786",0.865
4/23/15,"61,225,979,786",0.865
4/24/15,"61,225,979,786",0.865
4/27/15,"61,225,979,786",0.865
4/28/15,"61,225,979,786",0.865
4/29/15,"61,225,979,786",0.865
4/30/15,"61,225,979,786",0.865
5/1/15,"61,225,979,786",0.865
5/4/15,"61,225,979,786",0.865
5/5/15,"61,225,979,786",0.865
5/6/15,"61,225,979,786",0.865
5/7/15,"61,225,979,786",0.865
5/8/15,"61,225,979,786",0.865
5/11/15,"61,225,979,786",0.865
5/12/15,"61,225,979,786",0.865
5/13/15,"61,225,979,786",0.865
5/14/15,"61,225,979,786",0.865
5/15/15,"61,225,979,786",0.865
5/18/15,"61,225,979,786",0.865
5/19/15,"61,225,979,786",0.865
5/20/15,"61,225,979,786",0.865
5/21/15,"61,225,979,786",0.865
5/22/15,"61,225,979,786",0.865
5/25/15,"61,225,979,786",0.865
5/26/15,"61,225,979,786",0.865
5/27/15,"61,225,979,786",0.865
5/28/15,"61,225,979,786",0.865
5/29/15,"61,225,979,786",0.865
6/1/15,"61,225,979,786",0.865
6/2/15,"61,225,979,786",0.865
6/3/15,"61,225,979,786",0.865
6/4/15,"61,225,979,786",0.865
6/5/15,"61,225,979,786",0.865
6/8/15,"61,225,979,786",0.865
6/9/15,"61,225,979,786",0.865
6/10/15,"61,225,979,786",0.865
6/11/15,"61,225,979,786",0.865
6/12/15,"61,225,979,786",0.865
6/15/15,"61,225,979,786",0.865
6/16/15,"61,225,979,786",0.865
6/17/15,"61,225,979,786",0.865
6/18/15,"61,225,979,786",0.865
6/19/15,"61,225,979,786",0.865
6/22/15,"61,225,979,786",0.865
6/23/15,"61,225,979,786",0.865
6/24/15,"61,225,979,786",0.865
6/25/15,"61,225,979,786",0.865
6/26/15,"61,225,979,786",0.865
6/29/15,"61,225,979,786",0.865
6/30/15,"61,225,979,786",0.865
7/1/15,"61,225,979,786",0.865
7/2/15,"61,225,979,786",0.865
7/3/15,"61,225,979,786",0.865
7/6/15,"61,225,979,786",0.865
7/7/15,"61,225,979,786",0.865
7/8/15,"61,225,979,786",0.865
7/9/15,"61,225,979,786",0.865
7/10/15,"61,225,979,786",0.865
7/13/15,"61,225,979,786",0.865
7/14/15,"61,225,979,786",0.865
7/15/15,"61,225,979,786",0.865
7/16/15,"61,225,979,786",0.865
7/17/15,"61,225,979,786",0.865
7/20/15,"61,225,979,786",0.865
7/21/15,"61,225,979,786",0.865
7/22/15,"61,225,979,786",0.865
7/23/15,"61,225,979,786",0.865
7/24/15,"61,225,979,786",0.865
7/27/15,"61,225,979,786",0.865
7/28/15,"61,225,979,786",0.865
7/29/15,"61,225,979,786",0.865
7/30/15,"61,225,979,786",0.865
7/31/15,"61,225,979,786",0.865
8/3/15,"61,225,979,786",0.865
8/4/15,"61,225,979,786",0.865
8/5/15,"61,225,979,786",0.865
8/6/15,"61,225,979,786",0.865
8/7/15,"61,225,979,786",0.865
8/10/15,"61,225,979,786",0.865
8/11/15,"61,225,979,786",0.865
8/12/15,"61,225,979,786",0.865
8/13/15,"61,225,979,786",0.865
8/14/15,"61,225,979,786",0.865
8/17/15,"61,225,979,786",0.865
8/18/15,"61,225,979,786",0.865
8/19/15,"61,225,979,786",0.865
8/20/15,"61,225,979,786",0.865
8/21/15,"61,225,979,786",0.865
8/24/15,"61,225,979,786",0.865
8/25/15,"61,225,979,786",0.865
8/26/15,"61,225,979,786",0.865
8/27/15,"61,225,979,786",0.865
8/28/15,"61,225,979,786",0.865
8/31/15,"61,225,979,786",0.865
9/1/15,"61,225,979,786",0.865
9/2/15,"61,225,979,786",0.865
9/3/15,"61,225,979,786",0.865
9/4/15,"61,225,979,786",0.865
9/7/15,"61,225,979,786",0.865
9/8/15,"61,225,979,786",0.865
9/9/15,"61,225,979,786",0.865
9/10/15,"61,225,979,786",0.865
9/11/15,"61,225,979,786",0.865
9/14/15,"61,225,979,786",0.865
9/15/15,"61,225,979,786",0.865
9/16/15,"61,225,979,786",0.865
9/17/15,"61,225,979,786",0.865
9/18/15,"61,225,979,786",0.865
9/21/15,"61,225,979,786",0.865
9/22/15,"61,225,979,786",0.865
9/23/15,"61,225,979,786",0.865
9/24/15,"61,225,979,786",0.865
9/25/15,"61,225,979,786",0.865
9/28/15,"61,225,979,786",0.865
9/29/15,"61,225,979,786",0.865
9/30/15,"61,225,979,786",0.865
10/1/15,"61,225,979,786",0.865
10/2/15,"61,225,979,786",0.865
10/5/15,"61,225,979,786",0.865
10/6/15,"61,225,979,786",0.865
10/7/15,"61,225,979,786",0.865
10/8/15,"61,225,979,786",0.865
10/9/15,"61,225,979,786",0.865
10/12/15,"61,225,979,786",0.865
10/13/15,"61,225,979,786",0.865
10/14/15,"61,225,979,786",0.865
10/15/15,"61,225,979,786",0.865
10/16/15,"61,225,979,786",0.865
10/19/15,"61,225,979,786",0.865
10/20/15,"61,225,979,786",0.865
10/21/15,"61,225,979,786",0.865
10/22/15,"61,225,979,786",0.865
10/23/15,"61,225,979,786",0.865
10/26/15,"61,225,979,786",0.865
10/27/15,"61,225,979,786",0.865
10/28/15,"61,225,979,786",0.865
10/29/15,"61,225,979,786",0.865
10/30/15,"61,225,979,786",0.865
11/2/15,"61,225,979,786",0.865
11/3/15,"61,225,979,786",0.865
11/4/15,"61,225,979,786",0.865
11/5/15,"61,225,979,786",0.865
11/6/15,"61,225,979,786",0.865
11/9/15,"61,225,979,786",0.865
11/10/15,"61,225,979,786",0.865
11/11/15,"61,225,979,786",0.865
11/12/15,"61,225,979,786",0.865
11/13/15,"61,225,979,786",0.865
11/16/15,"61,225,979,786",0.865
11/17/15,"61,225,979,786",0.865
11/18/15,"61,225,979,786",0.865
11/19/15,"61,225,979,786",0.865
11/20/15,"61,225,979,786",0.865
11/23/15,"61,225,979,786",0.865
11/24/15,"61,225,979,786",0.865
11/25/15,"61,225,979,786",0.865
11/26/15,"61,225,979,786",0.865
11/27/15,"61,225,979,786",0.865
11/30/15,"61,225,979,786",0.865
12/1/15,"61,225,979,786",0.865
12/2/15,"61,225,979,786",0.865
12/3/15,"61,225,979,786",0.865
12/4/15,"61,225,979,786",0.865
12/7/15,"61,225,979,786",0.865
12/8/15,"61,225,979,786",0.865
12/9/15,"61,225,979,786",0.865
12/10/15,"61,225,979,786",0.865
12/11/15,"61,225,979,786",0.865
12/14/15,"61,225,979,786",0.865
12/15/15,"61,225,979,786",0.865
12/16/15,"61,225,979,786",0.865
12/17/15,"61,225,979,786",0.865
12/18/15,"61,225,979,786",0.865
12/21/15,"61,225,979,786",0.865
12/22/15,"61,225,979,786",0.865
12/23/15,"61,225,979,786",0.865
12/24/15,"61,225,979,786",0.865
12/25/15,"61,225,979,786",0.865
12/28/15,"61,225,979,786",0.865
12/29/15,"61,225,979,786",0.865
12/30/15,"61,225,979,786",0.865
12/31/15,"52,935,955,190",0.751
1/1/16,"52,935,955,190",0.751
1/4/16,"52,935,955,190",0.751
1/5/16,"52,935,955,190",0.751
1/6/16,"52,935,955,190",0.751
1/7/16,"52,935,955,190",0.751
1/8/16,"52,935,955,190",0.751
1/11/16,"52,935,955,190",0.751
1/12/16,"52,935,955,190",0.751
1/13/16,"52,935,955,190",0.751
1/14/16,"52,935,955,190",0.751
1/15/16,"52,935,955,190",0.751
1/18/16,"52,935,955,190",0.751
1/19/16,"52,935,955,190",0.751
1/20/16,"52,935,955,190",0.751
1/21/16,"52,935,955,190",0.751
1/22/16,"52,935,955,190",0.751
1/25/16,"52,935,955,190",0.751
1/26/16,"52,935,955,190",0.751
1/27/16,"52,935,955,190",0.751
1/28/16,"52,935,955,190",0.751
1/29/16,"52,935,955,190",0.751
2/1/16,"52,935,955,190",0.751
2/2/16,"52,935,955,190",0.751
2/3/16,"52,935,955,190",0.751
2/4/16,"52,935,955,190",0.751
2/5/16,"52,935,955,190",0.751
2/8/16,"52,935,955,190",0.751
2/9/16,"52,935,955,190",0.751
2/10/16,"52,935,955,190",0.751
2/11/16,"52,935,955,190",0.751
2/12/16,"52,935,955,190",0.751
2/15/16,"52,935,955,190",0.751
2/16/16,"52,935,955,190",0.751
2/17/16,"52,935,955,190",0.751
2/18/16,"52,935,955,190",0.751
2/19/16,"52,935,955,190",0.751
2/22/16,"52,935,955,190",0.751
2/23/16,"52,935,955,190",0.751
2/24/16,"52,935,955,190",0.751
2/25/16,"52,935,955,190",0.751
2/26/16,"52,935,955,190",0.751
2/29/16,"52,935,955,190",0.751
3/1/16,"52,935,955,190",0.751
3/2/16,"52,935,955,190",0.751
3/3/16,"52,935,955,190",0.751
3/4/16,"52,935,955,190",0.751
3/7/16,"52,935,955,190",0.751
3/8/16,"52,935,955,190",0.751
3/9/16,"52,935,955,190",0.751
3/10/16,"52,935,955,190",0.751
3/11/16,"52,935,955,190",0.751
3/14/16,"52,935,955,190",0.751
3/15/16,"52,935,955,190",0.751
3/16/16,"52,935,955,190",0.751
3/17/16,"52,935,955,190",0.751
3/18/16,"52,935,955,190",0.751
3/21/16,"52,935,955,190",0.751
3/22/16,"52,935,955,190",0.751
3/23/16,"52,935,955,190",0.751
3/24/16,"52,935,955,190",0.751
3/25/16,"52,935,955,190",0.751
3/28/16,"52,935,955,190",0.751
3/29/16,"52,935,955,190",0.751
3/30/16,"52,935,955,190",0.751
3/31/16,"52,935,955,190",0.751
4/1/16,"52,935,955,190",0.751
4/4/16,"52,935,955,190",0.751
4/5/16,"52,935,955,190",0.751
4/6/16,"52,935,955,190",0.751
4/7/16,"52,935,955,190",0.751
4/8/16,"52,935,955,190",0.751
4/11/16,"52,935,955,190",0.751
4/12/16,"52,935,955,190",0.751
4/13/16,"52,935,955,190",0.751
4/14/16,"52,935,955,190",0.751
4/15/16,"52,935,955,190",0.751
4/18/16,"52,935,955,190",0.751
4/19/16,"52,935,955,190",0.751
4/20/16,"52,935,955,190",0.751
4/21/16,"52,935,955,190",0.751
4/22/16,"52,935,955,190",0.751
4/25/16,"52,935,955,190",0.751
4/26/16,"52,935,955,190",0.751
4/27/16,"52,935,955,190",0.751
4/28/16,"52,935,955,190",0.751
4/29/16,"52,935,955,190",0.751
5/2/16,"52,935,955,190",0.751
5/3/16,"52,935,955,190",0.751
5/4/16,"52,935,955,190",0.751
5/5/16,"52,935,955,190",0.751
5/6/16,"52,935,955,190",0.751
5/9/16,"52,935,955,190",0.751
5/10/16,"52,935,955,190",0.751
5/11/16,"52,935,955,190",0.751
5/12/16,"52,935,955,190",0.751
5/13/16,"52,935,955,190",0.751
5/16/16,"52,935,955,190",0.751
5/17/16,"52,935,955,190",0.751
5/18/16,"52,935,955,190",0.751
5/19/16,"52,935,955,190",0.751
5/20/16,"52,935,955,190",0.751
5/23/16,"52,935,955,190",0.751
5/24/16,"52,935,955,190",0.751
5/25/16,"52,935,955,190",0.751
5/26/16,"52,935,955,190",0.751
5/27/16,"52,935,955,190",0.751
5/30/16,"52,935,955,190",0.751
5/31/16,"52,935,955,190",0.751
6/1/16,"52,935,955,190",0.751
6/2/16,"52,935,955,190",0.751
6/3/16,"52,935,955,190",0.751
