Date,Size,P/B RATIO
12/31/14,"47,086,470,000",2.503
1/1/15,"47,086,470,000",2.503
1/2/15,"47,086,470,000",2.503
1/5/15,"47,086,470,000",2.503
1/6/15,"47,086,470,000",2.503
1/7/15,"47,086,470,000",2.503
1/8/15,"47,086,470,000",2.503
1/9/15,"47,086,470,000",2.503
1/12/15,"47,086,470,000",2.503
1/13/15,"47,086,470,000",2.503
1/14/15,"47,086,470,000",2.503
1/15/15,"47,086,470,000",2.503
1/16/15,"47,086,470,000",2.503
1/19/15,"47,086,470,000",2.503
1/20/15,"47,086,470,000",2.503
1/21/15,"47,086,470,000",2.503
1/22/15,"47,086,470,000",2.503
1/23/15,"47,086,470,000",2.503
1/26/15,"47,086,470,000",2.503
1/27/15,"47,086,470,000",2.503
1/28/15,"47,086,470,000",2.503
1/29/15,"47,086,470,000",2.503
1/30/15,"47,086,470,000",2.503
2/2/15,"47,086,470,000",2.503
2/3/15,"47,086,470,000",2.503
2/4/15,"47,086,470,000",2.503
2/5/15,"47,086,470,000",2.503
2/6/15,"47,086,470,000",2.503
2/9/15,"47,086,470,000",2.503
2/10/15,"47,086,470,000",2.503
2/11/15,"47,086,470,000",2.503
2/12/15,"47,086,470,000",2.503
2/13/15,"47,086,470,000",2.503
2/16/15,"47,086,470,000",2.503
2/17/15,"47,086,470,000",2.503
2/18/15,"47,086,470,000",2.503
2/19/15,"47,086,470,000",2.503
2/20/15,"47,086,470,000",2.503
2/23/15,"47,086,470,000",2.503
2/24/15,"47,086,470,000",2.503
2/25/15,"47,086,470,000",2.503
2/26/15,"47,086,470,000",2.503
2/27/15,"47,086,470,000",2.503
3/2/15,"47,086,470,000",2.503
3/3/15,"47,086,470,000",2.503
3/4/15,"47,086,470,000",2.503
3/5/15,"47,086,470,000",2.503
3/6/15,"47,086,470,000",2.503
3/9/15,"47,086,470,000",2.503
3/10/15,"47,086,470,000",2.503
3/11/15,"47,086,470,000",2.503
3/12/15,"47,086,470,000",2.503
3/13/15,"47,086,470,000",2.503
3/16/15,"47,086,470,000",2.503
3/17/15,"47,086,470,000",2.503
3/18/15,"47,086,470,000",2.503
3/19/15,"47,086,470,000",2.503
3/20/15,"47,086,470,000",2.503
3/23/15,"47,086,470,000",2.503
3/24/15,"47,086,470,000",2.503
3/25/15,"47,086,470,000",2.503
3/26/15,"47,086,470,000",2.503
3/27/15,"47,086,470,000",2.503
3/30/15,"47,086,470,000",2.503
3/31/15,"47,086,470,000",2.503
4/1/15,"47,086,470,000",2.503
4/2/15,"47,086,470,000",2.503
4/3/15,"47,086,470,000",2.503
4/6/15,"47,086,470,000",2.503
4/7/15,"47,086,470,000",2.503
4/8/15,"47,086,470,000",2.503
4/9/15,"47,086,470,000",2.503
4/10/15,"47,086,470,000",2.503
4/13/15,"47,086,470,000",2.503
4/14/15,"47,086,470,000",2.503
4/15/15,"47,086,470,000",2.503
4/16/15,"47,086,470,000",2.503
4/17/15,"47,086,470,000",2.503
4/20/15,"47,086,470,000",2.503
4/21/15,"47,086,470,000",2.503
4/22/15,"47,086,470,000",2.503
4/23/15,"47,086,470,000",2.503
4/24/15,"47,086,470,000",2.503
4/27/15,"47,086,470,000",2.503
4/28/15,"47,086,470,000",2.503
4/29/15,"47,086,470,000",2.503
4/30/15,"47,086,470,000",2.503
5/1/15,"47,086,470,000",2.503
5/4/15,"47,086,470,000",2.503
5/5/15,"47,086,470,000",2.503
5/6/15,"47,086,470,000",2.503
5/7/15,"47,086,470,000",2.503
5/8/15,"47,086,470,000",2.503
5/11/15,"47,086,470,000",2.503
5/12/15,"47,086,470,000",2.503
5/13/15,"47,086,470,000",2.503
5/14/15,"47,086,470,000",2.503
5/15/15,"47,086,470,000",2.503
5/18/15,"47,086,470,000",2.503
5/19/15,"47,086,470,000",2.503
5/20/15,"47,086,470,000",2.503
5/21/15,"47,086,470,000",2.503
5/22/15,"47,086,470,000",2.503
5/25/15,"47,086,470,000",2.503
5/26/15,"47,086,470,000",2.503
5/27/15,"47,086,470,000",2.503
5/28/15,"47,086,470,000",2.503
5/29/15,"47,086,470,000",2.503
6/1/15,"47,086,470,000",2.503
6/2/15,"47,086,470,000",2.503
6/3/15,"47,086,470,000",2.503
6/4/15,"47,086,470,000",2.503
6/5/15,"47,086,470,000",2.503
6/8/15,"47,086,470,000",2.503
6/9/15,"47,086,470,000",2.503
6/10/15,"47,086,470,000",2.503
6/11/15,"47,086,470,000",2.503
6/12/15,"47,086,470,000",2.503
6/15/15,"47,086,470,000",2.503
6/16/15,"47,086,470,000",2.503
6/17/15,"47,086,470,000",2.503
6/18/15,"47,086,470,000",2.503
6/19/15,"47,086,470,000",2.503
6/22/15,"47,086,470,000",2.503
6/23/15,"47,086,470,000",2.503
6/24/15,"47,086,470,000",2.503
6/25/15,"47,086,470,000",2.503
6/26/15,"47,086,470,000",2.503
6/29/15,"47,086,470,000",2.503
6/30/15,"47,086,470,000",2.503
7/1/15,"47,086,470,000",2.503
7/2/15,"47,086,470,000",2.503
7/3/15,"47,086,470,000",2.503
7/6/15,"47,086,470,000",2.503
7/7/15,"47,086,470,000",2.503
7/8/15,"47,086,470,000",2.503
7/9/15,"47,086,470,000",2.503
7/10/15,"47,086,470,000",2.503
7/13/15,"47,086,470,000",2.503
7/14/15,"47,086,470,000",2.503
7/15/15,"47,086,470,000",2.503
7/16/15,"47,086,470,000",2.503
7/17/15,"47,086,470,000",2.503
7/20/15,"47,086,470,000",2.503
7/21/15,"47,086,470,000",2.503
7/22/15,"47,086,470,000",2.503
7/23/15,"47,086,470,000",2.503
7/24/15,"47,086,470,000",2.503
7/27/15,"47,086,470,000",2.503
7/28/15,"47,086,470,000",2.503
7/29/15,"47,086,470,000",2.503
7/30/15,"47,086,470,000",2.503
7/31/15,"47,086,470,000",2.503
8/3/15,"47,086,470,000",2.503
8/4/15,"47,086,470,000",2.503
8/5/15,"47,086,470,000",2.503
8/6/15,"47,086,470,000",2.503
8/7/15,"47,086,470,000",2.503
8/10/15,"47,086,470,000",2.503
8/11/15,"47,086,470,000",2.503
8/12/15,"47,086,470,000",2.503
8/13/15,"47,086,470,000",2.503
8/14/15,"47,086,470,000",2.503
8/17/15,"47,086,470,000",2.503
8/18/15,"47,086,470,000",2.503
8/19/15,"47,086,470,000",2.503
8/20/15,"47,086,470,000",2.503
8/21/15,"47,086,470,000",2.503
8/24/15,"47,086,470,000",2.503
8/25/15,"47,086,470,000",2.503
8/26/15,"47,086,470,000",2.503
8/27/15,"47,086,470,000",2.503
8/28/15,"47,086,470,000",2.503
8/31/15,"47,086,470,000",2.503
9/1/15,"47,086,470,000",2.503
9/2/15,"47,086,470,000",2.503
9/3/15,"47,086,470,000",2.503
9/4/15,"47,086,470,000",2.503
9/7/15,"47,086,470,000",2.503
9/8/15,"47,086,470,000",2.503
9/9/15,"47,086,470,000",2.503
9/10/15,"47,086,470,000",2.503
9/11/15,"47,086,470,000",2.503
9/14/15,"47,086,470,000",2.503
9/15/15,"47,086,470,000",2.503
9/16/15,"47,086,470,000",2.503
9/17/15,"47,086,470,000",2.503
9/18/15,"47,086,470,000",2.503
9/21/15,"47,086,470,000",2.503
9/22/15,"47,086,470,000",2.503
9/23/15,"47,086,470,000",2.503
9/24/15,"47,086,470,000",2.503
9/25/15,"47,086,470,000",2.503
9/28/15,"47,086,470,000",2.503
9/29/15,"47,086,470,000",2.503
9/30/15,"47,086,470,000",2.503
10/1/15,"47,086,470,000",2.503
10/2/15,"47,086,470,000",2.503
10/5/15,"47,086,470,000",2.503
10/6/15,"47,086,470,000",2.503
10/7/15,"47,086,470,000",2.503
10/8/15,"47,086,470,000",2.503
10/9/15,"47,086,470,000",2.503
10/12/15,"47,086,470,000",2.503
10/13/15,"47,086,470,000",2.503
10/14/15,"47,086,470,000",2.503
10/15/15,"47,086,470,000",2.503
10/16/15,"47,086,470,000",2.503
10/19/15,"47,086,470,000",2.503
10/20/15,"47,086,470,000",2.503
10/21/15,"47,086,470,000",2.503
10/22/15,"47,086,470,000",2.503
10/23/15,"47,086,470,000",2.503
10/26/15,"47,086,470,000",2.503
10/27/15,"47,086,470,000",2.503
10/28/15,"47,086,470,000",2.503
10/29/15,"47,086,470,000",2.503
10/30/15,"47,086,470,000",2.503
11/2/15,"47,086,470,000",2.503
11/3/15,"47,086,470,000",2.503
11/4/15,"47,086,470,000",2.503
11/5/15,"47,086,470,000",2.503
