Date,Size,P/B RATIO
12/31/15,"262,187,343",1.627
1/1/16,"262,187,343",1.627
1/4/16,"262,187,343",1.627
1/5/16,"262,187,343",1.627
1/6/16,"262,187,343",1.627
1/7/16,"262,187,343",1.627
1/8/16,"262,187,343",1.627
1/11/16,"262,187,343",1.627
1/12/16,"262,187,343",1.627
1/13/16,"262,187,343",1.627
1/14/16,"262,187,343",1.627
1/15/16,"262,187,343",1.627
1/18/16,"262,187,343",1.627
1/19/16,"262,187,343",1.627
1/20/16,"262,187,343",1.627
1/21/16,"262,187,343",1.627
1/22/16,"262,187,343",1.627
1/25/16,"262,187,343",1.627
1/26/16,"262,187,343",1.627
1/27/16,"262,187,343",1.627
1/28/16,"262,187,343",1.627
1/29/16,"262,187,343",1.627
2/1/16,"262,187,343",1.627
2/2/16,"262,187,343",1.627
2/3/16,"262,187,343",1.627
2/4/16,"262,187,343",1.627
2/5/16,"262,187,343",1.627
2/8/16,"262,187,343",1.627
2/9/16,"262,187,343",1.627
2/10/16,"262,187,343",1.627
2/11/16,"262,187,343",1.627
2/12/16,"262,187,343",1.627
2/15/16,"262,187,343",1.627
2/16/16,"262,187,343",1.627
2/17/16,"262,187,343",1.627
2/18/16,"262,187,343",1.627
2/19/16,"262,187,343",1.627
2/22/16,"262,187,343",1.627
2/23/16,"262,187,343",1.627
2/24/16,"262,187,343",1.627
2/25/16,"262,187,343",1.627
2/26/16,"262,187,343",1.627
2/29/16,"262,187,343",1.627
3/1/16,"262,187,343",1.627
3/2/16,"262,187,343",1.627
3/3/16,"262,187,343",1.627
3/4/16,"262,187,343",1.627
3/7/16,"262,187,343",1.627
3/8/16,"262,187,343",1.627
3/9/16,"262,187,343",1.627
3/10/16,"262,187,343",1.627
3/11/16,"262,187,343",1.627
3/14/16,"262,187,343",1.627
3/15/16,"262,187,343",1.627
3/16/16,"262,187,343",1.627
3/17/16,"262,187,343",1.627
3/18/16,"262,187,343",1.627
3/21/16,"262,187,343",1.627
3/22/16,"262,187,343",1.627
3/23/16,"262,187,343",1.627
3/24/16,"262,187,343",1.627
3/25/16,"262,187,343",1.627
3/28/16,"262,187,343",1.627
3/29/16,"262,187,343",1.627
3/30/16,"262,187,343",1.627
3/31/16,"262,187,343",1.627
4/1/16,"262,187,343",1.627
4/4/16,"262,187,343",1.627
4/5/16,"262,187,343",1.627
4/6/16,"262,187,343",1.627
4/7/16,"262,187,343",1.627
4/8/16,"262,187,343",1.627
4/11/16,"262,187,343",1.627
4/12/16,"262,187,343",1.627
4/13/16,"262,187,343",1.627
4/14/16,"262,187,343",1.627
4/15/16,"262,187,343",1.627
4/18/16,"262,187,343",1.627
4/19/16,"262,187,343",1.627
4/20/16,"262,187,343",1.627
4/21/16,"262,187,343",1.627
4/22/16,"262,187,343",1.627
4/25/16,"262,187,343",1.627
4/26/16,"262,187,343",1.627
4/27/16,"262,187,343",1.627
4/28/16,"262,187,343",1.627
4/29/16,"262,187,343",1.627
5/2/16,"262,187,343",1.627
5/3/16,"262,187,343",1.627
5/4/16,"262,187,343",1.627
5/5/16,"262,187,343",1.627
5/6/16,"262,187,343",1.627
5/9/16,"262,187,343",1.627
5/10/16,"262,187,343",1.627
5/11/16,"262,187,343",1.627
5/12/16,"262,187,343",1.627
5/13/16,"262,187,343",1.627
5/16/16,"262,187,343",1.627
5/17/16,"262,187,343",1.627
5/18/16,"262,187,343",1.627
5/19/16,"262,187,343",1.627
5/20/16,"262,187,343",1.627
5/23/16,"262,187,343",1.627
5/24/16,"262,187,343",1.627
5/25/16,"262,187,343",1.627
5/26/16,"262,187,343",1.627
5/27/16,"262,187,343",1.627
5/30/16,"262,187,343",1.627
5/31/16,"262,187,343",1.627
6/1/16,"262,187,343",1.627
6/2/16,"262,187,343",1.627
6/3/16,"262,187,343",1.627
6/6/16,"262,187,343",1.627
6/7/16,"262,187,343",1.627
6/8/16,"262,187,343",1.627
6/9/16,"262,187,343",1.627
6/10/16,"262,187,343",1.627
6/13/16,"262,187,343",1.627
6/14/16,"262,187,343",1.627
6/15/16,"262,187,343",1.627
6/16/16,"262,187,343",1.627
6/17/16,"262,187,343",1.627
6/20/16,"262,187,343",1.627
6/21/16,"262,187,343",1.627
6/22/16,"262,187,343",1.627
6/23/16,"262,187,343",1.627
6/24/16,"262,187,343",1.627
6/27/16,"262,187,343",1.627
6/28/16,"262,187,343",1.627
6/29/16,"262,187,343",1.627
6/30/16,"262,187,343",1.627
7/1/16,"262,187,343",1.627
7/4/16,"262,187,343",1.627
7/5/16,"262,187,343",1.627
7/6/16,"262,187,343",1.627
7/7/16,"262,187,343",1.627
7/8/16,"262,187,343",1.627
7/11/16,"262,187,343",1.627
7/12/16,"262,187,343",1.627
7/13/16,"262,187,343",1.627
7/14/16,"262,187,343",1.627
7/15/16,"262,187,343",1.627
7/18/16,"262,187,343",1.627
7/19/16,"262,187,343",1.627
7/20/16,"262,187,343",1.627
7/21/16,"262,187,343",1.627
7/22/16,"262,187,343",1.627
7/25/16,"262,187,343",1.627
7/26/16,"262,187,343",1.627
7/27/16,"262,187,343",1.627
7/28/16,"262,187,343",1.627
7/29/16,"262,187,343",1.627
8/1/16,"262,187,343",1.627
8/2/16,"262,187,343",1.627
8/3/16,"262,187,343",1.627
8/4/16,"262,187,343",1.627
8/5/16,"262,187,343",1.627
8/8/16,"262,187,343",1.627
8/9/16,"262,187,343",1.627
