Date,Size,P/B RATIO
12/31/18,"607,879,022",0.782
1/1/19,"607,879,022",0.782
1/2/19,"607,879,022",0.782
1/3/19,"607,879,022",0.782
1/4/19,"607,879,022",0.782
1/7/19,"607,879,022",0.782
1/8/19,"607,879,022",0.782
1/9/19,"607,879,022",0.782
1/10/19,"607,879,022",0.782
1/11/19,"607,879,022",0.782
1/14/19,"607,879,022",0.782
1/15/19,"607,879,022",0.782
1/16/19,"607,879,022",0.782
1/17/19,"607,879,022",0.782
1/18/19,"607,879,022",0.782
1/21/19,"607,879,022",0.782
1/22/19,"607,879,022",0.782
1/23/19,"607,879,022",0.782
1/24/19,"607,879,022",0.782
1/25/19,"607,879,022",0.782
1/28/19,"607,879,022",0.782
1/29/19,"607,879,022",0.782
1/30/19,"607,879,022",0.782
1/31/19,"607,879,022",0.782
2/1/19,"607,879,022",0.782
2/4/19,"607,879,022",0.782
2/5/19,"607,879,022",0.782
2/6/19,"607,879,022",0.782
2/7/19,"607,879,022",0.782
2/8/19,"607,879,022",0.782
2/11/19,"607,879,022",0.782
2/12/19,"607,879,022",0.782
2/13/19,"607,879,022",0.782
2/14/19,"607,879,022",0.782
2/15/19,"607,879,022",0.782
2/18/19,"607,879,022",0.782
2/19/19,"607,879,022",0.782
2/20/19,"607,879,022",0.782
2/21/19,"607,879,022",0.782
2/22/19,"607,879,022",0.782
2/25/19,"607,879,022",0.782
2/26/19,"607,879,022",0.782
2/27/19,"607,879,022",0.782
2/28/19,"607,879,022",0.782
3/1/19,"607,879,022",0.782
3/4/19,"607,879,022",0.782
3/5/19,"607,879,022",0.782
3/6/19,"607,879,022",0.782
3/7/19,"607,879,022",0.782
3/8/19,"607,879,022",0.782
3/11/19,"607,879,022",0.782
3/12/19,"607,879,022",0.782
3/13/19,"607,879,022",0.782
3/14/19,"607,879,022",0.782
3/15/19,"607,879,022",0.782
3/18/19,"607,879,022",0.782
3/19/19,"607,879,022",0.782
3/20/19,"607,879,022",0.782
3/21/19,"607,879,022",0.782
3/22/19,"607,879,022",0.782
3/25/19,"607,879,022",0.782
3/26/19,"607,879,022",0.782
3/27/19,"607,879,022",0.782
3/28/19,"607,879,022",0.782
3/29/19,"607,879,022",0.782
4/1/19,"607,879,022",0.782
4/2/19,"607,879,022",0.782
4/3/19,"607,879,022",0.782
4/4/19,"607,879,022",0.782
4/5/19,"607,879,022",0.782
4/8/19,"607,879,022",0.782
4/9/19,"607,879,022",0.782
4/10/19,"607,879,022",0.782
4/11/19,"607,879,022",0.782
4/12/19,"607,879,022",0.782
4/15/19,"607,879,022",0.782
4/16/19,"607,879,022",0.782
4/17/19,"607,879,022",0.782
4/18/19,"607,879,022",0.782
4/19/19,"607,879,022",0.782
4/22/19,"607,879,022",0.782
4/23/19,"607,879,022",0.782
4/24/19,"607,879,022",0.782
4/25/19,"607,879,022",0.782
