Date,Size,P/B RATIO
12/31/14,"21,923,698,940",1.641
1/1/15,"21,923,698,940",1.641
1/2/15,"21,923,698,940",1.641
1/5/15,"21,923,698,940",1.641
1/6/15,"21,923,698,940",1.641
1/7/15,"21,923,698,940",1.641
1/8/15,"21,923,698,940",1.641
1/9/15,"21,923,698,940",1.641
1/12/15,"21,923,698,940",1.641
1/13/15,"21,923,698,940",1.641
1/14/15,"21,923,698,940",1.641
1/15/15,"21,923,698,940",1.641
1/16/15,"21,923,698,940",1.641
1/19/15,"21,923,698,940",1.641
1/20/15,"21,923,698,940",1.641
1/21/15,"21,923,698,940",1.641
1/22/15,"21,923,698,940",1.641
1/23/15,"21,923,698,940",1.641
1/26/15,"21,923,698,940",1.641
1/27/15,"21,923,698,940",1.641
1/28/15,"21,923,698,940",1.641
1/29/15,"21,923,698,940",1.641
1/30/15,"21,923,698,940",1.641
2/2/15,"21,923,698,940",1.641
2/3/15,"21,923,698,940",1.641
2/4/15,"21,923,698,940",1.641
2/5/15,"21,923,698,940",1.641
2/6/15,"21,923,698,940",1.641
2/9/15,"21,923,698,940",1.641
2/10/15,"21,923,698,940",1.641
2/11/15,"21,923,698,940",1.641
2/12/15,"21,923,698,940",1.641
2/13/15,"21,923,698,940",1.641
2/16/15,"21,923,698,940",1.641
2/17/15,"21,923,698,940",1.641
2/18/15,"21,923,698,940",1.641
2/19/15,"21,923,698,940",1.641
2/20/15,"21,923,698,940",1.641
2/23/15,"21,923,698,940",1.641
2/24/15,"21,923,698,940",1.641
2/25/15,"21,923,698,940",1.641
2/26/15,"21,923,698,940",1.641
2/27/15,"21,923,698,940",1.641
3/2/15,"21,923,698,940",1.641
3/3/15,"21,923,698,940",1.641
3/4/15,"21,923,698,940",1.641
3/5/15,"21,923,698,940",1.641
3/6/15,"21,923,698,940",1.641
3/9/15,"21,923,698,940",1.641
3/10/15,"21,923,698,940",1.641
3/11/15,"21,923,698,940",1.641
3/12/15,"21,923,698,940",1.641
3/13/15,"21,923,698,940",1.641
3/16/15,"21,923,698,940",1.641
3/17/15,"21,923,698,940",1.641
3/18/15,"21,923,698,940",1.641
3/19/15,"21,923,698,940",1.641
3/20/15,"21,923,698,940",1.641
3/23/15,"21,923,698,940",1.641
3/24/15,"21,923,698,940",1.641
3/25/15,"21,923,698,940",1.641
3/26/15,"21,923,698,940",1.641
3/27/15,"21,923,698,940",1.641
3/30/15,"21,923,698,940",1.641
3/31/15,"21,923,698,940",1.641
4/1/15,"21,923,698,940",1.641
4/2/15,"21,923,698,940",1.641
4/3/15,"21,923,698,940",1.641
4/6/15,"21,923,698,940",1.641
4/7/15,"21,923,698,940",1.641
4/8/15,"21,923,698,940",1.641
4/9/15,"21,923,698,940",1.641
4/10/15,"21,923,698,940",1.641
4/13/15,"21,923,698,940",1.641
4/14/15,"21,923,698,940",1.641
4/15/15,"21,923,698,940",1.641
4/16/15,"21,923,698,940",1.641
4/17/15,"21,923,698,940",1.641
4/20/15,"21,923,698,940",1.641
4/21/15,"21,923,698,940",1.641
4/22/15,"21,923,698,940",1.641
4/23/15,"21,923,698,940",1.641
4/24/15,"21,923,698,940",1.641
4/27/15,"21,923,698,940",1.641
4/28/15,"21,923,698,940",1.641
4/29/15,"21,923,698,940",1.641
4/30/15,"21,923,698,940",1.641
5/1/15,"21,923,698,940",1.641
5/4/15,"21,923,698,940",1.641
5/5/15,"21,923,698,940",1.641
5/6/15,"21,923,698,940",1.641
5/7/15,"21,923,698,940",1.641
5/8/15,"21,923,698,940",1.641
5/11/15,"21,923,698,940",1.641
5/12/15,"21,923,698,940",1.641
5/13/15,"21,923,698,940",1.641
5/14/15,"21,923,698,940",1.641
5/15/15,"21,923,698,940",1.641
5/18/15,"21,923,698,940",1.641
5/19/15,"21,923,698,940",1.641
5/20/15,"21,923,698,940",1.641
5/21/15,"21,923,698,940",1.641
5/22/15,"21,923,698,940",1.641
5/25/15,"21,923,698,940",1.641
5/26/15,"21,923,698,940",1.641
5/27/15,"21,923,698,940",1.641
5/28/15,"21,923,698,940",1.641
5/29/15,"21,923,698,940",1.641
6/1/15,"21,923,698,940",1.641
6/2/15,"21,923,698,940",1.641
6/3/15,"21,923,698,940",1.641
6/4/15,"21,923,698,940",1.641
6/5/15,"21,923,698,940",1.641
6/8/15,"21,923,698,940",1.641
6/9/15,"21,923,698,940",1.641
6/10/15,"21,923,698,940",1.641
6/11/15,"21,923,698,940",1.641
