Date,Size,P/B RATIO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/14,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/9/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/14/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/16/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/23/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/28/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/29/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/30/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/4/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/5/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/6/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/9/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/11/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/13/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/17/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/18/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/19/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/23/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/25/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/26/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/3/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/5/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/9/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/11/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/13/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/16/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/17/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/20/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/23/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/25/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
