Date,Size,P/B RATIO,
12/31/14,"12,786,116,894",1.4,
1/1/15,"12,786,116,894",1.4,
1/2/15,"12,786,116,894",1.4,
1/5/15,"12,786,116,894",1.4,
1/6/15,"12,786,116,894",1.4,
1/7/15,"12,786,116,894",1.4,
1/8/15,"12,786,116,894",1.4,
1/9/15,"12,786,116,894",1.4,
1/12/15,"12,786,116,894",1.4,
1/13/15,"12,786,116,894",1.4,
1/14/15,"12,786,116,894",1.4,
1/15/15,"12,786,116,894",1.4,
1/16/15,"12,786,116,894",1.4,
1/19/15,"12,786,116,894",1.4,
1/20/15,"12,786,116,894",1.4,
1/21/15,"12,786,116,894",1.4,
1/22/15,"12,786,116,894",1.4,
1/23/15,"12,786,116,894",1.4,
1/26/15,"12,786,116,894",1.4,
1/27/15,"12,786,116,894",1.4,
1/28/15,"12,786,116,894",1.4,
1/29/15,"12,786,116,894",1.4,
1/30/15,"12,786,116,894",1.4,
2/2/15,"12,786,116,894",1.4,
2/3/15,"12,786,116,894",1.4,
2/4/15,"12,786,116,894",1.4,
2/5/15,"12,786,116,894",1.4,
2/6/15,"12,786,116,894",1.4,
2/9/15,"12,786,116,894",1.4,
2/10/15,"12,786,116,894",1.4,
2/11/15,"12,786,116,894",1.4,
2/12/15,"12,786,116,894",1.4,
2/13/15,"12,786,116,894",1.4,
2/16/15,"12,786,116,894",1.4,
2/17/15,"12,786,116,894",1.4,
2/18/15,"12,786,116,894",1.4,
2/19/15,"12,786,116,894",1.4,
2/20/15,"12,786,116,894",1.4,
2/23/15,"12,786,116,894",1.4,
2/24/15,"12,786,116,894",1.4,
2/25/15,"12,786,116,894",1.4,
2/26/15,"12,786,116,894",1.4,
2/27/15,"12,786,116,894",1.4,
3/2/15,"12,786,116,894",1.4,
3/3/15,"12,786,116,894",1.4,
3/4/15,"12,786,116,894",1.4,
3/5/15,"12,786,116,894",1.4,
3/6/15,"12,786,116,894",1.4,
3/9/15,"12,786,116,894",1.4,
3/10/15,"12,786,116,894",1.4,
3/11/15,"12,786,116,894",1.4,
3/12/15,"12,786,116,894",1.4,
3/13/15,"12,786,116,894",1.4,
3/16/15,"12,786,116,894",1.4,
3/17/15,"12,786,116,894",1.4,
3/18/15,"12,786,116,894",1.4,
3/19/15,"12,786,116,894",1.4,
3/20/15,"12,786,116,894",1.4,
3/23/15,"12,786,116,894",1.4,
3/24/15,"12,786,116,894",1.4,
3/25/15,"12,786,116,894",1.4,
3/26/15,"12,786,116,894",1.4,
3/27/15,"12,786,116,894",1.4,
3/30/15,"12,786,116,894",1.4,
3/31/15,"15,372,893,553",1.877,
4/1/15,"15,372,893,553",1.877,
4/2/15,"15,372,893,553",1.877,
4/3/15,"15,372,893,553",1.877,
4/6/15,"15,372,893,553",1.877,
4/7/15,"15,372,893,553",1.877,
4/8/15,"15,372,893,553",1.877,
4/9/15,"15,372,893,553",1.877,
4/10/15,"15,372,893,553",1.877,
4/13/15,"15,372,893,553",1.877,
4/14/15,"15,372,893,553",1.877,
4/15/15,"15,372,893,553",1.877,
4/16/15,"15,372,893,553",1.877,
4/17/15,"15,372,893,553",1.877,
4/20/15,"15,372,893,553",1.877,
4/21/15,"15,372,893,553",1.877,
4/22/15,"15,372,893,553",1.877,
4/23/15,"15,372,893,553",1.877,
4/24/15,"15,372,893,553",1.877,
4/27/15,"15,372,893,553",1.877,
4/28/15,"15,372,893,553",1.877,
4/29/15,"15,372,893,553",1.877,
4/30/15,"15,372,893,553",1.877,
5/1/15,"15,372,893,553",1.877,
5/4/15,"15,372,893,553",1.877,
5/5/15,"15,372,893,553",1.877,
5/6/15,"15,372,893,553",1.877,
5/7/15,"15,372,893,553",1.877,
5/8/15,"15,372,893,553",1.877,
5/11/15,"15,372,893,553",1.877,
5/12/15,"15,372,893,553",1.877,
5/13/15,"15,372,893,553",1.877,
5/14/15,"15,372,893,553",1.877,
5/15/15,"15,372,893,553",1.877,
5/18/15,"15,372,893,553",1.877,
5/19/15,"15,372,893,553",1.877,
5/20/15,"15,372,893,553",1.877,
5/21/15,"15,372,893,553",1.877,
5/22/15,"15,372,893,553",1.877,
5/25/15,"15,372,893,553",1.877,
5/26/15,"15,372,893,553",1.877,
5/27/15,"15,372,893,553",1.877,
5/28/15,"15,372,893,553",1.877,
5/29/15,"15,372,893,553",1.877,
6/1/15,"15,372,893,553",1.877,
6/2/15,"15,372,893,553",1.877,
6/3/15,"15,372,893,553",1.877,
6/4/15,"15,372,893,553",1.877,
6/5/15,"15,372,893,553",1.877,
6/8/15,"15,372,893,553",1.877,
6/9/15,"15,372,893,553",1.877,
6/10/15,"15,372,893,553",1.877,
6/11/15,"15,372,893,553",1.877,
6/12/15,"15,372,893,553",1.877,
6/15/15,"15,372,893,553",1.877,
6/16/15,"15,372,893,553",1.877,
6/17/15,"15,372,893,553",1.877,
6/18/15,"15,372,893,553",1.877,
6/19/15,"15,372,893,553",1.877,
6/22/15,"15,372,893,553",1.877,
6/23/15,"15,372,893,553",1.877,
6/24/15,"15,372,893,553",1.877,
6/25/15,"15,372,893,553",1.877,
6/26/15,"15,372,893,553",1.877,
6/29/15,"15,372,893,553",1.877,
6/30/15,"15,372,893,553",1.877,
7/1/15,"15,372,893,553",1.877,
7/2/15,"15,372,893,553",1.877,
7/3/15,"15,372,893,553",1.877,
7/6/15,"15,372,893,553",1.877,
7/7/15,"15,372,893,553",1.877,
7/8/15,"15,372,893,553",1.877,
7/9/15,"15,372,893,553",1.877,
7/10/15,"15,372,893,553",1.877,
7/13/15,"15,372,893,553",1.877,
7/14/15,"15,372,893,553",1.877,
7/15/15,"15,372,893,553",1.877,
7/16/15,"15,372,893,553",1.877,
7/17/15,"15,372,893,553",1.877,
7/20/15,"15,372,893,553",1.877,
7/21/15,"15,372,893,553",1.877,
7/22/15,"15,372,893,553",1.877,
7/23/15,"15,372,893,553",1.877,
7/24/15,"15,372,893,553",1.877,
7/27/15,"15,372,893,553",1.877,
7/28/15,"15,372,893,553",1.877,
7/29/15,"15,372,893,553",1.877,
7/30/15,"15,372,893,553",1.877,
7/31/15,"15,372,893,553",1.877,
8/3/15,"15,372,893,553",1.877,
8/4/15,"15,372,893,553",1.877,
8/5/15,"15,372,893,553",1.877,
8/6/15,"15,372,893,553",1.877,
8/7/15,"15,372,893,553",1.877,
8/10/15,"15,372,893,553",1.877,
8/11/15,"15,372,893,553",1.877,
8/12/15,"15,372,893,553",1.877,
8/13/15,"15,372,893,553",1.877,
8/14/15,"15,372,893,553",1.877,
8/17/15,"15,372,893,553",1.877,
8/18/15,"15,372,893,553",1.877,
8/19/15,"15,372,893,553",1.877,
8/20/15,"15,372,893,553",1.877,
8/21/15,"15,372,893,553",1.877,
8/24/15,"15,372,893,553",1.877,
8/25/15,"15,372,893,553",1.877,
8/26/15,"15,372,893,553",1.877,
8/27/15,"15,372,893,553",1.877,
8/28/15,"15,372,893,553",1.877,
8/31/15,"15,372,893,553",1.877,
9/1/15,"15,372,893,553",1.877,
9/2/15,"15,372,893,553",1.877,
9/3/15,"15,372,893,553",1.877,
9/4/15,"15,372,893,553",1.877,
9/7/15,"15,372,893,553",1.877,
9/8/15,"15,372,893,553",1.877,
9/9/15,"15,372,893,553",1.877,
9/10/15,"15,372,893,553",1.877,
9/11/15,"15,372,893,553",1.877,
9/14/15,"15,372,893,553",1.877,
9/15/15,"15,372,893,553",1.877,
9/16/15,"15,372,893,553",1.877,
9/17/15,"15,372,893,553",1.877,
9/18/15,"15,372,893,553",1.877,
9/21/15,"15,372,893,553",1.877,
9/22/15,"15,372,893,553",1.877,
9/23/15,"15,372,893,553",1.877,
9/24/15,"15,372,893,553",1.877,
9/25/15,"15,372,893,553",1.877,
9/28/15,"15,372,893,553",1.877,
9/29/15,"15,372,893,553",1.877,
9/30/15,"15,372,893,553",1.877,
10/1/15,"15,372,893,553",1.877,
10/2/15,"15,372,893,553",1.877,
10/5/15,"15,372,893,553",1.877,
10/6/15,"15,372,893,553",1.877,
10/7/15,"15,372,893,553",1.877,
10/8/15,"15,372,893,553",1.877,
10/9/15,"15,372,893,553",1.877,
10/12/15,"15,372,893,553",1.877,
10/13/15,"15,372,893,553",1.877,
10/14/15,"15,372,893,553",1.877,
