Date,Size,P/B RATIO,,,,,
12/31/14,"96,439,860,000",2.958,,,,,
1/1/15,"96,439,860,000",2.958,,,,,
1/2/15,"96,439,860,000",2.958,,,,,
1/5/15,"96,439,860,000",2.958,,,,,
1/6/15,"96,439,860,000",2.958,,,,,
1/7/15,"96,439,860,000",2.958,,,,,
1/8/15,"96,439,860,000",2.958,,,,,
1/9/15,"96,439,860,000",2.958,,,,,
1/12/15,"96,439,860,000",2.958,,,,,
1/13/15,"96,439,860,000",2.958,,,,,
1/14/15,"96,439,860,000",2.958,,,,,
1/15/15,"96,439,860,000",2.958,,,,,
1/16/15,"96,439,860,000",2.958,,,,,
1/19/15,"96,439,860,000",2.958,,,,,
1/20/15,"96,439,860,000",2.958,,,,,
1/21/15,"96,439,860,000",2.958,,,,,
1/22/15,"96,439,860,000",2.958,,,,,
1/23/15,"96,439,860,000",2.958,,,,,
1/26/15,"96,439,860,000",2.958,,,,,
1/27/15,"96,439,860,000",2.958,,,,,
1/28/15,"96,439,860,000",2.958,,,,,
1/29/15,"96,439,860,000",2.958,,,,,
1/30/15,"96,439,860,000",2.958,,,,,
2/2/15,"96,439,860,000",2.958,,,,,
2/3/15,"96,439,860,000",2.958,,,,,
2/4/15,"96,439,860,000",2.958,,,,,
2/5/15,"96,439,860,000",2.958,,,,,
2/6/15,"96,439,860,000",2.958,,,,,
2/9/15,"96,439,860,000",2.958,,,,,
2/10/15,"96,439,860,000",2.958,,,,,
2/11/15,"96,439,860,000",2.958,,,,,
2/12/15,"96,439,860,000",2.958,,,,,
2/13/15,"96,439,860,000",2.958,,,,,
2/16/15,"96,439,860,000",2.958,,,,,
2/17/15,"96,439,860,000",2.958,,,,,
2/18/15,"96,439,860,000",2.958,,,,,
2/19/15,"96,439,860,000",2.958,,,,,
2/20/15,"96,439,860,000",2.958,,,,,
2/23/15,"96,439,860,000",2.958,,,,,
2/24/15,"96,439,860,000",2.958,,,,,
2/25/15,"96,439,860,000",2.958,,,,,
2/26/15,"96,439,860,000",2.958,,,,,
2/27/15,"96,439,860,000",2.958,,,,,
3/2/15,"96,439,860,000",2.958,,,,,
3/3/15,"96,439,860,000",2.958,,,,,
3/4/15,"96,439,860,000",2.958,,,,,
3/5/15,"96,439,860,000",2.958,,,,,
3/6/15,"96,439,860,000",2.958,,,,,
3/9/15,"96,439,860,000",2.958,,,,,
3/10/15,"96,439,860,000",2.958,,,,,
3/11/15,"96,439,860,000",2.958,,,,,
3/12/15,"96,439,860,000",2.958,,,,,
3/13/15,"96,439,860,000",2.958,,,,,
3/16/15,"96,439,860,000",2.958,,,,,
3/17/15,"96,439,860,000",2.958,,,,,
3/18/15,"96,439,860,000",2.958,,,,,
3/19/15,"96,439,860,000",2.958,,,,,
3/20/15,"96,439,860,000",2.958,,,,,
3/23/15,"96,439,860,000",2.958,,,,,
3/24/15,"96,439,860,000",2.958,,,,,
3/25/15,"96,439,860,000",2.958,,,,,
3/26/15,"96,439,860,000",2.958,,,,,
3/27/15,"96,439,860,000",2.958,,,,,
3/30/15,"96,439,860,000",2.958,,,,,
3/31/15,"96,439,860,000",2.958,,,,,
4/1/15,"96,439,860,000",2.958,,,,,
4/2/15,"96,439,860,000",2.958,,,,,
4/3/15,"96,439,860,000",2.958,,,,,
4/6/15,"96,439,860,000",2.958,,,,,
4/7/15,"96,439,860,000",2.958,,,,,
4/8/15,"96,439,860,000",2.958,,,,,
4/9/15,"96,439,860,000",2.958,,,,,
4/10/15,"96,439,860,000",2.958,,,,,
4/13/15,"96,439,860,000",2.958,,,,,
4/14/15,"96,439,860,000",2.958,,,,,
4/15/15,"96,439,860,000",2.958,,,,,
4/16/15,"96,439,860,000",2.958,,,,,
4/17/15,"96,439,860,000",2.958,,,,,
4/20/15,"96,439,860,000",2.958,,,,,
4/21/15,"96,439,860,000",2.958,,,,,
4/22/15,"96,439,860,000",2.958,,,,,
4/23/15,"96,439,860,000",2.958,,,,,
4/24/15,"96,439,860,000",2.958,,,,,
4/27/15,"96,439,860,000",2.958,,,,,
4/28/15,"96,439,860,000",2.958,,,,,
4/29/15,"96,439,860,000",2.958,,,,,
4/30/15,"96,439,860,000",2.958,,,,,
5/1/15,"96,439,860,000",2.958,,,,,
5/4/15,"96,439,860,000",2.958,,,,,
5/5/15,"96,439,860,000",2.958,,,,,
5/6/15,"96,439,860,000",2.958,,,,,
5/7/15,"96,439,860,000",2.958,,,,,
5/8/15,"96,439,860,000",2.958,,,,,
5/11/15,"96,439,860,000",2.958,,,,,
5/12/15,"96,439,860,000",2.958,,,,,
5/13/15,"96,439,860,000",2.958,,,,,
5/14/15,"96,439,860,000",2.958,,,,,
5/15/15,"96,439,860,000",2.958,,,,,
5/18/15,"96,439,860,000",2.958,,,,,
5/19/15,"96,439,860,000",2.958,,,,,
5/20/15,"96,439,860,000",2.958,,,,,
5/21/15,"96,439,860,000",2.958,,,,,
5/22/15,"96,439,860,000",2.958,,,,,
5/25/15,"96,439,860,000",2.958,,,,,
5/26/15,"96,439,860,000",2.958,,,,,
5/27/15,"96,439,860,000",2.958,,,,,
5/28/15,"96,439,860,000",2.958,,,,,
5/29/15,"96,439,860,000",2.958,,,,,
6/1/15,"96,439,860,000",2.958,,,,,
6/2/15,"96,439,860,000",2.958,,,,,
6/3/15,"96,439,860,000",2.958,,,,,
6/4/15,"96,439,860,000",2.958,,,,,
6/5/15,"96,439,860,000",2.958,,,,,
6/8/15,"96,439,860,000",2.958,,,,,
6/9/15,"96,439,860,000",2.958,,,,,
6/10/15,"96,439,860,000",2.958,,,,,
6/11/15,"96,439,860,000",2.958,,,,,
6/12/15,"96,439,860,000",2.958,,,,,
6/15/15,"96,439,860,000",2.958,,,,,
6/16/15,"96,439,860,000",2.958,,,,,
6/17/15,"96,439,860,000",2.958,,,,,
6/18/15,"96,439,860,000",2.958,,,,,
6/19/15,"96,439,860,000",2.958,,,,,
6/22/15,"96,439,860,000",2.958,,,,,
6/23/15,"96,439,860,000",2.958,,,,,
6/24/15,"96,439,860,000",2.958,,,,,
6/25/15,"96,439,860,000",2.958,,,,,
6/26/15,"96,439,860,000",2.958,,,,,
6/29/15,"96,439,860,000",2.958,,,,,
6/30/15,"96,439,860,000",2.958,,,,,
7/1/15,"96,439,860,000",2.958,,,,,
7/2/15,"96,439,860,000",2.958,,,,,
7/3/15,"96,439,860,000",2.958,,,,,
7/6/15,"96,439,860,000",2.958,,,,,
7/7/15,"96,439,860,000",2.958,,,,,
7/8/15,"96,439,860,000",2.958,,,,,
7/9/15,"96,439,860,000",2.958,,,,,
7/10/15,"96,439,860,000",2.958,,,,,
7/13/15,"96,439,860,000",2.958,,,,,
7/14/15,"96,439,860,000",2.958,,,,,
7/15/15,"96,439,860,000",2.958,,,,,
7/16/15,"96,439,860,000",2.958,,,,,
7/17/15,"96,439,860,000",2.958,,,,,
7/20/15,"96,439,860,000",2.958,,,,,
7/21/15,"96,439,860,000",2.958,,,,,
7/22/15,"96,439,860,000",2.958,,,,,
7/23/15,"96,439,860,000",2.958,,,,,
7/24/15,"96,439,860,000",2.958,,,,,
7/27/15,"96,439,860,000",2.958,,,,,
7/28/15,"96,439,860,000",2.958,,,,,
7/29/15,"96,439,860,000",2.958,,,,,
7/30/15,"96,439,860,000",2.958,,,,,
7/31/15,"96,439,860,000",2.958,,,,,
8/3/15,"96,439,860,000",2.958,,,,,
8/4/15,"96,439,860,000",2.958,,,,,
8/5/15,"96,439,860,000",2.958,,,,,
8/6/15,"96,439,860,000",2.958,,,,,
8/7/15,"96,439,860,000",2.958,,,,,
8/10/15,"96,439,860,000",2.958,,,,,
8/11/15,"96,439,860,000",2.958,,,,,
8/12/15,"96,439,860,000",2.958,,,,,
8/13/15,"96,439,860,000",2.958,,,,,
8/14/15,"96,439,860,000",2.958,,,,,
8/17/15,"96,439,860,000",2.958,,,,,
8/18/15,"96,439,860,000",2.958,,,,,
8/19/15,"96,439,860,000",2.958,,,,,
8/20/15,"96,439,860,000",2.958,,,,,
8/21/15,"96,439,860,000",2.958,,,,,
8/24/15,"96,439,860,000",2.958,,,,,
8/25/15,"96,439,860,000",2.958,,,,,
8/26/15,"96,439,860,000",2.958,,,,,
8/27/15,"96,439,860,000",2.958,,,,,
8/28/15,"96,439,860,000",2.958,,,,,
8/31/15,"96,439,860,000",2.958,,,,,
9/1/15,"96,439,860,000",2.958,,,,,
9/2/15,"96,439,860,000",2.958,,,,,
9/3/15,"96,439,860,000",2.958,,,,,
9/4/15,"96,439,860,000",2.958,,,,,
9/7/15,"96,439,860,000",2.958,,,,,
9/8/15,"96,439,860,000",2.958,,,,,
9/9/15,"96,439,860,000",2.958,,,,,
9/10/15,"96,439,860,000",2.958,,,,,
9/11/15,"96,439,860,000",2.958,,,,,
9/14/15,"96,439,860,000",2.958,,,,,
9/15/15,"96,439,860,000",2.958,,,,,
9/16/15,"96,439,860,000",2.958,,,,,
9/17/15,"96,439,860,000",2.958,,,,,
9/18/15,"96,439,860,000",2.958,,,,,
9/21/15,"96,439,860,000",2.958,,,,,
9/22/15,"96,439,860,000",2.958,,,,,
9/23/15,"96,439,860,000",2.958,,,,,
9/24/15,"96,439,860,000",2.958,,,,,
9/25/15,"96,439,860,000",2.958,,,,,
9/28/15,"96,439,860,000",2.958,,,,,
9/29/15,"96,439,860,000",2.958,,,,,
9/30/15,"96,439,860,000",2.958,,,,,
10/1/15,"96,439,860,000",2.958,,,,,
10/2/15,"96,439,860,000",2.958,,,,,
10/5/15,"96,439,860,000",2.958,,,,,
10/6/15,"96,439,860,000",2.958,,,,,
10/7/15,"96,439,860,000",2.958,,,,,
10/8/15,"96,439,860,000",2.958,,,,,
10/9/15,"96,439,860,000",2.958,,,,,
10/12/15,"96,439,860,000",2.958,,,,,
10/13/15,"96,439,860,000",2.958,,,,,
10/14/15,"96,439,860,000",2.958,,,,,
10/15/15,"96,439,860,000",2.958,,,,,
10/16/15,"96,439,860,000",2.958,,,,,
10/19/15,"96,439,860,000",2.958,,,,,
10/20/15,"96,439,860,000",2.958,,,,,
10/21/15,"96,439,860,000",2.958,,,,,
10/22/15,"96,439,860,000",2.958,,,,,
10/23/15,"96,439,860,000",2.958,,,,,
10/26/15,"96,439,860,000",2.958,,,,,
10/27/15,"96,439,860,000",2.958,,,,,
10/28/15,"96,439,860,000",2.958,,,,,
10/29/15,"96,439,860,000",2.958,,,,,
10/30/15,"96,439,860,000",2.958,,,,,
11/2/15,"96,439,860,000",2.958,,,,,
11/3/15,"96,439,860,000",2.958,,,,,
11/4/15,"96,439,860,000",2.958,,,,,
11/5/15,"96,439,860,000",2.958,,,,,
11/6/15,"96,439,860,000",2.958,,,,,
11/9/15,"96,439,860,000",2.958,,,,,
11/10/15,"96,439,860,000",2.958,,,,,
11/11/15,"96,439,860,000",2.958,,,,,
11/12/15,"96,439,860,000",2.958,,,,,
11/13/15,"96,439,860,000",2.958,,,,,
11/16/15,"96,439,860,000",2.958,,,,,
11/17/15,"96,439,860,000",2.958,,,,,
11/18/15,"96,439,860,000",2.958,,,,,
11/19/15,"96,439,860,000",2.958,,,,,
11/20/15,"96,439,860,000",2.958,,,,,
11/23/15,"96,439,860,000",2.958,,,,,
11/24/15,"96,439,860,000",2.958,,,,,
11/25/15,"96,439,860,000",2.958,,,,,
11/26/15,"96,439,860,000",2.958,,,,,
11/27/15,"96,439,860,000",2.958,,,,,
11/30/15,"96,439,860,000",2.958,,,,,
12/1/15,"96,439,860,000",2.958,,,,,
12/2/15,"96,439,860,000",2.958,,,,,
12/3/15,"96,439,860,000",2.958,,,,,
12/4/15,"96,439,860,000",2.958,,,,,
12/7/15,"96,439,860,000",2.958,,,,,
12/8/15,"96,439,860,000",2.958,,,,,
12/9/15,"96,439,860,000",2.958,,,,,
12/10/15,"96,439,860,000",2.958,,,,,
12/11/15,"96,439,860,000",2.958,,,,,
12/14/15,"96,439,860,000",2.958,,,,,
12/15/15,"96,439,860,000",2.958,,,,,
12/16/15,"96,439,860,000",2.958,,,,,
12/17/15,"96,439,860,000",2.958,,,,,
12/18/15,"96,439,860,000",2.958,,,,,
12/21/15,"96,439,860,000",2.958,,,,,
12/22/15,"96,439,860,000",2.958,,,,,
12/23/15,"96,439,860,000",2.958,,,,,
12/24/15,"96,439,860,000",2.958,,,,,
12/25/15,"96,439,860,000",2.958,,,,,
12/28/15,"96,439,860,000",2.958,,,,,
12/29/15,"96,439,860,000",2.958,,,,,
12/30/15,"96,439,860,000",2.958,,,,,
12/31/15,"112,110,920,000",3.386,,,,,
1/1/16,"112,110,920,000",3.386,,,,,
1/4/16,"112,110,920,000",3.386,,,,,
1/5/16,"112,110,920,000",3.386,,,,,
1/6/16,"112,110,920,000",3.386,,,,,
1/7/16,"112,110,920,000",3.386,,,,,
1/8/16,"112,110,920,000",3.386,,,,,
1/11/16,"112,110,920,000",3.386,,,,,
1/12/16,"112,110,920,000",3.386,,,,,
1/13/16,"112,110,920,000",3.386,,,,,
1/14/16,"112,110,920,000",3.386,,,,,
1/15/16,"112,110,920,000",3.386,,,,,
1/18/16,"112,110,920,000",3.386,,,,,
1/19/16,"112,110,920,000",3.386,,,,,
1/20/16,"112,110,920,000",3.386,,,,,
1/21/16,"112,110,920,000",3.386,,,,,
1/22/16,"112,110,920,000",3.386,,,,,
1/25/16,"112,110,920,000",3.386,,,,,
1/26/16,"112,110,920,000",3.386,,,,,
