Date,Size,P/B RATIO
12/31/14,"45,846,239",0.41
1/1/15,"45,846,239",0.41
1/2/15,"45,846,239",0.41
1/5/15,"45,846,239",0.41
1/6/15,"45,846,239",0.41
1/7/15,"45,846,239",0.41
1/8/15,"45,846,239",0.41
1/9/15,"45,846,239",0.41
1/12/15,"45,846,239",0.41
1/13/15,"45,846,239",0.41
1/14/15,"45,846,239",0.41
1/15/15,"45,846,239",0.41
1/16/15,"45,846,239",0.41
1/19/15,"45,846,239",0.41
1/20/15,"45,846,239",0.41
1/21/15,"45,846,239",0.41
1/22/15,"45,846,239",0.41
1/23/15,"45,846,239",0.41
1/26/15,"45,846,239",0.41
1/27/15,"45,846,239",0.41
1/28/15,"45,846,239",0.41
1/29/15,"45,846,239",0.41
1/30/15,"45,846,239",0.41
2/2/15,"45,846,239",0.41
2/3/15,"45,846,239",0.41
2/4/15,"45,846,239",0.41
2/5/15,"45,846,239",0.41
2/6/15,"45,846,239",0.41
2/9/15,"45,846,239",0.41
2/10/15,"45,846,239",0.41
2/11/15,"45,846,239",0.41
2/12/15,"45,846,239",0.41
2/13/15,"45,846,239",0.41
2/16/15,"45,846,239",0.41
2/17/15,"45,846,239",0.41
2/18/15,"45,846,239",0.41
2/19/15,"45,846,239",0.41
2/20/15,"45,846,239",0.41
2/23/15,"45,846,239",0.41
2/24/15,"45,846,239",0.41
2/25/15,"45,846,239",0.41
2/26/15,"45,846,239",0.41
2/27/15,"45,846,239",0.41
3/2/15,"48,948,016",0.459
3/3/15,"48,948,016",0.459
3/4/15,"48,948,016",0.459
3/5/15,"48,948,016",0.459
3/6/15,"48,948,016",0.459
3/9/15,"48,948,016",0.459
3/10/15,"48,948,016",0.459
3/11/15,"48,948,016",0.459
3/12/15,"48,948,016",0.459
3/13/15,"48,948,016",0.459
3/16/15,"48,948,016",0.459
3/17/15,"48,948,016",0.459
3/18/15,"48,948,016",0.459
3/19/15,"48,948,016",0.459
3/20/15,"48,948,016",0.459
3/23/15,"48,948,016",0.459
3/24/15,"48,948,016",0.459
3/25/15,"48,948,016",0.459
3/26/15,"48,948,016",0.459
3/27/15,"48,948,016",0.459
3/30/15,"48,948,016",0.459
3/31/15,"48,948,016",0.459
4/1/15,"48,948,016",0.459
4/2/15,"48,948,016",0.459
4/3/15,"48,948,016",0.459
4/6/15,"48,948,016",0.459
4/7/15,"48,948,016",0.459
4/8/15,"48,948,016",0.459
4/9/15,"48,948,016",0.459
4/10/15,"48,948,016",0.459
4/13/15,"48,948,016",0.459
4/14/15,"48,948,016",0.459
4/15/15,"48,948,016",0.459
4/16/15,"48,948,016",0.459
4/17/15,"48,948,016",0.459
4/20/15,"48,948,016",0.459
4/21/15,"48,948,016",0.459
4/22/15,"48,948,016",0.459
4/23/15,"48,948,016",0.459
4/24/15,"48,948,016",0.459
4/27/15,"48,948,016",0.459
4/28/15,"48,948,016",0.459
4/29/15,"48,948,016",0.459
4/30/15,"48,948,016",0.459
5/1/15,"48,948,016",0.459
5/4/15,"48,948,016",0.459
5/5/15,"48,948,016",0.459
5/6/15,"48,948,016",0.459
5/7/15,"48,948,016",0.459
5/8/15,"48,948,016",0.459
5/11/15,"48,948,016",0.459
5/12/15,"48,948,016",0.459
5/13/15,"48,948,016",0.459
5/14/15,"48,948,016",0.459
5/15/15,"48,948,016",0.459
5/18/15,"48,948,016",0.459
5/19/15,"48,948,016",0.459
5/20/15,"48,948,016",0.459
5/21/15,"48,948,016",0.459
5/22/15,"48,948,016",0.459
5/25/15,"48,948,016",0.459
5/26/15,"48,948,016",0.459
5/27/15,"48,948,016",0.459
5/28/15,"48,948,016",0.459
5/29/15,"48,948,016",0.459
6/1/15,"48,948,016",0.459
6/2/15,"48,948,016",0.459
6/3/15,"48,948,016",0.459
6/4/15,"48,948,016",0.459
6/5/15,"48,948,016",0.459
6/8/15,"48,948,016",0.459
6/9/15,"48,948,016",0.459
6/10/15,"48,948,016",0.459
6/11/15,"48,948,016",0.459
6/12/15,"48,948,016",0.459
6/15/15,"48,948,016",0.459
6/16/15,"48,948,016",0.459
6/17/15,"48,948,016",0.459
6/18/15,"48,948,016",0.459
6/19/15,"48,948,016",0.459
6/22/15,"48,948,016",0.459
6/23/15,"48,948,016",0.459
6/24/15,"48,948,016",0.459
6/25/15,"48,948,016",0.459
6/26/15,"48,948,016",0.459
6/29/15,"48,948,016",0.459
6/30/15,"48,948,016",0.459
7/1/15,"48,948,016",0.459
7/2/15,"48,948,016",0.459
7/3/15,"48,948,016",0.459
7/6/15,"48,948,016",0.459
7/7/15,"48,948,016",0.459
7/8/15,"48,948,016",0.459
7/9/15,"48,948,016",0.459
7/10/15,"48,948,016",0.459
7/13/15,"48,948,016",0.459
7/14/15,"48,948,016",0.459
7/15/15,"48,948,016",0.459
7/16/15,"48,948,016",0.459
7/17/15,"48,948,016",0.459
7/20/15,"48,948,016",0.459
7/21/15,"48,948,016",0.459
7/22/15,"48,948,016",0.459
7/23/15,"48,948,016",0.459
7/24/15,"48,948,016",0.459
7/27/15,"48,948,016",0.459
7/28/15,"48,948,016",0.459
7/29/15,"48,948,016",0.459
7/30/15,"48,948,016",0.459
7/31/15,"48,948,016",0.459
8/3/15,"48,948,016",0.459
8/4/15,"48,948,016",0.459
8/5/15,"48,948,016",0.459
8/6/15,"48,948,016",0.459
8/7/15,"48,948,016",0.459
8/10/15,"48,948,016",0.459
8/11/15,"48,948,016",0.459
8/12/15,"48,948,016",0.459
8/13/15,"48,948,016",0.459
8/14/15,"48,948,016",0.459
8/17/15,"48,948,016",0.459
8/18/15,"48,948,016",0.459
8/19/15,"48,948,016",0.459
8/20/15,"48,948,016",0.459
8/21/15,"48,948,016",0.459
8/24/15,"48,948,016",0.459
8/25/15,"48,948,016",0.459
8/26/15,"48,948,016",0.459
8/27/15,"48,948,016",0.459
8/28/15,"48,948,016",0.459
8/31/15,"48,948,016",0.459
9/1/15,"48,948,016",0.459
9/2/15,"48,948,016",0.459
9/3/15,"48,948,016",0.459
9/4/15,"48,948,016",0.459
9/7/15,"48,948,016",0.459
9/8/15,"48,948,016",0.459
9/9/15,"48,948,016",0.459
9/10/15,"48,948,016",0.459
9/11/15,"48,948,016",0.459
9/14/15,"48,948,016",0.459
9/15/15,"48,948,016",0.459
9/16/15,"48,948,016",0.459
9/17/15,"48,948,016",0.459
9/18/15,"48,948,016",0.459
9/21/15,"48,948,016",0.459
9/22/15,"48,948,016",0.459
9/23/15,"48,948,016",0.459
9/24/15,"48,948,016",0.459
9/25/15,"48,948,016",0.459
9/28/15,"48,948,016",0.459
9/29/15,"48,948,016",0.459
9/30/15,"48,948,016",0.459
10/1/15,"48,948,016",0.459
10/2/15,"48,948,016",0.459
10/5/15,"48,948,016",0.459
10/6/15,"48,948,016",0.459
10/7/15,"48,948,016",0.459
10/8/15,"48,948,016",0.459
10/9/15,"48,948,016",0.459
10/12/15,"48,948,016",0.459
10/13/15,"48,948,016",0.459
10/14/15,"48,948,016",0.459
10/15/15,"48,948,016",0.459
10/16/15,"48,948,016",0.459
10/19/15,"48,948,016",0.459
10/20/15,"48,948,016",0.459
10/21/15,"48,948,016",0.459
