Date,Size,P/B RATIO
12/31/14,"388,382,450,000",2.151
1/1/15,"388,382,450,000",2.151
1/2/15,"388,382,450,000",2.151
1/5/15,"388,382,450,000",2.151
1/6/15,"388,382,450,000",2.151
1/7/15,"388,382,450,000",2.151
1/8/15,"388,382,450,000",2.151
1/9/15,"388,382,450,000",2.151
1/12/15,"388,382,450,000",2.151
1/13/15,"388,382,450,000",2.151
1/14/15,"388,382,450,000",2.151
1/15/15,"388,382,450,000",2.151
1/16/15,"388,382,450,000",2.151
1/19/15,"388,382,450,000",2.151
1/20/15,"388,382,450,000",2.151
1/21/15,"388,382,450,000",2.151
1/22/15,"388,382,450,000",2.151
1/23/15,"388,382,450,000",2.151
1/26/15,"388,382,450,000",2.151
1/27/15,"388,382,450,000",2.151
1/28/15,"388,382,450,000",2.151
1/29/15,"388,382,450,000",2.151
1/30/15,"388,382,450,000",2.151
2/2/15,"388,382,450,000",2.151
2/3/15,"388,382,450,000",2.151
2/4/15,"388,382,450,000",2.151
2/5/15,"388,382,450,000",2.151
2/6/15,"388,382,450,000",2.151
2/9/15,"388,382,450,000",2.151
2/10/15,"388,382,450,000",2.151
2/11/15,"388,382,450,000",2.151
2/12/15,"388,382,450,000",2.151
2/13/15,"388,382,450,000",2.151
2/16/15,"388,382,450,000",2.151
2/17/15,"388,382,450,000",2.151
2/18/15,"388,382,450,000",2.151
2/19/15,"388,382,450,000",2.151
2/20/15,"388,382,450,000",2.151
2/23/15,"388,382,450,000",2.151
2/24/15,"388,382,450,000",2.151
2/25/15,"388,382,450,000",2.151
2/26/15,"388,382,450,000",2.151
2/27/15,"388,382,450,000",2.151
3/2/15,"388,382,450,000",2.151
3/3/15,"388,382,450,000",2.151
3/4/15,"388,382,450,000",2.151
3/5/15,"388,382,450,000",2.151
3/6/15,"388,382,450,000",2.151
3/9/15,"388,382,450,000",2.151
3/10/15,"388,382,450,000",2.151
3/11/15,"388,382,450,000",2.151
3/12/15,"388,382,450,000",2.151
3/13/15,"388,382,450,000",2.151
3/16/15,"388,382,450,000",2.151
3/17/15,"388,382,450,000",2.151
3/18/15,"388,382,450,000",2.151
3/19/15,"388,382,450,000",2.151
3/20/15,"388,382,450,000",2.151
3/23/15,"388,382,450,000",2.151
3/24/15,"388,382,450,000",2.151
3/25/15,"388,382,450,000",2.151
3/26/15,"388,382,450,000",2.151
3/27/15,"388,382,450,000",2.151
3/30/15,"388,382,450,000",2.151
3/31/15,"388,382,450,000",2.151
4/1/15,"388,382,450,000",2.151
4/2/15,"388,382,450,000",2.151
4/3/15,"388,382,450,000",2.151
4/6/15,"388,382,450,000",2.151
4/7/15,"388,382,450,000",2.151
4/8/15,"388,382,450,000",2.151
4/9/15,"388,382,450,000",2.151
4/10/15,"388,382,450,000",2.151
4/13/15,"388,382,450,000",2.151
4/14/15,"388,382,450,000",2.151
4/15/15,"388,382,450,000",2.151
4/16/15,"388,382,450,000",2.151
4/17/15,"388,382,450,000",2.151
4/20/15,"388,382,450,000",2.151
4/21/15,"388,382,450,000",2.151
4/22/15,"388,382,450,000",2.151
4/23/15,"388,382,450,000",2.151
4/24/15,"388,382,450,000",2.151
