Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,STMR,momentum,ltmr,Size,P/B Ratio,Sector Index
2015-01-02,,,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-01-05,,,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-01-06,,,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-01-07,,,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-01-08,,,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-01-09,,,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-01-12,,,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-01-13,,,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-01-14,,,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-01-15,,,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-01-16,,,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-01-20,,,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-01-21,,,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-01-22,,,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-01-23,,,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-01-26,,,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-01-27,,,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-01-28,,,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-01-29,,,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-01-30,,,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-02-02,,,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-02-03,,,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-02-04,,,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-02-05,,,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-02-06,,,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-02-09,,,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-02-10,,,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-02-11,,,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-02-12,,,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-02-13,,,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-02-17,0.294918983310377,-0.4275827086682882,2.0,0.118028996,0.074856597,0.00%,,,,,,8
2015-02-18,0.3018091991393163,-0.4913766617864539,2.0,0.118028996,0.074856597,0.00%,,,,,,8
