,Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield
0,2015-01-02,,,,,,
1,2015-01-05,,,,,,
2,2015-01-06,,,,,,
3,2015-01-07,,,,,,
4,2015-01-08,,,,,,
5,2015-01-09,,,,,,
6,2015-01-12,,,,,,
7,2015-01-13,,,,,,
8,2015-01-14,,,,,,
9,2015-01-15,,,,,,
10,2015-01-16,,,,,,
11,2015-01-20,,,,,,
12,2015-01-21,,,,,,
13,2015-01-22,,,,,,
14,2015-01-23,,,,,,
15,2015-01-26,,,,,,
16,2015-01-27,,,,,,
17,2015-01-28,,,,,,
18,2015-01-29,,,,,,
19,2015-01-30,,,,,,
20,2015-02-02,,,,,,
21,2015-02-03,,,,,,
22,2015-02-04,,,,,,
23,2015-02-05,,,,,,
24,2015-02-06,,,,,,
25,2015-02-09,,,,,,
26,2015-02-10,,,,,,
27,2015-02-11,,,,,,
28,2015-02-12,,,,,,
29,2015-02-13,,,,,,
30,2015-02-17,0.2665579679660328,0.5911992199415896,,,,
31,2015-02-18,0.2716973049168283,0.6490765658852156,,,,
32,2015-02-19,0.2642507194122933,0.5823103945804736,,,,
33,2015-02-20,0.2614833827855413,0.5501237607002248,,,,
34,2015-02-23,0.237729352264985,0.3198928871673066,,,,
35,2015-02-24,0.2372099771929499,0.3570108401865048,,,,
36,2015-02-25,0.2304848360907729,0.2759423551850976,,,,
37,2015-02-26,0.2299122405855315,0.2646331638301277,,,,
38,2015-02-27,0.2337983287602342,0.183254836162642,,,,
39,2015-03-02,0.2341241917693345,0.2571744134399581,,,,
40,2015-03-03,0.2364847201854364,0.2457714299076722,,,,
41,2015-03-04,0.2338287957214134,0.2403920724288843,,,,
42,2015-03-05,0.2411654905714131,0.2582195102958719,,,,
43,2015-03-06,0.2493583473431775,0.433832650087903,,,,
44,2015-03-09,0.2357149817030017,0.5274348702411946,,,,
45,2015-03-10,0.1987835790072836,0.2969660193303522,,,,
46,2015-03-11,0.2017801166649655,0.302614108190959,,,,
47,2015-03-12,0.2071559527506123,0.1187694098868101,,,,
48,2015-03-13,0.2066454929869844,0.1932797185332069,,,,
49,2015-03-16,0.2344243097483888,-0.1665444263578553,,,,
50,2015-03-17,0.2361497787287892,-0.2267438932099444,,,,
51,2015-03-18,0.2357489650465576,-0.2639077001572973,,,,
52,2015-03-19,0.2451351067079899,-0.2047518735910777,,,,
53,2015-03-20,0.2438405319769744,-0.1026735776346404,,,,
54,2015-03-23,0.2405501281746819,-0.146746745867295,,,,
55,2015-03-24,0.2393328032648874,-0.1158236746075787,,,,
56,2015-03-25,0.2408332945611597,-0.0330780470742328,,,,
57,2015-03-26,0.2408269756326214,-0.0315976883024519,,,,
58,2015-03-27,0.239727976364962,-0.0864164067689884,,,,
59,2015-03-30,0.2163060864922792,-0.0971728316263876,,,,
60,2015-03-31,0.2135496428659943,-0.1940389539590088,,,,
61,2015-04-01,0.2171326746528398,-0.1580136403557724,,,,
62,2015-04-02,0.2162191874231927,-0.1665049274462487,,,,
63,2015-04-06,0.2143899608303184,-0.2311733678440399,,,,
64,2015-04-07,0.2144843205043248,-0.2337738559934027,,,,
65,2015-04-08,0.2144036525799883,-0.2568108903826147,,,,
66,2015-04-09,0.2125857584509699,-0.2479832474176837,,,,
67,2015-04-10,0.2294211101498646,-0.1409743075274447,,,,
68,2015-04-13,0.2168900007609576,-0.0956087258901473,,,,
69,2015-04-14,0.2224356753719234,-0.1958078379208057,,,,
70,2015-04-15,0.2259568753123343,-0.1700117368036653,,,,
71,2015-04-16,0.2259165000210677,-0.1552595698576366,,,,
72,2015-04-17,0.2237622712822234,-0.0894380751552561,,,,
73,2015-04-20,0.2201395239451063,-0.240161387557435,,,,
74,2015-04-21,0.2235879679865079,-0.254633707887189,,,,
75,2015-04-22,0.2176343721285393,-0.0980022067078619,,,,
76,2015-04-23,0.2594895853609549,-0.0702373458113033,,,,
77,2015-04-24,0.2563834139786328,0.0570337516087763,,,,
78,2015-04-27,0.2618974683018156,0.1017881375760848,,,,
79,2015-04-28,0.2376660947492813,0.5265182478602088,,,,
80,2015-04-29,0.2491266216989728,0.4435837563106787,,,,
81,2015-04-30,0.2495047000010376,0.4796203172858719,,,,
82,2015-05-01,0.2379649325951949,0.2966056943457988,,,,
83,2015-05-04,0.2489266361610702,0.3261429045933883,,,,
84,2015-05-05,0.2491798400371002,0.2533629094187797,,,,
85,2015-05-06,0.2491798400371002,0.2554726258632834,,,,
86,2015-05-07,0.2479682138033018,0.1821475438750905,,,,
87,2015-05-08,0.2479772530086511,0.1875885210502292,,,,
88,2015-05-11,0.2488813741633456,0.1518476659040528,,,,
89,2015-05-12,0.2489716799465738,0.1129760642121331,,,,
90,2015-05-13,0.2531796392753986,0.2239749226606169,,,,
91,2015-05-14,0.2522368743862216,0.2975936030987821,,,,
92,2015-05-15,0.2509439407420605,0.3207729307899336,,,,
93,2015-05-18,0.2524530234602015,0.3594646038000348,,,,
94,2015-05-19,0.2523688654071745,0.3558065875065231,,,,
95,2015-05-20,0.250177475392654,0.3864603591650739,,,,
96,2015-05-21,0.2531737186543117,0.4378876067468469,,,,
97,2015-05-22,0.2452092383797984,0.3649820555816791,,,,
98,2015-05-26,0.2460517181252259,0.3948030615176572,,,,
99,2015-05-27,0.2275637884373017,0.4292344099597552,,,,
100,2015-05-28,0.2279740786775125,0.4006204933851173,,,,
101,2015-05-29,0.2405031182291114,0.5192589011318071,,,,
102,2015-06-01,0.238106396381566,0.4382049539291888,,,,
103,2015-06-02,0.2430680441977144,0.6016806108534513,,,,
104,2015-06-03,0.2426292065855544,0.600306682868771,,,,
105,2015-06-04,0.2459752958879817,0.7131107838029795,,,,
106,2015-06-05,0.2097350551447399,0.6181595231050933,,,,
107,2015-06-08,0.207797576698912,0.6649468492768671,,,,
108,2015-06-09,0.1970468474306291,0.5969581506107181,,,,
109,2015-06-10,0.1990007776659016,0.6789147476181564,,,,
110,2015-06-11,0.2291682983426927,0.874227052013492,,,,
111,2015-06-12,0.2281333233733272,0.7788651485178801,,,,
112,2015-06-15,0.2271611484685488,0.9180358702218416,,,,
113,2015-06-16,0.2220003831504008,0.7610718769324007,,,,
114,2015-06-17,0.2300205973382899,0.8619119749888918,,,,
115,2015-06-18,0.2299141552528703,0.7795984205999517,,,,
116,2015-06-19,0.230915252085161,0.7829806556291192,,,,
117,2015-06-22,0.2391587812950466,0.7519955386923743,,,,
118,2015-06-23,0.2382936094726511,0.8067701784457103,,,,
119,2015-06-24,0.2422871126562241,0.8678320062945118,,,,
120,2015-06-25,0.2427660894350171,0.92125168405907,,,,
121,2015-06-26,0.2332125401077584,0.7673758296292279,,,,
122,2015-06-29,0.237263765645698,0.7577445745521456,,,,
123,2015-06-30,0.2354415778695744,0.7924350162152484,,,,
124,2015-07-01,0.2385649182693568,0.8305471050522215,,,,
125,2015-07-02,0.246146098109073,0.8294858675186504,,,,
126,2015-07-06,0.2400062042215522,0.7892293352939169,,,,
127,2015-07-07,0.243971731124303,0.6782527409108405,,,,
128,2015-07-08,0.2475023402097855,0.7325098059264995,,,,
129,2015-07-09,0.2479683446237086,0.74429672091643,,,,
130,2015-07-10,0.2448670738944921,0.7074050672891048,,,,
131,2015-07-13,0.237595797327268,0.6343137279472393,,,,
132,2015-07-14,0.2335429898958322,0.6042936758911868,,,,
133,2015-07-15,0.2290537487127973,0.596945600310964,,,,
134,2015-07-16,0.2405017424103976,0.6848669407525083,,,,
135,2015-07-17,0.2386107748276842,0.6597816457311066,,,,
136,2015-07-20,0.276684148795804,0.6596171762814571,,,,
137,2015-07-21,0.275955969715311,0.639227460814163,,,,
138,2015-07-22,0.285454975398649,0.6690581578557124,,,,
139,2015-07-23,0.2830184393587707,0.5863145443233362,,,,
140,2015-07-24,0.2478766285606963,0.3877841550618871,,,,
141,2015-07-27,0.2553361500363749,0.5124424024565593,,,,
142,2015-07-28,0.2526550148306133,0.5238108271916145,,,,
143,2015-07-29,0.2510553831561312,0.5385710891463447,,,,
144,2015-07-30,0.2518857414690837,0.5509032144474885,,,,
145,2015-07-31,0.2517261795110385,0.566616251929354,,,,
146,2015-08-03,0.2539811761411712,0.5889439585183549,,,,
147,2015-08-04,0.2620033557287899,0.6279349062223101,,,,
148,2015-08-05,0.2777436174497186,0.5571186784319038,,,,
149,2015-08-06,0.2819569121796322,0.3870951273935909,,,,
150,2015-08-07,0.2744006755162861,0.3505956488003313,,,,
151,2015-08-10,0.274240653801751,0.3203300001711339,,,,
152,2015-08-11,0.2694959432339423,0.1505929763690475,,,,
153,2015-08-12,0.2696143199685559,0.1522933008358383,,,,
154,2015-08-13,0.2699883742871263,0.1118502111423804,,,,
155,2015-08-14,0.2639653859890569,0.1156630617284175,,,,
156,2015-08-17,0.2651786921025494,0.0719252450557256,,,,
157,2015-08-18,0.2606473469474921,0.1330979983646957,,,,
158,2015-08-19,0.25668402147115,-0.0355262641796131,,,,
159,2015-08-20,0.3168615842847321,0.7816410644783188,,,,
160,2015-08-21,0.3173243737572069,0.4240581970910609,,,,
161,2015-08-24,0.3273818290221111,0.5421721433383301,,,,
162,2015-08-25,0.3379587928835387,0.6055542278525641,,,,
163,2015-08-26,0.3382704700411179,0.4532427633103599,,,,
164,2015-08-27,0.3406801056590699,0.4972833468722001,,,,
165,2015-08-28,0.3589541515337307,0.5071584803554555,,,,
166,2015-08-31,0.3244905529719913,0.4832233249086852,,,,
167,2015-09-01,0.3265172293985752,0.4911165556503357,,,,
168,2015-09-02,0.3227526104347892,0.485435486466949,,,,
