Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,STMR,momentum,ltmr,Size,P/B Ratio,Sector Index
2015-01-02,,,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-01-05,,,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-01-06,,,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-01-07,,,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-01-08,,,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-01-09,,,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-01-12,,,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-01-13,,,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-01-14,,,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-01-15,,,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-01-16,,,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-01-20,,,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-01-21,,,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-01-22,,,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-01-23,,,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-01-26,,,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-01-27,,,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-01-28,,,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-01-29,,,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-01-30,,,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-02-02,,,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-02-03,,,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-02-04,,,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-02-05,,,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-02-06,,,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-02-09,,,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-02-10,,,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-02-11,,,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-02-12,,,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-02-13,,,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-02-17,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-02-18,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-02-19,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-02-20,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-02-23,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-02-24,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-02-25,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-02-26,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-02-27,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-03-02,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-03-03,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-03-04,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-03-05,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-03-06,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-03-09,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-03-10,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-03-11,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-03-12,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-03-13,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-03-16,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-03-17,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-03-18,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-03-19,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-03-20,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-03-23,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-03-24,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-03-25,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-03-26,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-03-27,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-03-30,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-03-31,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,"8,788,982,265",0.022,10
2015-04-01,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-04-02,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-04-06,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-04-07,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-04-08,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-04-09,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-04-10,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-04-13,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-04-14,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-04-15,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-04-16,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-04-17,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-04-20,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-04-21,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-04-22,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-04-23,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-04-24,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-04-27,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-04-28,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-04-29,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-04-30,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-05-01,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-05-04,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-05-05,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-05-06,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-05-07,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-05-08,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-05-11,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-05-12,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-05-13,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-05-14,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-05-15,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-05-18,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-05-19,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-05-20,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-05-21,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-05-22,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-05-26,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-05-27,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-05-28,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-05-29,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-06-01,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-06-02,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-06-03,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-06-04,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-06-05,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-06-08,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-06-09,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-06-10,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-06-11,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-06-12,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-06-15,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-06-16,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-06-17,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-06-18,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-06-19,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-06-22,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-06-23,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-06-24,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-06-25,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-06-26,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-06-29,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-06-30,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,"8,121,092,283",0.02,10
2015-07-01,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-07-02,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-07-06,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-07-07,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-07-08,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-07-09,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-07-10,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-07-13,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-07-14,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-07-15,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-07-16,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-07-17,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-07-20,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-07-21,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-07-22,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-07-23,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
2015-07-24,0.0,0.0,3.0,0.162947116,-0.121089049,0.00%,,,,,,10
