,Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield
0,2015-01-02,,,,,,
1,2015-01-05,,,,,,
2,2015-01-06,,,,,,
3,2015-01-07,,,,,,
4,2015-01-08,,,,,,
5,2015-01-09,,,,,,
6,2015-01-12,,,,,,
7,2015-01-13,,,,,,
8,2015-01-14,,,,,,
9,2015-01-15,,,,,,
10,2015-01-16,,,,,,
11,2015-01-20,,,,,,
12,2015-01-21,,,,,,
13,2015-01-22,,,,,,
14,2015-01-23,,,,,,
15,2015-01-26,,,,,,
16,2015-01-27,,,,,,
17,2015-01-28,,,,,,
18,2015-01-29,,,,,,
19,2015-01-30,,,,,,
20,2015-02-02,,,,,,
21,2015-02-03,,,,,,
22,2015-02-04,,,,,,
23,2015-02-05,,,,,,
24,2015-02-06,,,,,,
25,2015-02-09,,,,,,
26,2015-02-10,,,,,,
27,2015-02-11,,,,,,
28,2015-02-12,,,,,,
29,2015-02-13,,,,,,
30,2015-02-17,0.2912168355117691,1.5870681318233777,,,,
31,2015-02-18,0.2792558231213529,1.5923577032152811,,,,
32,2015-02-19,0.2687679702657967,1.5531004544510774,,,,
33,2015-02-20,0.2701154586556538,1.631779403558212,,,,
34,2015-02-23,0.2629489827946488,1.673731846280931,,,,
35,2015-02-24,0.2676900769595241,1.6819041404086483,,,,
36,2015-02-25,0.2664020243956018,1.7005115102062005,,,,
37,2015-02-26,0.2668932034412976,1.6996143059751927,,,,
38,2015-02-27,0.2449254571167632,1.5974053230995438,,,,
39,2015-03-02,0.2220865195357238,1.4785295405807348,,,,
40,2015-03-03,0.2185785144191864,1.471176090745104,,,,
41,2015-03-04,0.2174618709940124,1.449905664124974,,,,
42,2015-03-05,0.2181149522172923,1.4638369866783807,,,,
43,2015-03-06,0.2112562082422311,1.3962207797886894,,,,
44,2015-03-09,0.2055867947807248,1.3663514219275172,,,,
45,2015-03-10,0.2208746292164309,1.4119653109066217,,,,
46,2015-03-11,0.2180507598960338,1.4537110438238818,,,,
47,2015-03-12,0.2058625186620392,1.3681381703608937,,,,
48,2015-03-13,0.2040478707637407,1.3584308396583475,,,,
49,2015-03-16,0.1903630513332766,1.2415262990830471,,,,
50,2015-03-17,0.1858186188447139,1.2323462524394289,,,,
51,2015-03-18,0.1769167259662244,1.1002033854297122,,,,
52,2015-03-19,0.1783838598689146,1.109638714126035,,,,
53,2015-03-20,0.178899140377921,1.1556804550271118,,,,
54,2015-03-23,0.1751929934215629,1.225407832358223,,,,
55,2015-03-24,0.1790262987877658,1.2602652340623788,,,,
56,2015-03-25,0.1822021951850376,1.2463347666866087,,,,
57,2015-03-26,0.1821660276514569,1.2467645758127632,,,,
58,2015-03-27,0.1721877627514279,1.187586681335319,,,,
59,2015-03-30,0.1853055602507943,1.2644770383590145,,,,
60,2015-03-31,0.185348801193016,1.240656475457167,,,,
61,2015-04-01,0.1843935841792133,1.2588391687669036,,,,
62,2015-04-02,0.186056904828114,1.2676850813514404,,,,
63,2015-04-06,0.184198885102119,1.2194433584856277,,,,
64,2015-04-07,0.183358476728229,1.211539715951417,,,,
65,2015-04-08,0.1690694444955637,1.1664898985128749,,,,
66,2015-04-09,0.1695563664368449,1.1702818464773854,,,,
67,2015-04-10,0.1686167143964785,1.1640276972154346,,,,
68,2015-04-13,0.1687633317698494,1.1352882199166765,,,,
69,2015-04-14,0.173109469119254,1.1516308937598858,,,,
70,2015-04-15,0.1805685608597175,1.1994217303549783,,,,
71,2015-04-16,0.1818041469780388,1.2164048131630236,,,,
72,2015-04-17,0.1875902579986872,1.2324383862787442,,,,
73,2015-04-20,0.1799128367729685,1.190105623956645,,,,
74,2015-04-21,0.1837609924509361,1.1920880622778995,,,,
75,2015-04-22,0.1689488889090179,1.1333777508764955,,,,
76,2015-04-23,0.1690676579449244,1.143662590245957,,,,
77,2015-04-24,0.1613231273340654,1.099801553132087,,,,
78,2015-04-27,0.1607326355337555,1.1022023526482123,,,,
79,2015-04-28,0.1569202494854365,1.1177977428335704,,,,
80,2015-04-29,0.1606337507356161,1.0446896892494852,,,,
81,2015-04-30,0.1616687032452868,1.127479543096439,,,,
82,2015-05-01,0.1594938398554138,1.0380714292636546,,,,
83,2015-05-04,0.1648184659424968,1.056404785416541,,,,
84,2015-05-05,0.1624305484264061,0.9949102483610034,,,,
85,2015-05-06,0.1602308154695433,0.9796275423127728,,,,
86,2015-05-07,0.154112475025257,0.9659865487849358,,,,
87,2015-05-08,0.1579178570234006,0.9675355881792752,,,,
88,2015-05-11,0.1580650276357198,0.9647246988905548,,,,
89,2015-05-12,0.1460874588432579,0.8691489911564824,,,,
90,2015-05-13,0.143795192032395,0.8625303094193097,,,,
91,2015-05-14,0.1391166439514003,0.7990963454728602,,,,
92,2015-05-15,0.1388174254790272,0.7887762706879542,,,,
93,2015-05-18,0.1391927007392367,0.8401668752644919,,,,
94,2015-05-19,0.1398998851878244,0.8522733995154658,,,,
95,2015-05-20,0.1435936191337493,0.8706224656655182,,,,
96,2015-05-21,0.1430940092868049,0.8634070796451305,,,,
97,2015-05-22,0.1439178346948909,0.8851228002769349,,,,
98,2015-05-26,0.1488070270942204,0.9528707733824928,,,,
99,2015-05-27,0.145827192048029,0.9431439256783924,,,,
100,2015-05-28,0.137762213711324,0.9044235054158428,,,,
101,2015-05-29,0.1378153769341633,0.9095155188383371,,,,
102,2015-06-01,0.129197141715899,0.8514027875930273,,,,
103,2015-06-02,0.1286378848756942,0.8748212479713511,,,,
104,2015-06-03,0.1215392666735077,0.8670812672138826,,,,
105,2015-06-04,0.1212675013733535,0.8511783135862239,,,,
106,2015-06-05,0.1277964456673049,0.8444776479590649,,,,
107,2015-06-08,0.1302671745981204,0.8896235643196209,,,,
108,2015-06-09,0.1289612095694314,0.8793392875828484,,,,
109,2015-06-10,0.1343387964902678,0.902268198661904,,,,
110,2015-06-11,0.1306221250260823,0.9462547744165491,,,,
111,2015-06-12,0.1299484843778988,0.95521871622611,,,,
112,2015-06-15,0.1309125805257001,1.0337506361857818,,,,
113,2015-06-16,0.123237825774124,0.9894137530508038,,,,
114,2015-06-17,0.1225629503361588,1.0313773260073615,,,,
115,2015-06-18,0.121092869758312,0.9831939683589804,,,,
116,2015-06-19,0.1247732439066395,0.9953892712290489,,,,
117,2015-06-22,0.1226723635395887,1.0173007458745935,,,,
118,2015-06-23,0.125603556142442,1.0343955944936276,,,,
119,2015-06-24,0.1304912238530597,1.0682027854103795,,,,
120,2015-06-25,0.1321327374227074,1.079243373453261,,,,
121,2015-06-26,0.1309777270083498,1.1345953406021267,,,,
122,2015-06-29,0.1520716192898716,1.1950360974437666,,,,
123,2015-06-30,0.1521306260360349,1.1964165275927356,,,,
124,2015-07-01,0.1506245387163921,1.1494588852312042,,,,
125,2015-07-02,0.1507088060769734,1.1507468819897362,,,,
126,2015-07-06,0.1508945254026535,1.158748846771369,,,,
127,2015-07-07,0.1525477467576924,1.075842200923492,,,,
128,2015-07-08,0.1608029531158933,1.1064766484226791,,,,
129,2015-07-09,0.1602904265039909,1.1228768538268918,,,,
130,2015-07-10,0.1650801657022549,1.1128670285741,,,,
131,2015-07-13,0.1693293941263731,1.1222408891688511,,,,
132,2015-07-14,0.1730919547294971,1.1400987137173315,,,,
133,2015-07-15,0.1729467641784447,1.1392645067789633,,,,
134,2015-07-16,0.1713759150447545,1.1081425753652543,,,,
135,2015-07-17,0.1711992439962526,1.1184648375442252,,,,
136,2015-07-20,0.1652215188932869,1.1396981458840734,,,,
137,2015-07-21,0.1634224884465583,1.1303315866231405,,,,
138,2015-07-22,0.1675380922296547,1.111413494849261,,,,
139,2015-07-23,0.1630634088346885,1.1011959410310677,,,,
140,2015-07-24,0.1659450096442989,1.1017531749217389,,,,
141,2015-07-27,0.1699981635683012,1.1400943755669086,,,,
142,2015-07-28,0.1696331197828107,1.0503018084780296,,,,
143,2015-07-29,0.173098327513626,1.0717278254642737,,,,
144,2015-07-30,0.1727665368460939,1.0761945204820675,,,,
145,2015-07-31,0.1721006794924793,1.0938046630210514,,,,
146,2015-08-03,0.1694106811371666,1.085470787525587,,,,
147,2015-08-04,0.165128585630463,1.0620169855444157,,,,
148,2015-08-05,0.1619291161621647,1.056354117035445,,,,
149,2015-08-06,0.1603626524178198,1.0371230869236014,,,,
150,2015-08-07,0.1598532927729065,1.0344308270634366,,,,
151,2015-08-10,0.1634823838835761,1.030347547086002,,,,
152,2015-08-11,0.147810355148664,0.9786192696580484,,,,
153,2015-08-12,0.1521208415539473,0.9647826070496672,,,,
154,2015-08-13,0.1521305824716117,0.9715046287069238,,,,
155,2015-08-14,0.1509796899700237,0.969844166313446,,,,
156,2015-08-17,0.1508543589562405,0.9610267541374105,,,,
157,2015-08-18,0.148850230604075,1.006615436048919,,,,
158,2015-08-19,0.1378731991120792,0.958286626114112,,,,
159,2015-08-20,0.1537517734388341,1.0125263954129833,,,,
160,2015-08-21,0.1790957673079775,1.0666713406296164,,,,
161,2015-08-24,0.2252460851938861,1.132533567570687,,,,
162,2015-08-25,0.2187640979593774,1.0953741144468498,,,,
163,2015-08-26,0.2697969506054581,1.1575195522012285,,,,
164,2015-08-27,0.2808451492292541,1.147996131780972,,,,
165,2015-08-28,0.2808801188949563,1.1489556223956847,,,,
166,2015-08-31,0.2807868203431991,1.1404941604007122,,,,
167,2015-09-01,0.3025885976558429,1.1701068465235749,,,,
168,2015-09-02,0.3048866086477123,1.1568354035941997,,,,
169,2015-09-03,0.3051608414921491,1.157941695647368,,,,
170,2015-09-04,0.3078081348010547,1.161368249762302,,,,
