Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,STMR,momentum,ltmr,Size,P/B Ratio,Sector Index
2015-01-02,,,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-01-05,,,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-01-06,,,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-01-07,,,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-01-08,,,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-01-09,,,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-01-12,,,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-01-13,,,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-01-14,,,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-01-15,,,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-01-16,,,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-01-20,,,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-01-21,,,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-01-22,,,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-01-23,,,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-01-26,,,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-01-27,,,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-01-28,,,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-01-29,,,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-01-30,,,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-02-02,,,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-02-03,,,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-02-04,,,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-02-05,,,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-02-06,,,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-02-09,,,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-02-10,,,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-02-11,,,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-02-12,,,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-02-13,,,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-02-17,1.5133797425310087,0.2653257525044053,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-02-18,1.5133797425310087,0.1746370994691077,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-02-19,1.5133797425310087,0.1181001972780462,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-02-20,1.5133797425310087,0.1733505858736834,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-02-23,1.5133797425310087,0.3540952470064705,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-02-24,1.5133797425310087,0.268917749239201,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-02-25,1.5133797425310087,0.2135826069275735,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-02-26,1.5133797425310087,0.1992064710982189,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-02-27,1.5133797425310087,0.1770543760955304,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-03-02,1.5133797425310087,0.0271390502726349,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-03-03,1.5133797425310087,0.2170031081891082,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-03-04,0.0483872974205953,0.0368669788924788,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-03-05,0.0,0.0,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-03-06,0.368697239696888,-1.0843458942262922,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-03-09,0.368697239696888,-1.1225886492560206,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-03-10,0.368697239696888,-0.9258374307568576,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-03-11,0.368697239696888,-1.0425115802375284,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-03-12,0.368697239696888,-1.130483171000208,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-03-13,0.368697239696888,-1.1051992824335897,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-03-16,0.368697239696888,-1.195565888421854,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-03-17,0.368697239696888,-1.235005271494581,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-03-18,0.368697239696888,-1.2776191371773389,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-03-19,0.368697239696888,-1.2689443794937818,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-03-20,0.368697239696888,-1.3174599766455235,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-03-23,0.368697239696888,-1.324560509125543,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-03-24,0.368697239696888,-1.3090108187611964,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-03-25,0.368697239696888,-1.142407535147265,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-03-26,0.368697239696888,-1.131248147186675,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-03-27,0.368697239696888,-1.1816434837486882,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-03-30,0.368697239696888,-1.101424568619202,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-03-31,0.368697239696888,-1.0315894802987111,1.7,0.04889744,1.147124245,0.00%,,,,"11,755,723,062",0.16,1
2015-04-01,0.3707313496806408,-1.0009263522600402,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-04-02,0.3707313496806408,-1.0004402257877538,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-04-06,0.3705509830908574,-0.975896264990872,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-04-07,0.3705509830908574,-0.9675061920693294,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-04-08,0.3705509830908574,-0.9665401512500552,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-04-09,0.3705509830908574,-0.965540371850416,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-04-10,0.3705509830908574,-0.9632142756642031,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-04-13,0.3846058676002047,-0.8794769228621909,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-04-14,0.3846058676002047,-0.8914658811184951,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-04-15,0.3846058676002047,-0.9027282020913148,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-04-16,0.3846058676002047,-0.9188183231341462,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-04-17,0.3846058676002047,-0.8351705989843833,1.7,0.04889744,1.147124245,0.00%,,,,,,1
2015-04-20,0.0964016467750046,0.1289567660252779,1.7,0.04889744,1.147124245,0.00%,,,,,,1
