,Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield
0,2015-01-02,,,,,,
1,2015-01-05,,,,,,
2,2015-01-06,,,,,,
3,2015-01-07,,,,,,
4,2015-01-08,,,,,,
5,2015-01-09,,,,,,
6,2015-01-12,,,,,,
7,2015-01-13,,,,,,
8,2015-01-14,,,,,,
9,2015-01-15,,,,,,
10,2015-01-16,,,,,,
11,2015-01-20,,,,,,
12,2015-01-21,,,,,,
13,2015-01-22,,,,,,
14,2015-01-23,,,,,,
15,2015-01-26,,,,,,
16,2015-01-27,,,,,,
17,2015-01-28,,,,,,
18,2015-01-29,,,,,,
19,2015-01-30,,,,,,
20,2015-02-02,,,,,,
21,2015-02-03,,,,,,
22,2015-02-04,,,,,,
23,2015-02-05,,,,,,
24,2015-02-06,,,,,,
25,2015-02-09,,,,,,
26,2015-02-10,,,,,,
27,2015-02-11,,,,,,
28,2015-02-12,,,,,,
29,2015-02-13,,,,,,
30,2015-02-17,0.2027992549779517,0.340827066595286,,,,
31,2015-02-18,0.2033791712887419,0.3798270422404231,,,,
32,2015-02-19,0.2163649356753623,0.4372887492163262,,,,
33,2015-02-20,0.2117333886922961,0.3904987868148679,,,,
34,2015-02-23,0.2141346497250376,0.4284562015532838,,,,
35,2015-02-24,0.2198794133954045,0.4265876206891317,,,,
36,2015-02-25,0.218064893965209,0.4928290476289991,,,,
37,2015-02-26,0.2128373237998289,0.4664190671292965,,,,
38,2015-02-27,0.2139297065110579,0.4590238707619589,,,,
39,2015-03-02,0.2138643037736703,0.499110212576139,,,,
40,2015-03-03,0.2119920252815986,0.4621711029414767,,,,
41,2015-03-04,0.2118327265983188,0.4737035857881345,,,,
42,2015-03-05,0.2124355581901383,0.4647637980995255,,,,
43,2015-03-06,0.213584550444726,0.4791258573038969,,,,
44,2015-03-09,0.2129484921335177,0.5197558447737012,,,,
45,2015-03-10,0.2086214621224525,0.4679711597987417,,,,
46,2015-03-11,0.1936525648700208,0.7293134569704218,,,,
47,2015-03-12,0.2028049567559168,0.818638710008294,,,,
48,2015-03-13,0.2027804431065208,0.8327003640563165,,,,
49,2015-03-16,0.195028937760398,0.7507562407647338,,,,
50,2015-03-17,0.1949801933776168,0.7846266760879012,,,,
51,2015-03-18,0.2021077436490566,0.9243143044630004,,,,
52,2015-03-19,0.2027024276470596,0.9004304650419417,,,,
53,2015-03-20,0.204427951143308,0.8939069798269574,,,,
54,2015-03-23,0.1924883427109619,0.8212575600412296,,,,
55,2015-03-24,0.1938447804825381,0.8515130164095591,,,,
56,2015-03-25,0.1993935398343423,0.9148068418123408,,,,
57,2015-03-26,0.2003811130380493,0.9335728800169424,,,,
58,2015-03-27,0.1985422672367084,0.9306213690982024,,,,
59,2015-03-30,0.1994572302405306,1.0808779114587388,,,,
60,2015-03-31,0.2011628104629634,1.0869116400464731,,,,
61,2015-04-01,0.2007028015064578,1.0856473235533002,,,,
62,2015-04-02,0.1866899990245359,1.0838515411567478,,,,
63,2015-04-06,0.1931014959569912,1.1381857271869458,,,,
64,2015-04-07,0.2031946657416173,1.16189258512033,,,,
65,2015-04-08,0.1963067131460013,1.20266420119312,,,,
66,2015-04-09,0.2104511794033183,1.1127705780848678,,,,
67,2015-04-10,0.2081830467994943,1.0965127669627557,,,,
68,2015-04-13,0.2073130042792892,1.1066789392421217,,,,
69,2015-04-14,0.2092479090173524,1.1446638120740342,,,,
70,2015-04-15,0.2093179414801841,1.1308162886743678,,,,
71,2015-04-16,0.2088667814653687,1.1253060787780098,,,,
72,2015-04-17,0.20819372755502,1.0591322979502082,,,,
73,2015-04-20,0.188221020415953,0.899806157209328,,,,
74,2015-04-21,0.1896811705734173,0.9127639878351947,,,,
75,2015-04-22,0.190495075633869,0.9481916057971332,,,,
76,2015-04-23,0.1869627367782937,0.9879930103977734,,,,
77,2015-04-24,0.1776824481206926,0.9135576893612288,,,,
78,2015-04-27,0.1776824481206926,0.926065960245114,,,,
79,2015-04-28,0.1765663451071291,0.947341009228479,,,,
80,2015-04-29,0.1929515741280175,1.0462086228806575,,,,
81,2015-04-30,0.1936035338483527,1.0604287024699677,,,,
82,2015-05-01,0.1940425539225024,1.0714767422246267,,,,
83,2015-05-04,0.1857912518713531,1.017696423219954,,,,
84,2015-05-05,0.1901380047554677,1.0899781549014755,,,,
85,2015-05-06,0.1907233347386012,1.0656845553268757,,,,
86,2015-05-07,0.1943190484237582,1.1420324405768991,,,,
87,2015-05-08,0.1969876856717784,1.1344189875978796,,,,
88,2015-05-11,0.1976777795129056,1.131532312166816,,,,
89,2015-05-12,0.1848450445392347,1.0113701093643537,,,,
90,2015-05-13,0.1854539057073431,1.0391454691549888,,,,
91,2015-05-14,0.1885702690418008,1.0657585707684671,,,,
92,2015-05-15,0.1917825934494132,1.0570828349514003,,,,
93,2015-05-18,0.182100304127329,0.974777027359488,,,,
94,2015-05-19,0.1719127470928669,0.9163098780412988,,,,
95,2015-05-20,0.1723836515213736,0.8964253131876783,,,,
96,2015-05-21,0.1589993599637815,0.9686232068566568,,,,
97,2015-05-22,0.1584512212296529,0.9601233764924249,,,,
98,2015-05-26,0.1595477072355278,0.9402837210386124,,,,
99,2015-05-27,0.1601037585483601,0.956456855329215,,,,
100,2015-05-28,0.1601198214219681,0.9688597210679868,,,,
101,2015-05-29,0.1641320816884726,1.0131455321863652,,,,
102,2015-06-01,0.1706133292394316,1.1632456669281206,,,,
103,2015-06-02,0.1699461269676662,1.1890071941800868,,,,
104,2015-06-03,0.1696961683334894,1.1719709017600717,,,,
105,2015-06-04,0.1688915996019944,1.112361121118924,,,,
106,2015-06-05,0.1677545471025854,1.1011611424760006,,,,
107,2015-06-08,0.16778906311761,1.0826949309818368,,,,
108,2015-06-09,0.1742127375625541,1.0917685367391996,,,,
109,2015-06-10,0.1768505336741644,1.0833310044061346,,,,
110,2015-06-11,0.1618846198874541,1.0254960334218763,,,,
111,2015-06-12,0.1520974728651206,0.9413447955722106,,,,
112,2015-06-15,0.1518572563707037,0.9847503246144632,,,,
113,2015-06-16,0.1526831108704992,0.9924713381018974,,,,
114,2015-06-17,0.1407905003504971,0.8910936289550458,,,,
115,2015-06-18,0.142990840521878,0.919897568642772,,,,
116,2015-06-19,0.138902270696379,0.8990142756121843,,,,
117,2015-06-22,0.1327411101299357,0.8438464962634432,,,,
118,2015-06-23,0.1343285664438655,0.8276322290288314,,,,
119,2015-06-24,0.1346479245867105,0.8123326864244975,,,,
120,2015-06-25,0.1362117149435666,0.8407858431462853,,,,
121,2015-06-26,0.133387486479007,0.8216008021911502,,,,
122,2015-06-29,0.1482227987778969,0.9445248845796732,,,,
123,2015-06-30,0.1482624979284944,0.9553427241396948,,,,
124,2015-07-01,0.1611260300945646,1.0366044546296889,,,,
125,2015-07-02,0.1606019024371267,1.0355998564575029,,,,
126,2015-07-06,0.1588416811975636,1.064820435340247,,,,
127,2015-07-07,0.1727371698699608,1.1428264607167118,,,,
128,2015-07-08,0.1747658834196327,1.102269137610223,,,,
129,2015-07-09,0.1712655634835255,1.0981604583216908,,,,
130,2015-07-10,0.1737105080043176,1.0579828166739011,,,,
131,2015-07-13,0.1692054172566721,1.0018663737093396,,,,
132,2015-07-14,0.1640576441998626,0.9807099019091968,,,,
133,2015-07-15,0.1643085922315073,0.981716187232832,,,,
134,2015-07-16,0.1684180213234782,1.0162938636189225,,,,
135,2015-07-17,0.168169849389578,1.0743323309183863,,,,
136,2015-07-20,0.1685342618343241,1.0752750873631651,,,,
137,2015-07-21,0.1748921461056995,1.0307795847863712,,,,
138,2015-07-22,0.1662589321427004,1.0272017260724533,,,,
139,2015-07-23,0.1658092415887383,1.0610327880956592,,,,
140,2015-07-24,0.1648784602029325,1.0053978378572994,,,,
141,2015-07-27,0.162575042155847,0.9737563983072716,,,,
142,2015-07-28,0.1634165516115389,0.9473253354835306,,,,
143,2015-07-29,0.1640242563748371,0.9502941191352904,,,,
144,2015-07-30,0.1672431293001636,0.947199951929709,,,,
145,2015-07-31,0.1678433440804101,0.9496904506212122,,,,
146,2015-08-03,0.1638883929266674,0.9248431028624916,,,,
147,2015-08-04,0.1645143710819024,0.9552778198302432,,,,
148,2015-08-05,0.1606858969573863,0.9546588066318112,,,,
149,2015-08-06,0.1599652313981974,0.9046954527066094,,,,
150,2015-08-07,0.1535255240511347,0.8829016102842214,,,,
151,2015-08-10,0.1537323993240575,0.786431965097484,,,,
152,2015-08-11,0.1254035977655627,0.4895775338372284,,,,
153,2015-08-12,0.1247220456960814,0.4944580854114559,,,,
154,2015-08-13,0.1159748410862822,0.4317946346252429,,,,
155,2015-08-14,0.1159742875949514,0.4281093483199153,,,,
156,2015-08-17,0.1198632413798762,0.4529314554183526,,,,
157,2015-08-18,0.1079117447140614,0.3762848438725862,,,,
158,2015-08-19,0.0992087271519607,0.2660476556259218,,,,
159,2015-08-20,0.1083625829836017,0.3875818078071317,,,,
160,2015-08-21,0.1300688028806756,0.5564539355553922,,,,
161,2015-08-24,0.2284779031510779,1.0077477809393895,,,,
162,2015-08-25,0.2590911651296163,1.0929439419233171,,,,
163,2015-08-26,0.2746319090370172,0.983270654510133,,,,
164,2015-08-27,0.2880957447772369,1.0038478084709397,,,,
165,2015-08-28,0.2884430552543899,1.0059433957605433,,,,
166,2015-08-31,0.2953876017416786,1.0207539597453548,,,,
167,2015-09-01,0.3001152039750479,1.0172920114994717,,,,
168,2015-09-02,0.3037393438249018,0.9990847392613212,,,,
169,2015-09-03,0.3055286686822733,1.0026093111081695,,,,
170,2015-09-04,0.3163134431650763,1.037827693668893,,,,
