Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,STMR,momentum,ltmr,Size,P/B Ratio,Sector Index
2015-01-02,,,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-01-05,,,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-01-06,,,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-01-07,,,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-01-08,,,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-01-09,,,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-01-12,,,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-01-13,,,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-01-14,,,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-01-15,,,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-01-16,,,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-01-20,,,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-01-21,,,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-01-22,,,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-01-23,,,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-01-26,,,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-01-27,,,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-01-28,,,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-01-29,,,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-01-30,,,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-02-02,,,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-02-03,,,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-02-04,,,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-02-05,,,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-02-06,,,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-02-09,,,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-02-10,,,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-02-11,,,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-02-12,,,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-02-13,,,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-02-17,0.331883425901586,1.1115608301139523,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-02-18,0.3276668959124211,1.1339464545782885,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-02-19,0.3280607051815682,1.1723637508072071,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-02-20,0.3266882937135593,1.1787236868507125,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-02-23,0.3212432748812959,1.172415564121892,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-02-24,0.3216996550613851,1.2034146253030562,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-02-25,0.3216401913714189,1.2682497846326657,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-02-26,0.3210777050374038,1.2893113242735208,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-02-27,0.320826342674367,1.2914636500093315,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-03-02,0.3210289963278829,1.3871579006254156,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-03-03,0.319257708430929,1.391823041893745,15.5,0.254548302,0.081010158,3.70%,,,,,,0
2015-03-04,0.3180974769064423,1.386846226434323,15.5,0.254548302,0.081010158,3.70%,,,,,,0
