,Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield
0,2016-09-23,,,,,,
1,2016-09-26,,,,,,
2,2016-09-27,,,,,,
3,2016-09-28,,,,,,
4,2016-09-29,,,,,,
5,2016-09-30,,,,,,
6,2016-10-03,,,,,,
7,2016-10-04,,,,,,
8,2016-10-05,,,,,,
9,2016-10-06,,,,,,
10,2016-10-07,,,,,,
11,2016-10-10,,,,,,
12,2016-10-11,,,,,,
13,2016-10-12,,,,,,
14,2016-10-13,,,,,,
15,2016-10-14,,,,,,
16,2016-10-17,,,,,,
17,2016-10-18,,,,,,
18,2016-10-19,,,,,,
19,2016-10-20,,,,,,
20,2016-10-21,,,,,,
21,2016-10-24,,,,,,
22,2016-10-25,,,,,,
23,2016-10-26,,,,,,
24,2016-10-27,,,,,,
25,2016-10-28,,,,,,
26,2016-10-31,,,,,,
27,2016-11-01,,,,,,
28,2016-11-02,,,,,,
29,2016-11-03,,,,,,
30,2016-11-04,0.2141607146810368,-0.2030429185749465,,,,
31,2016-11-07,0.1764685565474148,0.3280341387262335,,,,
32,2016-11-08,0.180917056405481,0.4431469721668435,,,,
33,2016-11-09,0.2373308917608445,-0.0994917645524056,,,,
34,2016-11-10,0.2605648671537026,-0.245209952645116,,,,
35,2016-11-11,0.2603303285274682,-0.3117344607300142,,,,
36,2016-11-14,0.2901500486477913,-0.2985999587831865,,,,
37,2016-11-15,0.294358431893124,-0.1726300062347984,,,,
38,2016-11-16,0.3046401148470353,-0.2256952055503772,,,,
39,2016-11-17,0.3216019858709274,-0.0770387682979585,,,,
40,2016-11-18,0.3311262012153967,-0.1883243749058298,,,,
41,2016-11-21,0.3274458293729644,-0.236455822047451,,,,
42,2016-11-22,0.3330577689217371,-0.3340446841892879,,,,
43,2016-11-23,0.3311211967581309,-0.3382811258716054,,,,
44,2016-11-25,0.331806957837865,-0.3204071692700611,,,,
45,2016-11-28,0.3312170303117318,-0.3345630460674409,,,,
46,2016-11-29,0.3315231564754317,-0.3586483139479557,,,,
47,2016-11-30,0.3306210383085991,-0.2717726124502473,,,,
48,2016-12-01,0.3388074686793023,-0.0898913473360715,,,,
49,2016-12-02,0.3401263408362058,-0.1026732155622323,,,,
50,2016-12-05,0.3343471745687283,-0.1149056643930864,,,,
51,2016-12-06,0.3336794426877525,-0.0973238988453571,,,,
52,2016-12-07,0.3393896468530929,0.1164212816923827,,,,
53,2016-12-08,0.3381886727801385,0.0554426623870396,,,,
54,2016-12-09,0.3463684336560844,0.1050139925719172,,,,
55,2016-12-12,0.348799769422254,0.098062849990028,,,,
56,2016-12-13,0.3496540503643802,0.1300041816477307,,,,
57,2016-12-14,0.3575155443370784,0.2667631154596711,,,,
58,2016-12-15,0.3581186314125601,0.3020533156489431,,,,
59,2016-12-16,0.3574289073272401,0.4219326523252945,,,,
60,2016-12-19,0.3543632094164554,0.4812288404092965,,,,
61,2016-12-20,0.3542545894371824,0.6126325443735179,,,,
62,2016-12-21,0.3566379504189136,0.4441424611727982,,,,
63,2016-12-22,0.309793315702134,1.3026285902643489,,,,
64,2016-12-23,0.2778919376070867,1.390116700954663,,,,
65,2016-12-27,0.2789599863860185,1.3978964978052693,,,,
66,2016-12-28,0.266654578382515,1.4889407551876894,,,,
67,2016-12-29,0.2665336718537413,1.514459237975326,,,,
68,2016-12-30,0.260211634907062,1.5803210535878105,,,,
69,2017-01-03,0.2442414896492634,1.324855287581219,,,,
70,2017-01-04,0.2357496814646198,1.321360981826583,,,,
71,2017-01-05,0.2432746744479981,1.334033048839833,,,,
72,2017-01-06,0.2337331138972455,1.3318534938287745,,,,
73,2017-01-09,0.2349969964771197,1.2502081426738858,,,,
74,2017-01-10,0.2373184179909158,1.2385890171328486,,,,
75,2017-01-11,0.2374384360774755,1.2874985637880556,,,,
76,2017-01-12,0.2373912509648787,1.2549731175541703,,,,
77,2017-01-13,0.2386388540677593,1.2408968255266764,,,,
78,2017-01-17,0.2130022410743029,1.013755479930362,,,,
79,2017-01-18,0.2069680917371177,0.9866512725235386,,,,
80,2017-01-19,0.2135895329910204,1.1745778255974966,,,,
81,2017-01-20,0.2120002153927832,1.209851558540453,,,,
82,2017-01-23,0.2069580861252615,1.162470868343078,,,,
83,2017-01-24,0.2030061923764806,1.2670009719591409,,,,
84,2017-01-25,0.1892633680187841,1.0439743607564709,,,,
85,2017-01-26,0.1845512615059357,1.078999473136841,,,,
86,2017-01-27,0.2317732853872752,0.8629064703166636,,,,
87,2017-01-30,0.2094352064810401,0.4366474975615099,,,,
88,2017-01-31,0.2221168986809892,0.4327129254121255,,,,
89,2017-02-01,0.228304279436505,0.3151848982114527,,,,
90,2017-02-02,0.2296960329038375,0.3013945830286195,,,,
91,2017-02-03,0.2342993689379162,0.4838220100515483,,,,
