Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,STMR,momentum,ltmr,Size,P/B Ratio,Sector Index
2015-01-02,,,2.0,0.096445962,-0.036337625,5.10%,-0.0225805169679731,1.9457976844748792,-3.553362544146744,,,7
2015-01-05,,,2.0,0.096445962,-0.036337625,5.10%,-0.0441966446744742,1.5673469448073154,-1.8970033165456377,,,7
2015-01-06,,,2.0,0.096445962,-0.036337625,5.10%,-0.0436819589843682,1.742327549273674,-1.7549804224227616,,,7
2015-01-07,,,2.0,0.096445962,-0.036337625,5.10%,-0.0107442851656711,7.452828047342542,-1.738310229660285,,,7
2015-01-08,,,2.0,0.096445962,-0.036337625,5.10%,0.0092586189370065,-6.512605423846769,-2.539625291551736,,,7
2015-01-09,,,2.0,0.096445962,-0.036337625,5.10%,0.0379529650299265,-1.3683468013973308,-3.0658256347950963,,,7
2015-01-12,,,2.0,0.096445962,-0.036337625,5.10%,0.0125890025883089,-6.2695136470783615,-1.8221464225805963,,,7
2015-01-13,,,2.0,0.096445962,-0.036337625,5.10%,0.0385101671622707,-1.6305767293373563,-2.205726027914435,,,7
2015-01-14,,,2.0,0.096445962,-0.036337625,5.10%,0.0321582637292808,-2.2219795043681243,-1.764952834760025,,,7
2015-01-15,,,2.0,0.096445962,-0.036337625,5.10%,0.0290834266426231,-2.63890796001888,-1.4144257443328117,,,7
2015-01-16,,,2.0,0.096445962,-0.036337625,5.10%,0.0233168071279772,-2.332044486583612,-2.314614050638442,,,7
2015-01-20,,,2.0,0.096445962,-0.036337625,5.10%,-0.0007685474820796,74.07037069812012,-2.112507627819483,,,7
2015-01-21,,,2.0,0.096445962,-0.036337625,5.10%,-0.0190835260244911,2.1862892046961093,-3.092189004584708,,,7
2015-01-22,,,2.0,0.096445962,-0.036337625,5.10%,-0.0049410764712754,4.974913363334911,-5.8239040709635015,,,7
2015-01-23,,,2.0,0.096445962,-0.036337625,5.10%,-0.0399015410982384,0.9220523534398808,-3.292918585430461,,,7
2015-01-26,,,2.0,0.096445962,-0.036337625,5.10%,-0.0217750328203286,0.2369751066133994,-26.326764737040303,,,7
2015-01-27,,,2.0,0.096445962,-0.036337625,5.10%,-0.0245446291726434,0.6015363542643012,-9.338309343738434,,,7
2015-01-28,,,2.0,0.096445962,-0.036337625,5.10%,-0.0565831858850392,0.9891116417493856,-1.935125097946104,,,7
2015-01-29,,,2.0,0.096445962,-0.036337625,5.10%,-0.060262008854235,0.9047395172743928,-2.288463669366072,,,7
2015-01-30,,,2.0,0.096445962,-0.036337625,5.10%,-0.055943658395184,0.7955218104640563,-2.700830994513935,,,7
2015-02-02,,,2.0,0.096445962,-0.036337625,5.10%,-0.0356377253016404,0.0121877915178054,-345.0264875830227,,,7
2015-02-03,,,2.0,0.096445962,-0.036337625,5.10%,0.021475987141639,2.425835276726501,3.123533773624017,,,7
2015-02-04,,,2.0,0.096445962,-0.036337625,5.10%,0.0182055825255442,2.4074994929078706,3.294553093172105,,,7
2015-02-05,,,2.0,0.096445962,-0.036337625,5.10%,0.0179161242905263,3.266435946414421,2.517618111307359,,,7
2015-02-06,,,2.0,0.096445962,-0.036337625,5.10%,-0.0004475301070552,-105.36730787785326,3.221389803095369,,,7
2015-02-09,,,2.0,0.096445962,-0.036337625,5.10%,0.0016187543302449,24.192716555327166,4.027647729104794,,,7
2015-02-10,,,2.0,0.096445962,-0.036337625,5.10%,0.0149984508351144,2.9942138615283165,3.6632442012035527,,,7
2015-02-11,,,2.0,0.096445962,-0.036337625,5.10%,0.0141430838247534,1.8210975004283592,5.925805240805449,,,7
2015-02-12,,,2.0,0.096445962,-0.036337625,5.10%,0.0363843563366763,1.167126299432869,3.9800977901266457,,,7
2015-02-13,,,2.0,0.096445962,-0.036337625,5.10%,0.0558820852214162,0.8839601321970444,3.7714534214561217,,,7
2015-02-17,0.2369647633995347,1.199001134839987,2.0,0.096445962,-0.036337625,5.10%,0.0284582805400321,0.5999614963050891,9.819008630944335,,,7
2015-02-18,0.2319419525632649,1.1719912609734708,2.0,0.096445962,-0.036337625,5.10%,0.0066202279689997,-0.7052013024883128,-30.635713821984982,,,7
2015-02-19,0.2370074066359543,1.2193739702444275,2.0,0.096445962,-0.036337625,5.10%,-0.019307289729779,1.0769570908773365,-5.51094719522832,,,7
2015-02-20,0.235630171254723,1.233743579660701,2.0,0.096445962,-0.036337625,5.10%,-0.0247812148379846,1.2284526499098485,-3.807398935415032,,,7
2015-02-23,0.2317516656958318,1.26446217062116,2.0,0.096445962,-0.036337625,5.10%,-0.0134024350520403,2.7638856641073373,-2.823370811029576,,,7
2015-02-24,0.2323326499884783,1.3186412479479448,2.0,0.096445962,-0.036337625,5.10%,-0.0183332692583267,2.5732224566451403,-2.236549277521424,,,7
2015-02-25,0.2258285002371113,1.280130800967206,2.0,0.096445962,-0.036337625,5.10%,-0.0074557148676241,5.876776147416447,-2.482721402963752,,,7
2015-02-26,0.2276500623918688,1.2950015929298149,2.0,0.096445962,-0.036337625,5.10%,0.015426556000434,-3.1802868855992386,-2.021059600357679,,,7
2015-02-27,0.2275438448294601,1.3102984349873603,2.0,0.096445962,-0.036337625,5.10%,0.0184005175546211,-2.762133861151269,-2.0715262444935307,,,7
2015-03-02,0.2267435650206412,1.3203866748833777,2.0,0.096445962,-0.036337625,5.10%,0.0145662930869117,-4.185266498137608,-1.5716555613715086,,,7
2015-03-03,0.2147506029571328,1.2370277738808386,2.0,0.096445962,-0.036337625,5.10%,-0.0146237978238202,3.946685420781269,-1.6773113903563597,,,7
2015-03-04,0.2150126682662337,1.225839289668469,2.0,0.096445962,-0.036337625,5.10%,-0.0490287332862212,1.4965545470522523,-1.1438176504672308,,,7
2015-03-05,0.2131578963335626,1.2136301203081814,2.0,0.096445962,-0.036337625,5.10%,-0.0454879538041707,1.0958642003214738,-1.849030384848257,,,7
2015-03-06,0.2119330580935241,1.182618609328022,2.0,0.096445962,-0.036337625,5.10%,-0.0681594644063641,0.914050736576712,-1.2783312898416843,,,7
2015-03-09,0.2046328858448116,1.1230073864958665,2.0,0.096445962,-0.036337625,5.10%,-0.0718069159027975,1.1257740835551089,-1.0620915325825264,,,7
2015-03-10,0.2029793944324086,1.0238351550783098,2.0,0.096445962,-0.036337625,5.10%,-0.0830871582192025,1.1652534353546036,-0.8417915957446215,,,7
2015-03-11,0.2021642450084504,1.077299393811698,2.0,0.096445962,-0.036337625,5.10%,-0.0799147666839123,1.0504370794900826,-0.7615482159395146,,,7
2015-03-12,0.1807658810979009,0.8878349067716657,2.0,0.096445962,-0.036337625,5.10%,-0.0730219901225441,1.1461331864146118,-0.6106736318641561,,,7
2015-03-13,0.1807589983636534,0.9236352772888052,2.0,0.096445962,-0.036337625,5.10%,-0.0965342283139636,0.8472503801037361,-0.6927959424448211,,,7
2015-03-16,0.184056312134871,1.02554214760314,2.0,0.096445962,-0.036337625,5.10%,-0.0967460658199985,0.7175035182597617,-0.9566386342880322,,,7
2015-03-17,0.1681421634722308,0.9253537865427944,2.0,0.096445962,-0.036337625,5.10%,-0.1013682265222157,0.8535550319350637,-0.6274967352922587,,,7
2015-03-18,0.15871206009331,0.8647878074686174,2.0,0.096445962,-0.036337625,5.10%,-0.0558086090791274,1.2051490318735416,-1.060736920704125,,,7
2015-03-19,0.1653178514959273,0.9025710588110484,2.0,0.096445962,-0.036337625,5.10%,-0.0578823919443835,1.31873626622898,-0.7383695062590797,,,7
2015-03-20,0.1615906953310237,0.8778778116928755,2.0,0.096445962,-0.036337625,5.10%,-0.0616957887765075,1.3586064540526803,-0.7723158648000409,,,7
2015-03-23,0.1649400862069989,0.8398094572196969,2.0,0.096445962,-0.036337625,5.10%,-0.0410517018824251,1.7170810096256732,-1.179555668518492,,,7
2015-03-24,0.1664678532502994,0.879588829049116,2.0,0.096445962,-0.036337625,5.10%,-0.0563558975655026,1.5027888405805652,-0.8249079743266977,,,7
2015-03-25,0.1672257961992797,0.7757284623926957,2.0,0.096445962,-0.036337625,5.10%,-0.0543522341777279,1.5367349797392171,-0.6791400736804323,,,7
2015-03-26,0.1675275283176482,0.7804418393855478,2.0,0.096445962,-0.036337625,5.10%,-0.0500771672457059,1.7511700978804996,-0.6279039405933686,,,7
2015-03-27,0.1550341694274382,0.6664494740020153,2.0,0.096445962,-0.036337625,5.10%,-0.0576503142697948,1.9538480824099331,-0.4888201207217549,,,7
2015-03-30,0.1702110341509684,0.7867987947458659,2.0,0.096445962,-0.036337625,5.10%,-0.0277557985425304,3.72767262658727,-0.7416402207376133,,,7
2015-03-31,0.1707122454284753,0.7787036927381258,2.0,0.096445962,-0.036337625,5.10%,-0.030358032801819,3.64464114460764,-0.5587860648594778,"355,394,204,650",5.866,7
2015-04-01,0.1613889060501121,0.7895956335520569,2.0,0.096445962,-0.036337625,5.10%,-0.0316968303327024,3.707918502251528,-0.4385334665329537,,,7
2015-04-02,0.1551568626988085,0.7811222946186417,2.0,0.096445962,-0.036337625,5.10%,-0.0285329064665029,4.264338131077642,-0.525895727934912,,,7
2015-04-06,0.1575111875922113,0.7987081621124894,2.0,0.096445962,-0.036337625,5.10%,-0.0058564243076216,19.068377783331528,-0.7498522373983603,,,7
2015-04-07,0.1575756106122422,0.7880845781154314,2.0,0.096445962,-0.036337625,5.10%,0.0069038471896665,-14.278730102795723,-0.9421900463786784,,,7
2015-04-08,0.165361760231641,0.7317885068420829,2.0,0.096445962,-0.036337625,5.10%,-0.0023763627222759,47.34467381560871,-0.7476680229631287,,,7
2015-04-09,0.1670468694849392,0.7478128331711562,2.0,0.096445962,-0.036337625,5.10%,0.0074704621116606,-15.047685514830782,-0.9937403950040128,,,7
2015-04-10,0.1687675227055946,0.769399016327055,2.0,0.096445962,-0.036337625,5.10%,0.0157858009250334,-6.365720579447548,-1.1541015120263487,,,7
2015-04-13,0.1688193344605277,0.7690521176706919,2.0,0.096445962,-0.036337625,5.10%,0.0173753876253777,-5.605396206495138,-1.053170232588099,,,7
2015-04-14,0.1746606915874849,0.8248691787025598,2.0,0.096445962,-0.036337625,5.10%,0.0218225304608389,-3.747156167415038,-1.5333195546215037,,,7
2015-04-15,0.1810756292772012,0.8567195570141929,2.0,0.096445962,-0.036337625,5.10%,0.046476876551487,-1.654393984492141,-1.6813986897405593,,,7
2015-04-16,0.1808364453908682,0.8532608184959946,2.0,0.096445962,-0.036337625,5.10%,0.0191032974719011,-4.67024441773571,-1.213978634989736,,,7
2015-04-17,0.1822567287751952,0.855353240598259,2.0,0.096445962,-0.036337625,5.10%,0.0294174443580806,-3.775505190009482,-0.8611301170662324,,,7
2015-04-20,0.1782937010031428,0.8215584719631821,2.0,0.096445962,-0.036337625,5.10%,0.0314382146616288,-3.572006699139666,-0.9323262208708633,,,7
2015-04-21,0.1779273926910392,0.8454385756755884,2.0,0.096445962,-0.036337625,5.10%,0.0168306389813941,-7.218884187499783,-0.8257546118863109,,,7
2015-04-22,0.1754160413867214,0.8815075394080535,2.0,0.096445962,-0.036337625,5.10%,0.0341931524501517,-3.1959757904455826,-0.9372222498298846,,,7
2015-04-23,0.1749808468960474,0.8767638269312613,2.0,0.096445962,-0.036337625,5.10%,0.0310927476426319,-3.5268926309111466,-0.8765697621888139,,,7
2015-04-24,0.176451615232972,0.9500483486204288,2.0,0.096445962,-0.036337625,5.10%,0.0309440743839856,-3.5969914888735044,-0.7488894409990663,,,7
2015-04-27,0.1757555925275664,0.941411499290604,2.0,0.096445962,-0.036337625,5.10%,0.0402191820656524,-2.85529284905563,-0.8084224366261287,,,7
2015-04-28,0.1751039385352207,0.9828802728934212,2.0,0.096445962,-0.036337625,5.10%,0.0250258720425579,-4.528894141098108,-0.8978273819889389,,,7
2015-04-29,0.1729044432831575,0.9492313158033968,2.0,0.096445962,-0.036337625,5.10%,0.0332069244628089,-3.47236243340549,-0.8632688461458233,,,7
2015-04-30,0.1607468569292153,0.8010422261891236,2.0,0.096445962,-0.036337625,5.10%,0.0338739576556137,-3.850488298028079,-0.6575055364688701,,,7
2015-05-01,0.1561240471468356,0.8018114167109278,2.0,0.096445962,-0.036337625,5.10%,0.0525675870114198,-1.9749896981063408,-1.0812348740841276,,,7
2015-05-04,0.1561590126934866,0.8120644076777968,2.0,0.096445962,-0.036337625,5.10%,0.0456921811661288,-2.3373325323094924,-1.1383854924310663,,,7
2015-05-05,0.155326841208133,0.8089854696584792,2.0,0.096445962,-0.036337625,5.10%,0.0328086023787209,-3.69443256732389,-1.0613035661467125,,,7
2015-05-06,0.1523008772513265,0.7859106774177123,2.0,0.096445962,-0.036337625,5.10%,0.0479626563271275,-2.577529695817921,-1.010745811674558,,,7
2015-05-07,0.1538923587059765,0.9433134077696266,2.0,0.096445962,-0.036337625,5.10%,0.0342559029407974,-3.9296691476454977,-0.9189294286766008,,,7
2015-05-08,0.1579517451804955,0.9579444434951192,2.0,0.096445962,-0.036337625,5.10%,0.0393058682713656,-2.8285821096629125,-1.3305470217820925,,,7
2015-05-11,0.1734337296525031,1.0642706324305191,2.0,0.096445962,-0.036337625,5.10%,0.0249697607436876,-5.255747765579481,-0.9891560410637438,,,7
2015-05-12,0.1589864778638095,0.9337304917988274,2.0,0.096445962,-0.036337625,5.10%,0.0127283881392478,-10.308886454377369,-0.986463950401126,,,7
2015-05-13,0.1581987491879572,0.9402320554246206,2.0,0.096445962,-0.036337625,5.10%,-0.0091707025082314,15.024635256843233,-0.9870536415694116,,,7
2015-05-14,0.1571920108779661,0.8850945995607311,2.0,0.096445962,-0.036337625,5.10%,-0.0004639833067705,285.3053639765779,-1.0935023205931322,,,7
2015-05-15,0.1572297277072705,0.8973934679056661,2.0,0.096445962,-0.036337625,5.10%,0.0130566962984467,-8.665676728258827,-1.2769342706633082,,,7
2015-05-18,0.1562912360139328,0.8608878208570051,2.0,0.096445962,-0.036337625,5.10%,0.0037563133573504,-31.543980000697932,-1.197638948820049,,,7
