Date,Trailing Volatility,Trailing Beta
2017-05-25,,
2017-05-26,,
2017-05-30,,
2017-05-31,,
2017-06-01,,
2017-06-02,,
2017-06-05,,
2017-06-06,,
2017-06-07,,
2017-06-08,,
2017-06-09,,
2017-06-12,,
2017-06-13,,
2017-06-14,,
2017-06-15,,
2017-06-16,,
2017-06-19,,
2017-06-20,,
2017-06-21,,
2017-06-22,,
2017-06-23,,
2017-06-26,,
2017-06-27,,
2017-06-28,,
2017-06-29,,
2017-06-30,,
2017-07-03,,
2017-07-05,,
2017-07-06,,
2017-07-07,,
2017-07-10,0.6656115604431835,1.6969419238553844
2017-07-11,0.5373263159670602,1.744532888203824
2017-07-12,0.544315549170891,2.2320936248526877
2017-07-13,0.5455813039010798,2.167762253391573
2017-07-14,0.5485117054281261,2.309777824031928
2017-07-17,0.5483798061465696,2.399001814677175
2017-07-18,0.48352198446942846,2.560081245740312
2017-07-19,0.46011477376861476,2.2063221652172205
2017-07-20,0.4476995378399513,2.133565822069098
2017-07-21,0.4576869917368637,2.2033265826591983
2017-07-24,0.45691428120245053,2.1517179023851387
2017-07-25,0.4547858176457352,2.151550881610993
2017-07-26,0.449317778580521,2.0302873341823373
2017-07-27,0.45516628031352785,2.0381119542302186
2017-07-28,0.45517709339090134,2.0273650545639583
2017-07-31,0.4551747548890812,2.11947292976462
2017-08-01,0.46372959213013626,2.7259975179528477
2017-08-02,0.4721717695231371,2.6572524596832814
2017-08-03,0.4939488452546986,2.2769802707367384
2017-08-04,0.5229033643688324,2.0867817587943565
2017-08-07,0.5844112725312424,2.289736064563001
2017-08-08,0.5817467383611742,2.255832108730879
2017-08-09,0.5939159986676616,2.3349159771129053
2017-08-10,0.636777389386325,3.7885822966046185
2017-08-11,0.6403011503670673,4.655127030008996
2017-08-14,0.6393418118817268,4.151619722883006
2017-08-15,0.6349699161527826,4.233063901412547
2017-08-16,0.6350425018744149,4.238810731866787
2017-08-17,0.6369834197843326,3.575473195915571
2017-08-18,0.6077500095021561,3.147390971619847
2017-08-21,0.6078227512168513,3.152241597702447
2017-08-22,0.6072184167607718,2.880486185403816
2017-08-23,0.5917303336449007,2.391441810459083
2017-08-24,0.5887248620643333,2.413599274985304
2017-08-25,0.58690492043785,2.3733742965817086
2017-08-28,0.5915945786840505,2.3790490522475127
2017-08-29,0.584700678536787,2.3355545551081662
2017-08-30,0.5858860179508134,2.459079732895509
2017-08-31,0.585336342055324,2.339851702421445
2017-09-01,0.5832717727326956,2.2381158792126725
2017-09-05,0.6007574930964218,1.5793840297742563
2017-09-06,0.6139354999673868,1.7304173408642252
2017-09-07,0.6209554399711926,1.7275090632632821
2017-09-08,0.607429815308511,1.6762255841834393
2017-09-11,0.6074569921875743,1.7277617404348358
2017-09-12,0.6082384937704715,1.6607095388386435
2017-09-13,0.6204627597657696,1.6100508239784244
2017-09-14,0.6071207909189922,1.607476037453328
2017-09-15,0.5945333790713034,1.8555885829777148
2017-09-18,0.5752656902600606,1.8833673978513352
