Date,Trailing Volatility,Trailing Beta
2015-01-02,,
2015-01-05,,
2015-01-06,,
2015-01-07,,
2015-01-08,,
2015-01-09,,
2015-01-12,,
2015-01-13,,
2015-01-14,,
2015-01-15,,
2015-01-16,,
2015-01-20,,
2015-01-21,,
2015-01-22,,
2015-01-23,,
2015-01-26,,
2015-01-27,,
2015-01-28,,
2015-01-29,,
2015-01-30,,
2015-02-02,,
2015-02-03,,
2015-02-04,,
2015-02-05,,
2015-02-06,,
2015-02-09,,
2015-02-10,,
2015-02-11,,
2015-02-12,,
2015-02-13,,
2015-02-17,0.26655796796603287,0.5911992199415896
2015-02-18,0.2716973049168283,0.6490765658852156
2015-02-19,0.26425071941229333,0.5823103945804736
2015-02-20,0.2614833827855413,0.5501237607002248
2015-02-23,0.23772935226498507,0.3198928871673066
2015-02-24,0.23720997719294995,0.3570108401865048
2015-02-25,0.2304848360907729,0.2759423551850976
2015-02-26,0.22991224058553153,0.2646331638301277
2015-02-27,0.23379832876023424,0.18325483616264202
2015-03-02,0.23412419176933455,0.25717441343995817
2015-03-03,0.23648472018543643,0.24577142990767228
2015-03-04,0.23382879572141346,0.2403920724288843
2015-03-05,0.24116549057141312,0.2582195102958719
2015-03-06,0.24935834734317755,0.433832650087903
2015-03-09,0.23571498170300176,0.5274348702411946
2015-03-10,0.1987835790072836,0.29696601933035227
2015-03-11,0.20178011666496556,0.302614108190959
2015-03-12,0.20715595275061235,0.11876940988681019
2015-03-13,0.20664549298698448,0.19327971853320697
2015-03-16,0.23442430974838885,-0.1665444263578553
2015-03-17,0.2361497787287892,-0.22674389320994445
2015-03-18,0.23574896504655768,-0.26390770015729736
2015-03-19,0.24513510670798994,-0.20475187359107772
2015-03-20,0.24384053197697442,-0.10267357763464044
2015-03-23,0.2405501281746819,-0.14674674586729508
2015-03-24,0.23933280326488746,-0.1158236746075787
2015-03-25,0.24083329456115976,-0.033078047074232855
2015-03-26,0.2408269756326214,-0.031597688302451916
2015-03-27,0.23972797636496207,-0.08641640676898846
2015-03-30,0.21630608649227928,-0.09717283162638769
2015-03-31,0.21354964286599437,-0.19403895395900883
2015-04-01,0.21713267465283984,-0.1580136403557724
2015-04-02,0.21621918742319277,-0.16650492744624873
2015-04-06,0.21438996083031844,-0.23117336784403997
2015-04-07,0.2144843205043248,-0.23377385599340272
2015-04-08,0.2144036525799883,-0.25681089038261473
2015-04-09,0.2125857584509699,-0.24798324741768377
2015-04-10,0.2294211101498646,-0.1409743075274447
2015-04-13,0.2168900007609576,-0.09560872589014735
2015-04-14,0.22243567537192346,-0.1958078379208057
2015-04-15,0.22595687531233435,-0.17001173680366533
2015-04-16,0.22591650002106778,-0.15525956985763664
2015-04-17,0.22376227128222348,-0.0894380751552561
2015-04-20,0.2201395239451063,-0.24016138755743505
2015-04-21,0.22358796798650796,-0.25463370788718903
2015-04-22,0.21763437212853937,-0.09800220670786199
2015-04-23,0.2594895853609549,-0.07023734581130339
2015-04-24,0.25638341397863285,0.05703375160877637
2015-04-27,0.2618974683018156,0.10178813757608485
2015-04-28,0.23766609474928133,0.5265182478602088
2015-04-29,0.24912662169897287,0.4435837563106787
2015-04-30,0.24950470000103764,0.4796203172858719
2015-05-01,0.23796493259519494,0.2966056943457988
2015-05-04,0.24892663616107027,0.32614290459338835
2015-05-05,0.24917984003710025,0.25336290941877976
2015-05-06,0.24917984003710025,0.2554726258632834
2015-05-07,0.2479682138033018,0.18214754387509055
2015-05-08,0.24797725300865114,0.18758852105022922
2015-05-11,0.2488813741633456,0.1518476659040528
2015-05-12,0.2489716799465738,0.11297606421213315
2015-05-13,0.2531796392753986,0.2239749226606169
2015-05-14,0.2522368743862216,0.29759360309878213
2015-05-15,0.2509439407420605,0.3207729307899336
2015-05-18,0.2524530234602015,0.35946460380003487
2015-05-19,0.2523688654071745,0.3558065875065231
2015-05-20,0.25017747539265406,0.3864603591650739
2015-05-21,0.25317371865431176,0.43788760674684696
