Date,Trailing Volatility,Trailing Beta
2015-01-02,,
2015-01-05,,
2015-01-06,,
2015-01-07,,
2015-01-08,,
2015-01-09,,
2015-01-12,,
2015-01-13,,
2015-01-14,,
2015-01-15,,
2015-01-16,,
2015-01-20,,
2015-01-21,,
2015-01-22,,
2015-01-23,,
2015-01-26,,
2015-01-27,,
2015-01-28,,
2015-01-29,,
2015-01-30,,
2015-02-02,,
2015-02-03,,
2015-02-04,,
2015-02-05,,
2015-02-06,,
2015-02-09,,
2015-02-10,,
2015-02-11,,
2015-02-12,,
2015-02-13,,
2015-02-17,0.11307066625469124,0.13823028046569494
2015-02-18,0.11311893816126269,0.16655503245074846
2015-02-19,0.1141094931423962,0.1765952896026072
2015-02-20,0.1141094931423962,0.17996421625393383
2015-02-23,0.1016689667025912,0.059453246521933775
2015-02-24,0.10185489608696466,0.062336786647366686
2015-02-25,0.1035124789946098,-0.02999514772136347
2015-02-26,0.1035124789946098,-0.029267503477393726
2015-02-27,0.10200872215094334,-0.00769304967962593
2015-03-02,0.10179116810577513,0.011374799313685097
2015-03-03,0.11401173366272878,-0.057923208361747525
2015-03-04,0.1161633218734729,-0.09610245307997378
2015-03-05,0.11788184586115519,-0.098823082275546
2015-03-06,0.16335320195428132,-0.43356854018156193
2015-03-09,0.16335320195428132,-0.4442289885812888
2015-03-10,0.17407710750616565,-0.5677667743372662
2015-03-11,0.17399795346697033,-0.6408636708946943
2015-03-12,0.1787664591291918,-0.6022114357205092
2015-03-13,0.1787664591291918,-0.5839739698919734
2015-03-16,0.1787664591291918,-0.6402273778009097
2015-03-17,0.18782102618681357,-0.6121481350646029
2015-03-18,0.18782102618681357,-0.6330921103748085
2015-03-19,0.18782102618681357,-0.6287384887979848
2015-03-20,0.2121828101532569,-0.7334399461012181
2015-03-23,0.1975623373868596,-0.797664953398639
2015-03-24,0.1975174494758264,-0.7904264954553369
2015-03-25,0.19741728640403125,-0.6927226665447633
2015-03-26,0.19741728640403125,-0.6870062127952518
2015-03-27,0.1917367805109346,-0.6246160464142216
2015-03-30,0.1952897960432674,-0.4330901814999777
2015-03-31,0.1952897960432674,-0.39592753636109806
2015-04-01,0.1952897960432674,-0.38701944382486003
2015-04-02,0.19550558071848173,-0.39082491870607516
2015-04-06,0.19550558071848173,-0.38984324403486403
2015-04-07,0.19550558071848173,-0.38431745604807577
2015-04-08,0.1945108887406168,-0.3759553412990142
2015-04-09,0.1914324012989894,-0.37675101063434796
2015-04-10,0.1914324012989894,-0.3801921210026458
2015-04-13,0.1914324012989894,-0.3766611874177857
2015-04-14,0.1914324012989894,-0.37811302986279494
2015-04-15,0.19130938135590086,-0.30942004342157714
2015-04-16,0.19018981994276032,-0.29397801095321296
2015-04-17,0.1899402203738356,-0.2624282240036793
2015-04-20,0.1554339828697381,0.012593306387024739
2015-04-21,0.1554339828697381,0.015492313171193152
2015-04-22,0.13851770606987462,0.29199591368213046
2015-04-23,0.14127060913040324,0.28419753197022574
2015-04-24,0.13038103495912315,0.14880404271322226
2015-04-27,0.13060354704229182,0.14538753762288303
2015-04-28,0.1305915822226986,0.15544890722748492
2015-04-29,0.12102774552012098,0.1081229994659963
2015-04-30,0.12102774552012098,0.10665443456103589
2015-05-01,0.12102774552012098,0.10148157240993037
2015-05-04,0.07544144954762753,0.21371189399520413
2015-05-05,0.07544144954762753,0.19872975128513284
2015-05-06,0.07544144954762753,0.1999932033389502
2015-05-07,0.0921358133897489,0.1690990391398565
2015-05-08,0.12104017146249516,0.4135941962856626
2015-05-11,0.12104017146249516,0.4098602203296235
2015-05-12,0.11043641168418708,0.2857321586796434
2015-05-13,0.11833129021408718,0.3092650589144449
2015-05-14,0.11833129021408718,0.28870211179100636
2015-05-15,0.11833129021408718,0.2905238063233017
2015-05-18,0.11833129021408718,0.29836279938046895
2015-05-19,0.11833129021408718,0.30126121896009456
2015-05-20,0.11833129021408718,0.3025398290422354
2015-05-21,0.11833129021408718,0.30507391773596165
