Date,Trailing Volatility,Trailing Beta
2015-01-02,,
2015-01-05,,
2015-01-06,,
2015-01-07,,
2015-01-08,,
2015-01-09,,
2015-01-12,,
2015-01-13,,
2015-01-14,,
2015-01-15,,
2015-01-16,,
2015-01-20,,
2015-01-21,,
2015-01-22,,
2015-01-23,,
2015-01-26,,
2015-01-27,,
2015-01-28,,
2015-01-29,,
2015-01-30,,
2015-02-02,,
2015-02-03,,
2015-02-04,,
2015-02-05,,
2015-02-06,,
2015-02-09,,
2015-02-10,,
2015-02-11,,
2015-02-12,,
2015-02-13,,
2015-02-17,0.590005189470248,1.495760237831774
2015-02-18,0.587017697875801,1.5568791561581838
2015-02-19,0.5902027516610261,1.5963910434429776
2015-02-20,0.5905126853841894,1.695400198050263
2015-02-23,0.5821599586698014,1.57607660303087
2015-02-24,0.58241807426101,1.5991839850669298
2015-02-25,0.575309204310066,1.515273175892191
2015-02-26,0.5775895313957641,1.537693346088118
2015-02-27,0.580423916640548,1.6222810896153745
2015-03-02,0.5699998069257539,1.4839298603114002
2015-03-03,0.5716287310342505,1.5741380362154826
2015-03-04,0.5734909664763939,1.5970272022049143
2015-03-05,0.5748846161826229,1.6124155134179265
2015-03-06,0.5745787876925855,1.5892499932406625
2015-03-09,0.5721022939528112,1.6764846686469173
2015-03-10,0.5736900912643731,1.574265727715158
2015-03-11,0.5734172124359108,1.6724385508098252
2015-03-12,0.5772770804821116,1.7986239797605053
2015-03-13,0.5771098387651644,1.8046225463202559
2015-03-16,0.5779911463984498,1.8698078847421213
2015-03-17,0.5787374211275231,2.0222336877529594
2015-03-18,0.5787288242960307,2.07752399770332
2015-03-19,0.578791422919983,2.0453502476302146
2015-03-20,0.579468620335358,2.1870438824853724
2015-03-23,0.45901924284425843,1.9191553545765438
2015-03-24,0.45932575754635274,1.9192854971988886
2015-03-25,0.4637299483091948,2.041525857204875
2015-03-26,0.46676378550630643,2.0656780509448023
2015-03-27,0.21159534574625521,1.2429150760155687
2015-03-30,0.21174826690746604,1.1726850200045773
2015-03-31,0.2094461879746539,1.151983362762595
2015-04-01,0.20926948810710083,1.1477939186130237
2015-04-02,0.22888408841815547,1.2323722640745802
2015-04-06,0.22775140564586363,1.208139284455781
2015-04-07,0.21596455420051622,1.2027857289010437
2015-04-08,0.21482605959405285,1.2158342447355492
2015-04-09,0.2165736545458983,1.171744188653995
2015-04-10,0.21449483561457772,1.1827353434292283
2015-04-13,0.20846006632722178,1.1603495576066558
2015-04-14,0.21007824760052726,1.1657687369937164
2015-04-15,0.2057017007471069,1.1178225032659812
2015-04-16,0.2031846319052366,1.093757149876337
2015-04-17,0.20238161038246527,1.0898714813238717
2015-04-20,0.20058523361317326,1.1036464178107053
2015-04-21,0.20152488259845566,1.1044525346280407
2015-04-22,0.19719460725078614,1.1393884025245717
2015-04-23,0.1975950406710854,1.118191709518657
2015-04-24,0.18445470521633578,1.0135168805616126
2015-04-27,0.18451271501651897,1.0285115912633243
2015-04-28,0.1825392217334102,0.967444031930921
2015-04-29,0.18791119606420129,1.0035569328339276
2015-04-30,0.19168578015655194,1.0490317164493184
2015-05-01,0.29852090069195303,1.6887319766882851
2015-05-04,0.29827427151012903,1.643321110866544
2015-05-05,0.30501107455967796,1.671503992618932
2015-05-06,0.3050603293616802,1.6810373216397643
2015-05-07,0.3045412579506641,1.812816171872774
2015-05-08,0.3040611599256754,1.709372440792407
2015-05-11,0.3041166262376678,1.6319431805074966
2015-05-12,0.30523845675752953,1.8143965400481472
2015-05-13,0.3082160966128283,1.9298065403317237
2015-05-14,0.3125846524318352,1.945970594248606
2015-05-15,0.29356684470452366,1.8708122752677128
2015-05-18,0.29333055739809444,1.894697601297577
2015-05-19,0.2932109150710101,1.9034230038324829
2015-05-20,0.2965305012350127,1.8893035193322907
2015-05-21,0.2947634703239717,1.9441389666015283
2015-05-22,0.3477503617629291,1.7441303796985106
2015-05-26,0.3546538322163194,1.798539268918744
2015-05-27,0.3532069940442523,1.6843154669583085
