Date,Trailing Volatility,Trailing Beta
2015-01-02,,
2015-01-05,,
2015-01-06,,
2015-01-07,,
2015-01-08,,
2015-01-09,,
2015-01-12,,
2015-01-13,,
2015-01-14,,
2015-01-15,,
2015-01-16,,
2015-01-20,,
2015-01-21,,
2015-01-22,,
2015-01-23,,
2015-01-26,,
2015-01-27,,
2015-01-28,,
2015-01-29,,
2015-01-30,,
2015-02-02,,
2015-02-03,,
2015-02-04,,
2015-02-05,,
2015-02-06,,
2015-02-09,,
2015-02-10,,
2015-02-11,,
2015-02-12,,
2015-02-13,,
2015-02-17,0.2589639514198412,0.6013729785574111
2015-02-18,0.2513622719287552,0.5219189581909809
2015-02-19,0.24017426625594895,0.42782545156658797
2015-02-20,0.24158492629495792,0.44772718664510563
2015-02-23,0.2457632388293011,0.5103393154273275
2015-02-24,0.24213598130487615,0.4651357616227923
2015-02-25,0.24256649759521645,0.4207607043546753
2015-02-26,0.24786830239411145,0.4064934065534146
2015-02-27,0.24734748476244367,0.43328154549536946
2015-03-02,0.25356742985265257,0.49315541459084367
2015-03-03,0.25240891436849516,0.4653161038502517
2015-03-04,0.25205151868290493,0.4749817205488258
2015-03-05,0.24637627400050494,0.4381689911403957
2015-03-06,0.23625665263029466,0.3340912425912378
2015-03-09,0.23494912298777137,0.3683784880805259
2015-03-10,0.24516044217895328,0.5501877370305402
2015-03-11,0.22683778809649008,0.3677594684567717
2015-03-12,0.22023960516869168,0.26186676450305757
2015-03-13,0.22611089612977178,0.34416006456532106
2015-03-16,0.18637488525273352,0.8048873974825229
2015-03-17,0.1841066975892249,0.9722043453718853
2015-03-18,0.18869743762612584,1.1173735895041887
2015-03-19,0.18445011092429744,1.0840065647996298
2015-03-20,0.18337509593622012,1.099257238145059
2015-03-23,0.18340290702071627,1.1231578696691893
2015-03-24,0.18952815767835135,1.0030276208269382
2015-03-25,0.19524318455924516,1.0386149458859666
2015-03-26,0.19637374792576165,1.0483473182982124
2015-03-27,0.19691536358693892,1.007876836502745
2015-03-30,0.1952052470670385,0.9410294940504977
2015-03-31,0.1935165821446715,0.9556440636366387
2015-04-01,0.19503115099133933,0.9715467740343576
2015-04-02,0.19792685772180918,0.9296614354501722
2015-04-06,0.19698874944995115,0.9617853934780832
2015-04-07,0.19309349927947916,0.9622449356950241
2015-04-08,0.19333512660437516,0.9639499076503807
2015-04-09,0.18870442649726044,0.9487938028611574
2015-04-10,0.1773945671259472,0.939432861604207
2015-04-13,0.17644271489014257,0.9476429629497891
2015-04-14,0.16601004420528012,0.8554037895167375
2015-04-15,0.16601314265912165,0.8837281108918243
2015-04-16,0.16651043567469115,0.8966264077034348
2015-04-17,0.17178443937546395,0.926363631354369
2015-04-20,0.183125355189939,1.0265440766083904
2015-04-21,0.18275274201322286,1.0255852134106687
2015-04-22,0.17326573884565535,0.9819809982703217
2015-04-23,0.17761634330861614,0.9886045936223544
2015-04-24,0.20095996576157407,1.0582216855303432
2015-04-27,0.20076674647062054,1.0527363759539008
2015-04-28,0.19747548465153536,1.046256870609909
2015-04-29,0.19803606350062253,1.0513433754922143
2015-04-30,0.20169954149285027,1.1045033772087194
2015-05-01,0.2017457132980468,1.027976989791389
2015-05-04,0.20202367006473607,1.0326091409379137
2015-05-05,0.20822684287617918,1.0798296626502346
2015-05-06,0.19975752878780878,1.2175936856063667
2015-05-07,0.19730807567800382,1.2539956738867992
2015-05-08,0.20185338948802553,1.249118681105222
2015-05-11,0.19929293146096727,1.2492662483017847
2015-05-12,0.20089261683674398,1.3410108520317572
2015-05-13,0.20016730360642085,1.3932087274585663
2015-05-14,0.20455197426400784,1.4119168356631493
2015-05-15,0.20249455976572162,1.4492590710366016
2015-05-18,0.2025564418642073,1.4694361815513335
2015-05-19,0.20446464938937475,1.475108249674358
2015-05-20,0.20319998968237626,1.4558809483704427
2015-05-21,0.20387159491681314,1.4850418672347707
2015-05-22,0.20427414615794767,1.5258369241888472
2015-05-26,0.20858149027298248,1.5261000336318737
