Date,Trailing Volatility,Trailing Beta
2015-01-02,,
2015-01-05,,
2015-01-06,,
2015-01-07,,
2015-01-08,,
2015-01-09,,
2015-01-12,,
2015-01-13,,
2015-01-14,,
2015-01-15,,
2015-01-16,,
2015-01-20,,
2015-01-21,,
2015-01-22,,
2015-01-23,,
2015-01-26,,
2015-01-27,,
2015-01-28,,
2015-01-29,,
2015-01-30,,
2015-02-02,,
2015-02-03,,
2015-02-04,,
2015-02-05,,
2015-02-06,,
2015-02-09,,
2015-02-10,,
2015-02-11,,
2015-02-12,,
2015-02-13,,
2015-02-17,0.18125529502879656,0.7308588573838604
2015-02-18,0.1803842910738573,0.8922916452532269
2015-02-19,0.17275501115678127,0.855251939646928
2015-02-20,0.1907205243768381,0.8797549186753403
2015-02-23,0.18032329896588684,0.7892347930881625
2015-02-24,0.18162541138790655,0.8224290565804296
2015-02-25,0.18137764436405523,0.8418112287322921
2015-02-26,0.18663299151419338,0.8206818938021238
2015-02-27,0.18804116479458954,0.8245384981264129
2015-03-02,0.1880228221722575,0.8678734546430802
2015-03-03,0.18189723955579634,0.7979950876566902
2015-03-04,0.18195673071992602,0.7884561458691488
2015-03-05,0.17933118520629507,0.8244822194003559
2015-03-06,0.17085054113444548,0.7442985082433613
2015-03-09,0.16633056553218709,0.6908747000349128
2015-03-10,0.1662234754996148,0.5965627005276051
2015-03-11,0.16419461713430347,0.5892718123864569
2015-03-12,0.17582821390211698,0.6945295106871918
2015-03-13,0.17671829714453283,0.7154689620614567
2015-03-16,0.17596521263069786,0.710837811313434
2015-03-17,0.17660949377730992,0.7519381097642668
2015-03-18,0.1767290358294672,0.7688849111998506
2015-03-19,0.17789438179240438,0.7864324508757723
2015-03-20,0.17457710401734353,0.9068635323304886
2015-03-23,0.17311684683748588,0.869501496277951
2015-03-24,0.16610818684547246,0.8192297948015949
2015-03-25,0.16685987313344136,0.8044622603060878
2015-03-26,0.1683019490991421,0.8141114984387235
2015-03-27,0.16987275797419327,0.8923337190353733
2015-03-30,0.16981762037250242,0.8075729432270597
2015-03-31,0.1734810845689702,0.835521941676768
2015-04-01,0.17335856702427205,0.8407902846672999
2015-04-02,0.1748075888348581,0.8127262493816397
2015-04-06,0.14778003075941681,0.6991965510773273
2015-04-07,0.14545296487152862,0.7075338416976665
2015-04-08,0.14599180908402903,0.7363029590380804
2015-04-09,0.14620761279131078,0.7340165704368316
2015-04-10,0.13789742130477387,0.7264912465677528
2015-04-13,0.1348197773487729,0.7191062348392536
2015-04-14,0.13587525184645996,0.7189533543518317
2015-04-15,0.13704458118499965,0.7433145071858106
2015-04-16,0.13704623114816739,0.7505281866682811
2015-04-17,0.13868233992656354,0.7578409506899679
2015-04-20,0.13438972457002993,0.7347478969219242
2015-04-21,0.13375459967406275,0.7494069583517873
2015-04-22,0.13382160505224655,0.8876789158380143
2015-04-23,0.13369121136118284,0.8879752447934917
2015-04-24,0.11384758147164198,0.7687794155692954
2015-04-27,0.11745697709039994,0.7978232250605424
2015-04-28,0.11914623772120582,0.6929897676929522
2015-04-29,0.13530127205317383,0.7678619978197776
2015-04-30,0.13084244151391883,0.7145202787787434
2015-05-01,0.13105899785136343,0.6792300583664799
2015-05-04,0.13009190980400667,0.6569706238188114
2015-05-05,0.13011495814772492,0.7295139030974982
2015-05-06,0.130093652206752,0.7405580815396178
2015-05-07,0.13383283730913373,0.8308023113116838
2015-05-08,0.13263149855566547,0.7404594878703892
2015-05-11,0.12803555352764828,0.7339105965417835
2015-05-12,0.1292412528320281,0.7957964917216782
2015-05-13,0.12863259051458098,0.8009030149742973
2015-05-14,0.1334608008610603,0.8542020677004816
2015-05-15,0.13318657850145454,0.8663398444111555
2015-05-18,0.138251795869462,0.8809882540992882
2015-05-19,0.13614428283722957,0.8647219015081552
2015-05-20,0.137445961105135,0.8276101273635189
2015-05-21,0.1387469408321784,0.8329332397007321
2015-05-22,0.14189025675179162,0.8093711548717385
2015-05-26,0.14515112258948154,0.8291709645098718
