Date,Trailing Volatility,Trailing Beta
2015-01-02,,
2015-01-05,,
2015-01-06,,
2015-01-07,,
2015-01-08,,
2015-01-09,,
2015-01-12,,
2015-01-13,,
2015-01-14,,
2015-01-15,,
2015-01-16,,
2015-01-20,,
2015-01-21,,
2015-01-22,,
2015-01-23,,
2015-01-26,,
2015-01-27,,
2015-01-28,,
2015-01-29,,
2015-01-30,,
2015-02-02,,
2015-02-03,,
2015-02-04,,
2015-02-05,,
2015-02-06,,
2015-02-09,,
2015-02-10,,
2015-02-11,,
2015-02-12,,
2015-02-13,,
2015-02-17,0.2114196991539215,0.5650196298556376
2015-02-18,0.22710455446280073,0.5567587967925782
2015-02-19,0.22879045422764877,0.6097823907248515
2015-02-20,0.22718708863504264,0.5953158734646256
2015-02-23,0.22670799327987315,0.6199579552241661
2015-02-24,0.22531208581463646,0.6062296783503494
2015-02-25,0.23380049998939953,0.6464832423275295
2015-02-26,0.2334547624106026,0.6644289804957093
2015-02-27,0.23249339383447024,0.7040657908080271
2015-03-02,0.2378235191480643,0.6863043491209107
2015-03-03,0.2354174797725526,0.6161451642781588
2015-03-04,0.23423788429904224,0.6122019722456002
2015-03-05,0.2336548915424398,0.5911043081439717
2015-03-06,0.2506133128466103,0.8573321733489409
2015-03-09,0.25103978794354764,0.8902326641929486
2015-03-10,0.251067808347022,0.8120244667998966
2015-03-11,0.24610448749526864,1.0171752793415123
2015-03-12,0.25978814188807664,1.181627781467564
2015-03-13,0.2540003537995878,1.0857835022819051
2015-03-16,0.25932266427041245,1.1449556479452399
2015-03-17,0.2582104370714408,1.1413141887012184
2015-03-18,0.27957510096607313,1.430333928421304
2015-03-19,0.28131071155349713,1.448157769733851
2015-03-20,0.28165338222234393,1.514780097891615
2015-03-23,0.26190766903891677,1.4373498847494948
2015-03-24,0.2606578654190003,1.4180751191948973
2015-03-25,0.24578799833924067,1.2225717502077913
2015-03-26,0.23535327840759235,1.2397570390139512
2015-03-27,0.23650495500373878,1.3117901652236554
2015-03-30,0.23406440349272753,1.3355322221449242
2015-03-31,0.23486610447239017,1.3203932142467656
2015-04-01,0.21881598522949836,1.289331985714703
2015-04-02,0.21695435323589735,1.2757309573374196
2015-04-06,0.21804496108805504,1.294167454484543
2015-04-07,0.22043953331973656,1.3043311029438962
2015-04-08,0.2204746066135795,1.2941955788654527
2015-04-09,0.2111828182402589,1.2715545844702836
2015-04-10,0.2123492721901011,1.2734080203167082
2015-04-13,0.2149508081124289,1.2939617416298588
2015-04-14,0.20799378661204915,1.4025140028859866
2015-04-15,0.20794517928126194,1.3964417549080483
2015-04-16,0.20762898127249332,1.3962706502951687
2015-04-17,0.20758680962508566,1.3357989521496998
2015-04-20,0.18388279538126567,1.2048388071456098
2015-04-21,0.18740519758892552,1.2229533144811922
2015-04-22,0.1846603260924315,1.3067630533037775
2015-04-23,0.18591312765861318,1.3179082168923513
2015-04-24,0.17259587680704616,1.2452003643600038
2015-04-27,0.17681109370024523,1.3153129108300763
2015-04-28,0.1637639159714026,1.2453683202700772
2015-04-29,0.168379745985411,1.2982442147717388
2015-04-30,0.1390827592539263,1.1044904272503844
2015-05-01,0.13846141053293473,1.068887015979716
2015-05-04,0.1403088833438122,1.0791173873325257
2015-05-05,0.15713853178502488,1.1820348376074366
2015-05-06,0.15583272314797933,1.1646695230958213
2015-05-07,0.15287936531826138,1.240369585422144
2015-05-08,0.153105143739525,1.1486130587831327
2015-05-11,0.154403356247068,1.1611784096384754
2015-05-12,0.14964351291014683,1.1538268852452322
2015-05-13,0.14938348292064382,1.1991301235959835
2015-05-14,0.15040362463344484,1.236758180989157
2015-05-15,0.15412792267853484,1.2427230679013697
2015-05-18,0.15228130287808372,1.2358393430049592
2015-05-19,0.1489678105861374,1.2092534287509418
2015-05-20,0.14887166025222429,1.2171195992995887
2015-05-21,0.14913452117761467,1.2203016796518473
2015-05-22,0.14668003406661373,1.1909312691713976
2015-05-26,0.1471625239390877,1.150398042163096
