,Leverage,Profitability,Investment,Dividend Yield
1/1/2015,3.2,0.047216841,0.716661124,0.80%
1/2/2015,3.2,0.047216841,0.716661124,0.80%
1/3/2015,3.2,0.047216841,0.716661124,0.80%
1/4/2015,3.2,0.047216841,0.716661124,0.80%
1/5/2015,3.2,0.047216841,0.716661124,0.80%
1/6/2015,3.2,0.047216841,0.716661124,0.80%
1/7/2015,3.2,0.047216841,0.716661124,0.80%
1/8/2015,3.2,0.047216841,0.716661124,0.80%
1/9/2015,3.2,0.047216841,0.716661124,0.80%
1/10/2015,3.2,0.047216841,0.716661124,0.80%
1/11/2015,3.2,0.047216841,0.716661124,0.80%
1/12/2015,3.2,0.047216841,0.716661124,0.80%
1/13/2015,3.2,0.047216841,0.716661124,0.80%
1/14/2015,3.2,0.047216841,0.716661124,0.80%
1/15/2015,3.2,0.047216841,0.716661124,0.80%
1/16/2015,3.2,0.047216841,0.716661124,0.80%
1/17/2015,3.2,0.047216841,0.716661124,0.80%
1/18/2015,3.2,0.047216841,0.716661124,0.80%
1/19/2015,3.2,0.047216841,0.716661124,0.80%
1/20/2015,3.2,0.047216841,0.716661124,0.80%
1/21/2015,3.2,0.047216841,0.716661124,0.80%
1/22/2015,3.2,0.047216841,0.716661124,0.80%
1/23/2015,3.2,0.047216841,0.716661124,0.80%
1/24/2015,3.2,0.047216841,0.716661124,0.80%
1/25/2015,3.2,0.047216841,0.716661124,0.80%
1/26/2015,3.2,0.047216841,0.716661124,0.80%
1/27/2015,3.2,0.047216841,0.716661124,0.80%
1/28/2015,3.2,0.047216841,0.716661124,0.80%
1/29/2015,3.2,0.047216841,0.716661124,0.80%
1/30/2015,3.2,0.047216841,0.716661124,0.80%
1/31/2015,3.2,0.047216841,0.716661124,0.80%
2/1/2015,3.2,0.047216841,0.716661124,0.80%
2/2/2015,3.2,0.047216841,0.716661124,0.80%
2/3/2015,3.2,0.047216841,0.716661124,0.80%
2/4/2015,3.2,0.047216841,0.716661124,0.80%
2/5/2015,3.2,0.047216841,0.716661124,0.80%
2/6/2015,3.2,0.047216841,0.716661124,0.80%
2/7/2015,3.2,0.047216841,0.716661124,0.80%
2/8/2015,3.2,0.047216841,0.716661124,0.80%
2/9/2015,3.2,0.047216841,0.716661124,0.80%
2/10/2015,3.2,0.047216841,0.716661124,0.80%
2/11/2015,3.2,0.047216841,0.716661124,0.80%
2/12/2015,3.2,0.047216841,0.716661124,0.80%
2/13/2015,3.2,0.047216841,0.716661124,0.80%
2/14/2015,3.2,0.047216841,0.716661124,0.80%
2/15/2015,3.2,0.047216841,0.716661124,0.80%
2/16/2015,3.2,0.047216841,0.716661124,0.80%
2/17/2015,3.2,0.047216841,0.716661124,0.80%
2/18/2015,3.2,0.047216841,0.716661124,0.80%
2/19/2015,3.2,0.047216841,0.716661124,0.80%
2/20/2015,3.2,0.047216841,0.716661124,0.80%
2/21/2015,3.2,0.047216841,0.716661124,0.80%
2/22/2015,3.2,0.047216841,0.716661124,0.80%
2/23/2015,3.2,0.047216841,0.716661124,0.80%
2/24/2015,3.2,0.047216841,0.716661124,0.80%
2/25/2015,3.2,0.047216841,0.716661124,0.80%
2/26/2015,3.2,0.047216841,0.716661124,0.80%
2/27/2015,3.2,0.047216841,0.716661124,0.80%
2/28/2015,3.2,0.047216841,0.716661124,0.80%
3/1/2015,3.2,0.047216841,0.716661124,0.80%
3/2/2015,3.2,0.047216841,0.716661124,0.80%
3/3/2015,3.2,0.047216841,0.716661124,0.80%
3/4/2015,3.2,0.047216841,0.716661124,0.80%
3/5/2015,3.2,0.047216841,0.716661124,0.80%
3/6/2015,3.2,0.047216841,0.716661124,0.80%
3/7/2015,3.2,0.047216841,0.716661124,0.80%
3/8/2015,3.2,0.047216841,0.716661124,0.80%
3/9/2015,3.2,0.047216841,0.716661124,0.80%
3/10/2015,3.2,0.047216841,0.716661124,0.80%
3/11/2015,3.2,0.047216841,0.716661124,0.80%
3/12/2015,3.2,0.047216841,0.716661124,0.80%
3/13/2015,3.2,0.047216841,0.716661124,0.80%
3/14/2015,3.2,0.047216841,0.716661124,0.80%
3/15/2015,3.2,0.047216841,0.716661124,0.80%
3/16/2015,3.2,0.047216841,0.716661124,0.80%
3/17/2015,3.2,0.047216841,0.716661124,0.80%
3/18/2015,3.2,0.047216841,0.716661124,0.80%
3/19/2015,3.2,0.047216841,0.716661124,0.80%
3/20/2015,3.2,0.047216841,0.716661124,0.80%
3/21/2015,3.2,0.047216841,0.716661124,0.80%
3/22/2015,3.2,0.047216841,0.716661124,0.80%
3/23/2015,3.2,0.047216841,0.716661124,0.80%
3/24/2015,3.2,0.047216841,0.716661124,0.80%
3/25/2015,3.2,0.047216841,0.716661124,0.80%
3/26/2015,3.2,0.047216841,0.716661124,0.80%
3/27/2015,3.2,0.047216841,0.716661124,0.80%
3/28/2015,3.2,0.047216841,0.716661124,0.80%
3/29/2015,3.2,0.047216841,0.716661124,0.80%
3/30/2015,3.2,0.047216841,0.716661124,0.80%
3/31/2015,3.2,0.047216841,0.716661124,0.80%
4/1/2015,3.2,0.047216841,0.716661124,0.80%
4/2/2015,3.2,0.047216841,0.716661124,0.80%
4/3/2015,3.2,0.047216841,0.716661124,0.80%
4/4/2015,3.2,0.047216841,0.716661124,0.80%
4/5/2015,3.2,0.047216841,0.716661124,0.80%
4/6/2015,3.2,0.047216841,0.716661124,0.80%
4/7/2015,3.2,0.047216841,0.716661124,0.80%
4/8/2015,3.2,0.047216841,0.716661124,0.80%
4/9/2015,3.2,0.047216841,0.716661124,0.80%
4/10/2015,3.2,0.047216841,0.716661124,0.80%
4/11/2015,3.2,0.047216841,0.716661124,0.80%
4/12/2015,3.2,0.047216841,0.716661124,0.80%
4/13/2015,3.2,0.047216841,0.716661124,0.80%
4/14/2015,3.2,0.047216841,0.716661124,0.80%
4/15/2015,3.2,0.047216841,0.716661124,0.80%
4/16/2015,3.2,0.047216841,0.716661124,0.80%
4/17/2015,3.2,0.047216841,0.716661124,0.80%
4/18/2015,3.2,0.047216841,0.716661124,0.80%
4/19/2015,3.2,0.047216841,0.716661124,0.80%
4/20/2015,3.2,0.047216841,0.716661124,0.80%
4/21/2015,3.2,0.047216841,0.716661124,0.80%
4/22/2015,3.2,0.047216841,0.716661124,0.80%
4/23/2015,3.2,0.047216841,0.716661124,0.80%
4/24/2015,3.2,0.047216841,0.716661124,0.80%
4/25/2015,3.2,0.047216841,0.716661124,0.80%
4/26/2015,3.2,0.047216841,0.716661124,0.80%
4/27/2015,3.2,0.047216841,0.716661124,0.80%
4/28/2015,3.2,0.047216841,0.716661124,0.80%
4/29/2015,3.2,0.047216841,0.716661124,0.80%
4/30/2015,3.2,0.047216841,0.716661124,0.80%
5/1/2015,3.2,0.047216841,0.716661124,0.80%
5/2/2015,3.2,0.047216841,0.716661124,0.80%
5/3/2015,3.2,0.047216841,0.716661124,0.80%
5/4/2015,3.2,0.047216841,0.716661124,0.80%
5/5/2015,3.2,0.047216841,0.716661124,0.80%
5/6/2015,3.2,0.047216841,0.716661124,0.80%
5/7/2015,3.2,0.047216841,0.716661124,0.80%
5/8/2015,3.2,0.047216841,0.716661124,0.80%
5/9/2015,3.2,0.047216841,0.716661124,0.80%
5/10/2015,3.2,0.047216841,0.716661124,0.80%
5/11/2015,3.2,0.047216841,0.716661124,0.80%
5/12/2015,3.2,0.047216841,0.716661124,0.80%
5/13/2015,3.2,0.047216841,0.716661124,0.80%
5/14/2015,3.2,0.047216841,0.716661124,0.80%
5/15/2015,3.2,0.047216841,0.716661124,0.80%
5/16/2015,3.2,0.047216841,0.716661124,0.80%
