,Leverage,Profitability,Investment,Dividend Yield
1/1/2015,3.7,0.095539471,0.105542524,3.40%
1/2/2015,3.7,0.095539471,0.105542524,3.40%
1/3/2015,3.7,0.095539471,0.105542524,3.40%
1/4/2015,3.7,0.095539471,0.105542524,3.40%
1/5/2015,3.7,0.095539471,0.105542524,3.40%
1/6/2015,3.7,0.095539471,0.105542524,3.40%
1/7/2015,3.7,0.095539471,0.105542524,3.40%
1/8/2015,3.7,0.095539471,0.105542524,3.40%
1/9/2015,3.7,0.095539471,0.105542524,3.40%
1/10/2015,3.7,0.095539471,0.105542524,3.40%
1/11/2015,3.7,0.095539471,0.105542524,3.40%
1/12/2015,3.7,0.095539471,0.105542524,3.40%
1/13/2015,3.7,0.095539471,0.105542524,3.40%
1/14/2015,3.7,0.095539471,0.105542524,3.40%
1/15/2015,3.7,0.095539471,0.105542524,3.40%
1/16/2015,3.7,0.095539471,0.105542524,3.40%
1/17/2015,3.7,0.095539471,0.105542524,3.40%
1/18/2015,3.7,0.095539471,0.105542524,3.40%
1/19/2015,3.7,0.095539471,0.105542524,3.40%
1/20/2015,3.7,0.095539471,0.105542524,3.40%
1/21/2015,3.7,0.095539471,0.105542524,3.40%
1/22/2015,3.7,0.095539471,0.105542524,3.40%
1/23/2015,3.7,0.095539471,0.105542524,3.40%
1/24/2015,3.7,0.095539471,0.105542524,3.40%
1/25/2015,3.7,0.095539471,0.105542524,3.40%
1/26/2015,3.7,0.095539471,0.105542524,3.40%
1/27/2015,3.7,0.095539471,0.105542524,3.40%
1/28/2015,3.7,0.095539471,0.105542524,3.40%
1/29/2015,3.7,0.095539471,0.105542524,3.40%
1/30/2015,3.7,0.095539471,0.105542524,3.40%
1/31/2015,3.7,0.095539471,0.105542524,3.40%
2/1/2015,3.7,0.095539471,0.105542524,3.40%
2/2/2015,3.7,0.095539471,0.105542524,3.40%
2/3/2015,3.7,0.095539471,0.105542524,3.40%
2/4/2015,3.7,0.095539471,0.105542524,3.40%
2/5/2015,3.7,0.095539471,0.105542524,3.40%
2/6/2015,3.7,0.095539471,0.105542524,3.40%
2/7/2015,3.7,0.095539471,0.105542524,3.40%
2/8/2015,3.7,0.095539471,0.105542524,3.40%
2/9/2015,3.7,0.095539471,0.105542524,3.40%
2/10/2015,3.7,0.095539471,0.105542524,3.40%
2/11/2015,3.7,0.095539471,0.105542524,3.40%
2/12/2015,3.7,0.095539471,0.105542524,3.40%
2/13/2015,3.7,0.095539471,0.105542524,3.40%
2/14/2015,3.7,0.095539471,0.105542524,3.40%
2/15/2015,3.7,0.095539471,0.105542524,3.40%
2/16/2015,3.7,0.095539471,0.105542524,3.40%
2/17/2015,3.7,0.095539471,0.105542524,3.40%
2/18/2015,3.7,0.095539471,0.105542524,3.40%
2/19/2015,3.7,0.095539471,0.105542524,3.40%
2/20/2015,3.7,0.095539471,0.105542524,3.40%
2/21/2015,3.7,0.095539471,0.105542524,3.40%
2/22/2015,3.7,0.095539471,0.105542524,3.40%
2/23/2015,3.7,0.095539471,0.105542524,3.40%
2/24/2015,3.7,0.095539471,0.105542524,3.40%
2/25/2015,3.7,0.095539471,0.105542524,3.40%
2/26/2015,3.7,0.095539471,0.105542524,3.40%
2/27/2015,3.7,0.095539471,0.105542524,3.40%
2/28/2015,3.7,0.095539471,0.105542524,3.40%
3/1/2015,3.7,0.095539471,0.105542524,3.40%
3/2/2015,3.7,0.095539471,0.105542524,3.40%
3/3/2015,3.7,0.095539471,0.105542524,3.40%
3/4/2015,3.7,0.095539471,0.105542524,3.40%
3/5/2015,3.7,0.095539471,0.105542524,3.40%
3/6/2015,3.7,0.095539471,0.105542524,3.40%
3/7/2015,3.7,0.095539471,0.105542524,3.40%
3/8/2015,3.7,0.095539471,0.105542524,3.40%
3/9/2015,3.7,0.095539471,0.105542524,3.40%
3/10/2015,3.7,0.095539471,0.105542524,3.40%
3/11/2015,3.7,0.095539471,0.105542524,3.40%
3/12/2015,3.7,0.095539471,0.105542524,3.40%
3/13/2015,3.7,0.095539471,0.105542524,3.40%
3/14/2015,3.7,0.095539471,0.105542524,3.40%
3/15/2015,3.7,0.095539471,0.105542524,3.40%
3/16/2015,3.7,0.095539471,0.105542524,3.40%
3/17/2015,3.7,0.095539471,0.105542524,3.40%
3/18/2015,3.7,0.095539471,0.105542524,3.40%
3/19/2015,3.7,0.095539471,0.105542524,3.40%
3/20/2015,3.7,0.095539471,0.105542524,3.40%
3/21/2015,3.7,0.095539471,0.105542524,3.40%
3/22/2015,3.7,0.095539471,0.105542524,3.40%
3/23/2015,3.7,0.095539471,0.105542524,3.40%
3/24/2015,3.7,0.095539471,0.105542524,3.40%
3/25/2015,3.7,0.095539471,0.105542524,3.40%
3/26/2015,3.7,0.095539471,0.105542524,3.40%
3/27/2015,3.7,0.095539471,0.105542524,3.40%
3/28/2015,3.7,0.095539471,0.105542524,3.40%
3/29/2015,3.7,0.095539471,0.105542524,3.40%
3/30/2015,3.7,0.095539471,0.105542524,3.40%
3/31/2015,3.7,0.095539471,0.105542524,3.40%
4/1/2015,3.7,0.095539471,0.105542524,3.40%
4/2/2015,3.7,0.095539471,0.105542524,3.40%
4/3/2015,3.7,0.095539471,0.105542524,3.40%
4/4/2015,3.7,0.095539471,0.105542524,3.40%
4/5/2015,3.7,0.095539471,0.105542524,3.40%
4/6/2015,3.7,0.095539471,0.105542524,3.40%
4/7/2015,3.7,0.095539471,0.105542524,3.40%
4/8/2015,3.7,0.095539471,0.105542524,3.40%
4/9/2015,3.7,0.095539471,0.105542524,3.40%
4/10/2015,3.7,0.095539471,0.105542524,3.40%
4/11/2015,3.7,0.095539471,0.105542524,3.40%
4/12/2015,3.7,0.095539471,0.105542524,3.40%
4/13/2015,3.7,0.095539471,0.105542524,3.40%
4/14/2015,3.7,0.095539471,0.105542524,3.40%
4/15/2015,3.7,0.095539471,0.105542524,3.40%
4/16/2015,3.7,0.095539471,0.105542524,3.40%
4/17/2015,3.7,0.095539471,0.105542524,3.40%
4/18/2015,3.7,0.095539471,0.105542524,3.40%
4/19/2015,3.7,0.095539471,0.105542524,3.40%
4/20/2015,3.7,0.095539471,0.105542524,3.40%
4/21/2015,3.7,0.095539471,0.105542524,3.40%
4/22/2015,3.7,0.095539471,0.105542524,3.40%
4/23/2015,3.7,0.095539471,0.105542524,3.40%
4/24/2015,3.7,0.095539471,0.105542524,3.40%
4/25/2015,3.7,0.095539471,0.105542524,3.40%
4/26/2015,3.7,0.095539471,0.105542524,3.40%
4/27/2015,3.7,0.095539471,0.105542524,3.40%
4/28/2015,3.7,0.095539471,0.105542524,3.40%
4/29/2015,3.7,0.095539471,0.105542524,3.40%
4/30/2015,3.7,0.095539471,0.105542524,3.40%
5/1/2015,3.7,0.095539471,0.105542524,3.40%
5/2/2015,3.7,0.095539471,0.105542524,3.40%
5/3/2015,3.7,0.095539471,0.105542524,3.40%
5/4/2015,3.7,0.095539471,0.105542524,3.40%
5/5/2015,3.7,0.095539471,0.105542524,3.40%
5/6/2015,3.7,0.095539471,0.105542524,3.40%
5/7/2015,3.7,0.095539471,0.105542524,3.40%
5/8/2015,3.7,0.095539471,0.105542524,3.40%
5/9/2015,3.7,0.095539471,0.105542524,3.40%
5/10/2015,3.7,0.095539471,0.105542524,3.40%
5/11/2015,3.7,0.095539471,0.105542524,3.40%
5/12/2015,3.7,0.095539471,0.105542524,3.40%
5/13/2015,3.7,0.095539471,0.105542524,3.40%
5/14/2015,3.7,0.095539471,0.105542524,3.40%
5/15/2015,3.7,0.095539471,0.105542524,3.40%
5/16/2015,3.7,0.095539471,0.105542524,3.40%
5/17/2015,3.7,0.095539471,0.105542524,3.40%
5/18/2015,3.7,0.095539471,0.105542524,3.40%
5/19/2015,3.7,0.095539471,0.105542524,3.40%
5/20/2015,3.7,0.095539471,0.105542524,3.40%
5/21/2015,3.7,0.095539471,0.105542524,3.40%
5/22/2015,3.7,0.095539471,0.105542524,3.40%
5/23/2015,3.7,0.095539471,0.105542524,3.40%
5/24/2015,3.7,0.095539471,0.105542524,3.40%
5/25/2015,3.7,0.095539471,0.105542524,3.40%
5/26/2015,3.7,0.095539471,0.105542524,3.40%
5/27/2015,3.7,0.095539471,0.105542524,3.40%
5/28/2015,3.7,0.095539471,0.105542524,3.40%
5/29/2015,3.7,0.095539471,0.105542524,3.40%
5/30/2015,3.7,0.095539471,0.105542524,3.40%
5/31/2015,3.7,0.095539471,0.105542524,3.40%
6/1/2015,3.7,0.095539471,0.105542524,3.40%
6/2/2015,3.7,0.095539471,0.105542524,3.40%
6/3/2015,3.7,0.095539471,0.105542524,3.40%
6/4/2015,3.7,0.095539471,0.105542524,3.40%
6/5/2015,3.7,0.095539471,0.105542524,3.40%
6/6/2015,3.7,0.095539471,0.105542524,3.40%
6/7/2015,3.7,0.095539471,0.105542524,3.40%
6/8/2015,3.7,0.095539471,0.105542524,3.40%
6/9/2015,3.7,0.095539471,0.105542524,3.40%
6/10/2015,3.7,0.095539471,0.105542524,3.40%
6/11/2015,3.7,0.095539471,0.105542524,3.40%
6/12/2015,3.7,0.095539471,0.105542524,3.40%
6/13/2015,3.7,0.095539471,0.105542524,3.40%
6/14/2015,3.7,0.095539471,0.105542524,3.40%
6/15/2015,3.7,0.095539471,0.105542524,3.40%
6/16/2015,3.7,0.095539471,0.105542524,3.40%
6/17/2015,3.7,0.095539471,0.105542524,3.40%
6/18/2015,3.7,0.095539471,0.105542524,3.40%
6/19/2015,3.7,0.095539471,0.105542524,3.40%
6/20/2015,3.7,0.095539471,0.105542524,3.40%
6/21/2015,3.7,0.095539471,0.105542524,3.40%
6/22/2015,3.7,0.095539471,0.105542524,3.40%
6/23/2015,3.7,0.095539471,0.105542524,3.40%
6/24/2015,3.7,0.095539471,0.105542524,3.40%
6/25/2015,3.7,0.095539471,0.105542524,3.40%
6/26/2015,3.7,0.095539471,0.105542524,3.40%
6/27/2015,3.7,0.095539471,0.105542524,3.40%
6/28/2015,3.7,0.095539471,0.105542524,3.40%
6/29/2015,3.7,0.095539471,0.105542524,3.40%
6/30/2015,3.7,0.095539471,0.105542524,3.40%
7/1/2015,3.7,0.095539471,0.105542524,3.40%
7/2/2015,3.7,0.095539471,0.105542524,3.40%
7/3/2015,3.7,0.095539471,0.105542524,3.40%
7/4/2015,3.7,0.095539471,0.105542524,3.40%
7/5/2015,3.7,0.095539471,0.105542524,3.40%
7/6/2015,3.7,0.095539471,0.105542524,3.40%
7/7/2015,3.7,0.095539471,0.105542524,3.40%
7/8/2015,3.7,0.095539471,0.105542524,3.40%
7/9/2015,3.7,0.095539471,0.105542524,3.40%
7/10/2015,3.7,0.095539471,0.105542524,3.40%
7/11/2015,3.7,0.095539471,0.105542524,3.40%
7/12/2015,3.7,0.095539471,0.105542524,3.40%
7/13/2015,3.7,0.095539471,0.105542524,3.40%
7/14/2015,3.7,0.095539471,0.105542524,3.40%
7/15/2015,3.7,0.095539471,0.105542524,3.40%
7/16/2015,3.7,0.095539471,0.105542524,3.40%
7/17/2015,3.7,0.095539471,0.105542524,3.40%
7/18/2015,3.7,0.095539471,0.105542524,3.40%
7/19/2015,3.7,0.095539471,0.105542524,3.40%
