Date,Leverage,Profitability,Investment,Dividend Yield
1/1/2015,2.3,130.0708104,-0.119196119,3.70%
1/2/2015,2.3,130.0708104,-0.119196119,3.70%
1/3/2015,2.3,130.0708104,-0.119196119,3.70%
1/4/2015,2.3,130.0708104,-0.119196119,3.70%
1/5/2015,2.3,130.0708104,-0.119196119,3.70%
1/6/2015,2.3,130.0708104,-0.119196119,3.70%
1/7/2015,2.3,130.0708104,-0.119196119,3.70%
1/8/2015,2.3,130.0708104,-0.119196119,3.70%
1/9/2015,2.3,130.0708104,-0.119196119,3.70%
1/10/2015,2.3,130.0708104,-0.119196119,3.70%
1/11/2015,2.3,130.0708104,-0.119196119,3.70%
1/12/2015,2.3,130.0708104,-0.119196119,3.70%
1/13/2015,2.3,130.0708104,-0.119196119,3.70%
1/14/2015,2.3,130.0708104,-0.119196119,3.70%
1/15/2015,2.3,130.0708104,-0.119196119,3.70%
1/16/2015,2.3,130.0708104,-0.119196119,3.70%
1/17/2015,2.3,130.0708104,-0.119196119,3.70%
1/18/2015,2.3,130.0708104,-0.119196119,3.70%
1/19/2015,2.3,130.0708104,-0.119196119,3.70%
1/20/2015,2.3,130.0708104,-0.119196119,3.70%
1/21/2015,2.3,130.0708104,-0.119196119,3.70%
1/22/2015,2.3,130.0708104,-0.119196119,3.70%
1/23/2015,2.3,130.0708104,-0.119196119,3.70%
1/24/2015,2.3,130.0708104,-0.119196119,3.70%
1/25/2015,2.3,130.0708104,-0.119196119,3.70%
1/26/2015,2.3,130.0708104,-0.119196119,3.70%
1/27/2015,2.3,130.0708104,-0.119196119,3.70%
1/28/2015,2.3,130.0708104,-0.119196119,3.70%
1/29/2015,2.3,130.0708104,-0.119196119,3.70%
1/30/2015,2.3,130.0708104,-0.119196119,3.70%
1/31/2015,2.3,130.0708104,-0.119196119,3.70%
2/1/2015,2.3,130.0708104,-0.119196119,3.70%
2/2/2015,2.3,130.0708104,-0.119196119,3.70%
2/3/2015,2.3,130.0708104,-0.119196119,3.70%
2/4/2015,2.3,130.0708104,-0.119196119,3.70%
2/5/2015,2.3,130.0708104,-0.119196119,3.70%
2/6/2015,2.3,130.0708104,-0.119196119,3.70%
2/7/2015,2.3,130.0708104,-0.119196119,3.70%
2/8/2015,2.3,130.0708104,-0.119196119,3.70%
2/9/2015,2.3,130.0708104,-0.119196119,3.70%
2/10/2015,2.3,130.0708104,-0.119196119,3.70%
2/11/2015,2.3,130.0708104,-0.119196119,3.70%
2/12/2015,2.3,130.0708104,-0.119196119,3.70%
2/13/2015,2.3,130.0708104,-0.119196119,3.70%
2/14/2015,2.3,130.0708104,-0.119196119,3.70%
2/15/2015,2.3,130.0708104,-0.119196119,3.70%
2/16/2015,2.3,130.0708104,-0.119196119,3.70%
2/17/2015,2.3,130.0708104,-0.119196119,3.70%
2/18/2015,2.3,130.0708104,-0.119196119,3.70%
2/19/2015,2.3,130.0708104,-0.119196119,3.70%
2/20/2015,2.3,130.0708104,-0.119196119,3.70%
2/21/2015,2.3,130.0708104,-0.119196119,3.70%
2/22/2015,2.3,130.0708104,-0.119196119,3.70%
2/23/2015,2.3,130.0708104,-0.119196119,3.70%
2/24/2015,2.3,130.0708104,-0.119196119,3.70%
2/25/2015,2.3,130.0708104,-0.119196119,3.70%
2/26/2015,2.3,130.0708104,-0.119196119,3.70%
2/27/2015,2.3,130.0708104,-0.119196119,3.70%
2/28/2015,2.3,130.0708104,-0.119196119,3.70%
3/1/2015,2.3,130.0708104,-0.119196119,3.70%
3/2/2015,2.3,130.0708104,-0.119196119,3.70%
3/3/2015,2.3,130.0708104,-0.119196119,3.70%
3/4/2015,2.3,130.0708104,-0.119196119,3.70%
3/5/2015,2.3,130.0708104,-0.119196119,3.70%
3/6/2015,2.3,130.0708104,-0.119196119,3.70%
3/7/2015,2.3,130.0708104,-0.119196119,3.70%
3/8/2015,2.3,130.0708104,-0.119196119,3.70%
3/9/2015,2.3,130.0708104,-0.119196119,3.70%
3/10/2015,2.3,130.0708104,-0.119196119,3.70%
3/11/2015,2.3,130.0708104,-0.119196119,3.70%
3/12/2015,2.3,130.0708104,-0.119196119,3.70%
3/13/2015,2.3,130.0708104,-0.119196119,3.70%
3/14/2015,2.3,130.0708104,-0.119196119,3.70%
3/15/2015,2.3,130.0708104,-0.119196119,3.70%
3/16/2015,2.3,130.0708104,-0.119196119,3.70%
3/17/2015,2.3,130.0708104,-0.119196119,3.70%
3/18/2015,2.3,130.0708104,-0.119196119,3.70%
3/19/2015,2.3,130.0708104,-0.119196119,3.70%
3/20/2015,2.3,130.0708104,-0.119196119,3.70%
3/21/2015,2.3,130.0708104,-0.119196119,3.70%
3/22/2015,2.3,130.0708104,-0.119196119,3.70%
3/23/2015,2.3,130.0708104,-0.119196119,3.70%
3/24/2015,2.3,130.0708104,-0.119196119,3.70%
3/25/2015,2.3,130.0708104,-0.119196119,3.70%
3/26/2015,2.3,130.0708104,-0.119196119,3.70%
3/27/2015,2.3,130.0708104,-0.119196119,3.70%
3/28/2015,2.3,130.0708104,-0.119196119,3.70%
3/29/2015,2.3,130.0708104,-0.119196119,3.70%
