,Leverage,Profitability,Investment,Dividend Yield
1/1/2015,2,0.096445962,-0.036337625,5.10%
1/2/2015,2,0.096445962,-0.036337625,5.10%
1/3/2015,2,0.096445962,-0.036337625,5.10%
1/4/2015,2,0.096445962,-0.036337625,5.10%
1/5/2015,2,0.096445962,-0.036337625,5.10%
1/6/2015,2,0.096445962,-0.036337625,5.10%
1/7/2015,2,0.096445962,-0.036337625,5.10%
1/8/2015,2,0.096445962,-0.036337625,5.10%
1/9/2015,2,0.096445962,-0.036337625,5.10%
1/10/2015,2,0.096445962,-0.036337625,5.10%
1/11/2015,2,0.096445962,-0.036337625,5.10%
1/12/2015,2,0.096445962,-0.036337625,5.10%
1/13/2015,2,0.096445962,-0.036337625,5.10%
1/14/2015,2,0.096445962,-0.036337625,5.10%
1/15/2015,2,0.096445962,-0.036337625,5.10%
1/16/2015,2,0.096445962,-0.036337625,5.10%
1/17/2015,2,0.096445962,-0.036337625,5.10%
1/18/2015,2,0.096445962,-0.036337625,5.10%
1/19/2015,2,0.096445962,-0.036337625,5.10%
1/20/2015,2,0.096445962,-0.036337625,5.10%
1/21/2015,2,0.096445962,-0.036337625,5.10%
1/22/2015,2,0.096445962,-0.036337625,5.10%
1/23/2015,2,0.096445962,-0.036337625,5.10%
1/24/2015,2,0.096445962,-0.036337625,5.10%
1/25/2015,2,0.096445962,-0.036337625,5.10%
1/26/2015,2,0.096445962,-0.036337625,5.10%
1/27/2015,2,0.096445962,-0.036337625,5.10%
1/28/2015,2,0.096445962,-0.036337625,5.10%
1/29/2015,2,0.096445962,-0.036337625,5.10%
1/30/2015,2,0.096445962,-0.036337625,5.10%
1/31/2015,2,0.096445962,-0.036337625,5.10%
2/1/2015,2,0.096445962,-0.036337625,5.10%
2/2/2015,2,0.096445962,-0.036337625,5.10%
2/3/2015,2,0.096445962,-0.036337625,5.10%
2/4/2015,2,0.096445962,-0.036337625,5.10%
2/5/2015,2,0.096445962,-0.036337625,5.10%
2/6/2015,2,0.096445962,-0.036337625,5.10%
2/7/2015,2,0.096445962,-0.036337625,5.10%
2/8/2015,2,0.096445962,-0.036337625,5.10%
2/9/2015,2,0.096445962,-0.036337625,5.10%
2/10/2015,2,0.096445962,-0.036337625,5.10%
2/11/2015,2,0.096445962,-0.036337625,5.10%
2/12/2015,2,0.096445962,-0.036337625,5.10%
2/13/2015,2,0.096445962,-0.036337625,5.10%
2/14/2015,2,0.096445962,-0.036337625,5.10%
2/15/2015,2,0.096445962,-0.036337625,5.10%
2/16/2015,2,0.096445962,-0.036337625,5.10%
2/17/2015,2,0.096445962,-0.036337625,5.10%
2/18/2015,2,0.096445962,-0.036337625,5.10%
2/19/2015,2,0.096445962,-0.036337625,5.10%
2/20/2015,2,0.096445962,-0.036337625,5.10%
2/21/2015,2,0.096445962,-0.036337625,5.10%
2/22/2015,2,0.096445962,-0.036337625,5.10%
2/23/2015,2,0.096445962,-0.036337625,5.10%
2/24/2015,2,0.096445962,-0.036337625,5.10%
2/25/2015,2,0.096445962,-0.036337625,5.10%
2/26/2015,2,0.096445962,-0.036337625,5.10%
2/27/2015,2,0.096445962,-0.036337625,5.10%
2/28/2015,2,0.096445962,-0.036337625,5.10%
3/1/2015,2,0.096445962,-0.036337625,5.10%
3/2/2015,2,0.096445962,-0.036337625,5.10%
3/3/2015,2,0.096445962,-0.036337625,5.10%
3/4/2015,2,0.096445962,-0.036337625,5.10%
3/5/2015,2,0.096445962,-0.036337625,5.10%
3/6/2015,2,0.096445962,-0.036337625,5.10%
3/7/2015,2,0.096445962,-0.036337625,5.10%
3/8/2015,2,0.096445962,-0.036337625,5.10%
3/9/2015,2,0.096445962,-0.036337625,5.10%
3/10/2015,2,0.096445962,-0.036337625,5.10%
3/11/2015,2,0.096445962,-0.036337625,5.10%
3/12/2015,2,0.096445962,-0.036337625,5.10%
3/13/2015,2,0.096445962,-0.036337625,5.10%
3/14/2015,2,0.096445962,-0.036337625,5.10%
3/15/2015,2,0.096445962,-0.036337625,5.10%
3/16/2015,2,0.096445962,-0.036337625,5.10%
3/17/2015,2,0.096445962,-0.036337625,5.10%
3/18/2015,2,0.096445962,-0.036337625,5.10%
3/19/2015,2,0.096445962,-0.036337625,5.10%
3/20/2015,2,0.096445962,-0.036337625,5.10%
3/21/2015,2,0.096445962,-0.036337625,5.10%
3/22/2015,2,0.096445962,-0.036337625,5.10%
3/23/2015,2,0.096445962,-0.036337625,5.10%
3/24/2015,2,0.096445962,-0.036337625,5.10%
3/25/2015,2,0.096445962,-0.036337625,5.10%
3/26/2015,2,0.096445962,-0.036337625,5.10%
3/27/2015,2,0.096445962,-0.036337625,5.10%
3/28/2015,2,0.096445962,-0.036337625,5.10%
3/29/2015,2,0.096445962,-0.036337625,5.10%
3/30/2015,2,0.096445962,-0.036337625,5.10%
3/31/2015,2,0.096445962,-0.036337625,5.10%
4/1/2015,2,0.096445962,-0.036337625,5.10%
4/2/2015,2,0.096445962,-0.036337625,5.10%
4/3/2015,2,0.096445962,-0.036337625,5.10%
4/4/2015,2,0.096445962,-0.036337625,5.10%
4/5/2015,2,0.096445962,-0.036337625,5.10%
4/6/2015,2,0.096445962,-0.036337625,5.10%
4/7/2015,2,0.096445962,-0.036337625,5.10%
4/8/2015,2,0.096445962,-0.036337625,5.10%
4/9/2015,2,0.096445962,-0.036337625,5.10%
4/10/2015,2,0.096445962,-0.036337625,5.10%
4/11/2015,2,0.096445962,-0.036337625,5.10%
4/12/2015,2,0.096445962,-0.036337625,5.10%
4/13/2015,2,0.096445962,-0.036337625,5.10%
4/14/2015,2,0.096445962,-0.036337625,5.10%
4/15/2015,2,0.096445962,-0.036337625,5.10%
4/16/2015,2,0.096445962,-0.036337625,5.10%
4/17/2015,2,0.096445962,-0.036337625,5.10%
4/18/2015,2,0.096445962,-0.036337625,5.10%
4/19/2015,2,0.096445962,-0.036337625,5.10%
4/20/2015,2,0.096445962,-0.036337625,5.10%
4/21/2015,2,0.096445962,-0.036337625,5.10%
4/22/2015,2,0.096445962,-0.036337625,5.10%
4/23/2015,2,0.096445962,-0.036337625,5.10%
4/24/2015,2,0.096445962,-0.036337625,5.10%
4/25/2015,2,0.096445962,-0.036337625,5.10%
4/26/2015,2,0.096445962,-0.036337625,5.10%
4/27/2015,2,0.096445962,-0.036337625,5.10%
4/28/2015,2,0.096445962,-0.036337625,5.10%
4/29/2015,2,0.096445962,-0.036337625,5.10%
