Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,STMR,momentum,ltmr,Size,P/B Ratio,Sector Index
2015-01-02,,,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-01-05,,,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-01-06,,,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-01-07,,,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-01-08,,,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-01-09,,,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-01-12,,,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-01-13,,,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-01-14,,,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-01-15,,,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-01-16,,,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-01-20,,,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-01-21,,,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-01-22,,,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-01-23,,,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-01-26,,,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-01-27,,,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-01-28,,,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-01-29,,,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-01-30,,,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-02-02,,,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-02-03,,,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-02-04,,,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-02-05,,,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-02-06,,,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-02-09,,,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-02-10,,,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-02-11,,,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-02-12,,,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-02-13,,,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-02-17,0.2665579679660328,0.5911992199415896,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-02-18,0.2716973049168283,0.6490765658852156,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-02-19,0.2642507194122933,0.5823103945804736,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-02-20,0.2614833827855413,0.5501237607002248,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-02-23,0.237729352264985,0.3198928871673066,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-02-24,0.2372099771929499,0.3570108401865048,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-02-25,0.2304848360907729,0.2759423551850976,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-02-26,0.2299122405855315,0.2646331638301277,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-02-27,0.2337983287602342,0.183254836162642,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-03-02,0.2341241917693345,0.2571744134399581,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-03-03,0.2364847201854364,0.2457714299076722,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-03-04,0.2338287957214134,0.2403920724288843,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-03-05,0.2411654905714131,0.2582195102958719,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-03-06,0.2493583473431775,0.433832650087903,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-03-09,0.2357149817030017,0.5274348702411946,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-03-10,0.1987835790072836,0.2969660193303522,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-03-11,0.2017801166649655,0.302614108190959,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-03-12,0.2071559527506123,0.1187694098868101,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
2015-03-13,0.2066454929869844,0.1932797185332069,17.5,0.031613053,-0.800314247,9.10%,,,,,,4
