Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,Short Term Mean Reversion,momentum,Long Term Mean Reversion,Size,P/B Ratio,Sector Index,Normal Return,Adj Close,Log Returns
1/2/15,,,3.7,0.137699443,-0.449213162,11.80%,-0.001803968,5.355830075,-126.9892345,"2,242,976,192",1.25,7,3.837182448,22.013231,1.34473836
1/5/15,,,3.7,0.137699443,-0.449213162,11.80%,-0.02942288,1.321365494,-32.56868229,"2,242,976,192",1.25,7,0.967499308,21.297783,-0.033040569
1/6/15,,,3.7,0.137699443,-0.449213162,11.80%,-0.061894893,1.438389463,-14.00166439,"2,242,976,192",1.25,7,0.964541153,20.542591,-0.03610278
1/7/15,,,3.7,0.137699443,-0.449213162,11.80%,-0.043581275,1.9580951,-14.70025252,"2,242,976,192",1.25,7,0.99903257,20.522718,-0.000967898
1/8/15,,,3.7,0.137699443,-0.449213162,11.80%,-0.035618075,1.899965093,-18.12602627,"2,242,976,192",1.25,7,1.014848321,20.827448,0.014739164
1/9/15,,,3.7,0.137699443,-0.449213162,11.80%,-0.043547118,1.825005469,-15.26209068,"2,242,976,192",1.25,7,0.979007634,20.390228,-0.021215838
1/12/15,,,3.7,0.137699443,-0.449213162,11.80%,-0.094841901,1.544831207,-7.958849137,"2,242,976,192",1.25,7,0.947043504,19.310431,-0.054410248
1/13/15,,,3.7,0.137699443,-0.449213162,11.80%,-0.107144728,1.533742308,-7.07801282,"2,242,976,192",1.25,7,0.979759828,18.919584,-0.02044781
1/14/15,,,3.7,0.137699443,-0.449213162,11.80%,-0.08889519,1.877566339,-6.995709925,"2,242,976,192",1.25,7,1.005602241,19.025579,0.005586607
1/15/15,,,3.7,0.137699443,-0.449213162,11.80%,-0.103499593,1.887906635,-5.392116904,"2,242,976,192",1.25,7,0.973885793,18.528742,-0.026461238
1/16/15,,,3.7,0.137699443,-0.449213162,11.80%,-0.1112439,1.654970364,-5.76974272,"2,242,976,192",1.25,7,1.023954238,18.97258,0.023671836
1/20/15,,,3.7,0.137699443,-0.449213162,11.80%,-0.127123373,1.6294488,-5.201190251,"2,242,976,192",1.25,7,0.983938582,18.667852,-0.016191801
1/21/15,,,3.7,0.137699443,-0.449213162,11.80%,-0.126643399,1.597489654,-5.509674471,"2,242,976,192",1.25,7,1.014549326,18.939461,0.0144445
1/22/15,,,3.7,0.137699443,-0.449213162,11.80%,-0.110067881,2.011987245,-5.022248558,"2,242,976,192",1.25,7,0.986009129,18.674484,-0.014089666
1/23/15,,,3.7,0.137699443,-0.449213162,11.80%,-0.138174445,1.884155493,-4.084258093,"2,242,976,192",1.25,7,0.962397944,17.972281,-0.038327251
1/26/15,,,3.7,0.137699443,-0.449213162,11.80%,-0.129112526,1.830855743,-4.84066552,"2,242,976,192",1.25,7,1.013638076,18.21739,0.013545915
1/27/15,,,3.7,0.137699443,-0.449213162,11.80%,-0.120097667,1.685229452,-5.414013924,"2,242,976,192",1.25,7,1.028727309,18.740726,0.028322416
