Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,STMR,momentum,ltmr,Size,P/B Ratio,Sector Index,Normal Return,Adj Close,Log Returns
1/2/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
1/5/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
1/6/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
1/7/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
1/8/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
1/9/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
1/12/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
1/13/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
1/14/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
1/15/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
1/16/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
1/20/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
1/21/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
1/22/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
1/23/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
1/26/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
1/27/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
1/28/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
1/29/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
1/30/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
2/2/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
2/3/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
2/4/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
2/5/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
2/6/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
2/9/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
2/10/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
2/11/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
2/12/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
2/13/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
2/17/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
2/18/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
2/19/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
2/20/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
2/23/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
2/24/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
2/25/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
2/26/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
2/27/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
3/2/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
3/3/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
3/4/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
3/5/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
3/6/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
3/9/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
3/10/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
3/11/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
3/12/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
3/13/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
3/16/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
3/17/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
3/18/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
3/19/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
3/20/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
3/23/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
3/24/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
3/25/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
3/26/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
3/27/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
3/30/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
3/31/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
4/1/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
4/2/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
4/6/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
4/7/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
4/8/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
4/9/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
4/10/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
4/13/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
4/14/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
4/15/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
4/16/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
4/17/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
4/20/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
4/21/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
4/22/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
4/23/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
4/24/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
4/27/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
4/28/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
4/29/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
4/30/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
5/1/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
5/4/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
5/5/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
5/6/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
5/7/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
5/8/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
5/11/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
5/12/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
5/13/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
5/14/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
5/15/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
5/18/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
5/19/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
5/20/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
5/21/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
5/22/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
5/26/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
5/27/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
5/28/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
5/29/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
6/1/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
6/2/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
6/3/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
6/4/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
6/5/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
6/8/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
6/9/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
6/10/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
6/11/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
6/12/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
6/15/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
6/16/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
6/17/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
6/18/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
6/19/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
6/22/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
6/23/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
6/24/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
6/25/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
6/26/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
6/29/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
6/30/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
7/1/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
7/2/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
7/6/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
7/7/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
7/8/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
7/9/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
7/10/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
7/13/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
7/14/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
7/15/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
7/16/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
7/17/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
7/20/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
7/21/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
7/22/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
7/23/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
7/24/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
7/27/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
7/28/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
7/29/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
7/30/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
7/31/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
8/3/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
8/4/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
8/5/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
8/6/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
8/7/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
8/10/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
8/11/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
8/12/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
8/13/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
8/14/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
8/17/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
8/18/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
8/19/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
8/20/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
8/21/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
8/24/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
8/25/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
8/26/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
8/27/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
8/28/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
8/31/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
9/1/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
9/2/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
9/3/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
9/4/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
9/8/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
9/9/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
9/10/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
9/11/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
9/14/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
9/15/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
9/16/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
9/17/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
9/18/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
9/21/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
9/22/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
9/23/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
9/24/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
9/25/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
9/28/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
9/29/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
9/30/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
10/1/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
10/2/15,,,-4.2,0.021083458,0.462503922,0.00%,,,,,,3,,,
