Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,STMR,momentum,ltmr,Size,P/B Ratio,Sector Index,Normal Return,Adj Close,Log Returns
1/2/15,,,3.5,0.132254719,0.117006487,4.20%,-0.043594732,0.678074879,0.863437556,"12,170,000,000",9.27,8,2.12970921,36.23423,0.755985449
1/5/15,,,3.5,0.132254719,0.117006487,4.20%,-0.025872357,1.331882572,0.753699496,"12,170,000,000",9.27,8,0.99955215,36.21801,-0.000447951
1/6/15,,,3.5,0.132254719,0.117006487,4.20%,-0.031314875,1.046329508,1.072795581,"12,170,000,000",9.27,8,1,36.21801,0
1/7/15,,,3.5,0.132254719,0.117006487,4.20%,-0.032182786,1.018111915,0.667314545,"12,170,000,000",9.27,8,1,36.21801,0
1/8/15,,,3.5,0.132254719,0.117006487,4.20%,-0.011836971,1.649443075,0.311662009,"12,170,000,000",9.27,8,1.015904996,36.794052,0.015779837
1/9/15,,,3.5,0.132254719,0.117006487,4.20%,-0.002205977,9.55098204,0.36213231,"12,170,000,000",9.27,8,0.998456472,36.737251,-0.001544721
1/12/15,,,3.5,0.132254719,0.117006487,4.20%,-0.019357554,1.777627069,0.720170406,"12,170,000,000",9.27,8,0.982994677,36.11253,-0.017151574
1/13/15,,,3.5,0.132254719,0.117006487,4.20%,-0.037482403,1.372478071,0.228090886,"12,170,000,000",9.27,8,1,36.11253,0
1/14/15,,,3.5,0.132254719,0.117006487,4.20%,-0.008459771,4.582705254,-0.078489348,"12,170,000,000",9.27,8,1.004942755,36.291023,0.004930579
1/15/15,,,3.5,0.132254719,0.117006487,4.20%,-0.007119098,5.286914514,-0.116467135,"12,170,000,000",9.27,8,1.001341404,36.339706,0.001340505
1/16/15,,,3.5,0.132254719,0.117006487,4.20%,-0.007119098,5.286914514,-0.116467135,"12,170,000,000",9.27,8,1,36.339706,0
1/20/15,,,3.5,0.132254719,0.117006487,4.20%,-0.016056741,1.914510359,0.444628536,"12,170,000,000",9.27,8,1.006921121,36.591206,0.00689728
1/21/15,,,3.5,0.132254719,0.117006487,4.20%,-0.016056741,1.914510359,1.210393765,"12,170,000,000",9.27,8,1,36.591206,0
1/22/15,,,3.5,0.132254719,0.117006487,4.20%,-0.016056741,0.765673124,2.879545992,"12,170,000,000",9.27,8,1,36.591206,0
1/23/15,,,3.5,0.132254719,0.117006487,4.20%,-0.016056741,0.458408488,4.809664381,"12,170,000,000",9.27,8,1,36.591206,0
1/26/15,,,3.5,0.132254719,0.117006487,4.20%,-0.025189378,0.242835688,7.28057359,"12,170,000,000",9.27,8,0.990909113,36.258572,-0.009132462
1/27/15,,,3.5,0.132254719,0.117006487,4.20%,-0.002013221,4.23447696,2.969953707,"12,170,000,000",9.27,8,0.999328731,36.23423,-0.000671494
1/28/15,,,3.5,0.132254719,0.117006487,4.20%,-0.011183391,1.550739562,1.718728394,"12,170,000,000",9.27,8,0.995521697,36.07196,-0.00448836
1/29/15,,,3.5,0.132254719,0.117006487,4.20%,-0.011183391,1.550739562,1.718728394,"12,170,000,000",9.27,8,1,36.07196,0
1/30/15,,,3.5,0.132254719,0.117006487,4.20%,-0.00448842,3.863837915,2.142620799,"12,170,000,000",9.27,8,1,36.07196,0
2/2/15,,,3.5,0.132254719,0.117006487,4.20%,-0.00448842,3.863837915,2.142620799,"12,170,000,000",9.27,8,1,36.07196,0
