Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,STMR,momentum,ltmr,Size,P/B Ratio,Sector Index,Normal Return,Adj Close,Log Returns
1/2/15,,,3,0.162947116,-0.121089049,0.00%,0.01724625,2.047706267,0.994782306,"7,390,000,000",4.17,10,1.06043956,76.714302,0.058683502
1/5/15,,,3,0.162947116,-0.121089049,0.00%,0.01724625,2.047706267,0.994782306,"7,390,000,000",4.17,10,1,76.714302,0
1/6/15,,,3,0.162947116,-0.121089049,0.00%,0.01724625,2.047706267,0.994782306,"7,390,000,000",4.17,10,1,76.714302,0
1/7/15,,,3,0.162947116,-0.121089049,0.00%,0.01724625,2.047706267,0.994782306,"7,390,000,000",4.17,10,1,76.714302,0
1/8/15,,,3,0.162947116,-0.121089049,0.00%,0.01724625,2.047706267,0.994782306,"7,390,000,000",4.17,10,1,76.714302,0
1/9/15,,,3,0.162947116,-0.121089049,0.00%,0.01724625,2.047706267,0.994782306,"7,390,000,000",4.17,10,1,76.714302,0
1/12/15,,,3,0.162947116,-0.121089049,0.00%,0.01724625,2.047706267,0.994782306,"7,390,000,000",4.17,10,1,76.714302,0
1/13/15,,,3,0.162947116,-0.121089049,0.00%,0.01724625,2.047706267,0.994782306,"7,390,000,000",4.17,10,1,76.714302,0
1/14/15,,,3,0.162947116,-0.121089049,0.00%,0.01724625,2.047706267,0.994782306,"7,390,000,000",4.17,10,1,76.714302,0
1/15/15,,,3,0.162947116,-0.121089049,0.00%,0.01724625,2.047706267,0.994782306,"7,390,000,000",4.17,10,1,76.714302,0
1/16/15,,,3,0.162947116,-0.121089049,0.00%,0.01724625,2.047706267,0.994782306,"7,390,000,000",4.17,10,1,76.714302,0
1/20/15,,,3,0.162947116,-0.121089049,0.00%,0.01724625,2.047706267,0.994782306,"7,390,000,000",4.17,10,1,76.714302,0
1/21/15,,,3,0.162947116,-0.121089049,0.00%,0.01724625,2.047706267,0.994782306,"7,390,000,000",4.17,10,1,76.714302,0
