Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,Short Term Mean Reversion,momentum,Long Term Mean Reversion,Size,P/B Ratio,Sector Index,Normal Return,Adj Close,Log Returns
1/2/15,,,3.2,0.047216841,0.716661124,0.80%,-0.032466207,-6.855404427,5.028735057,"10,846,439,120",5.755,2,0.647734183,81.49369,-0.434274878
1/5/15,,,3.2,0.047216841,0.716661124,0.80%,-0.061602127,-3.317347912,5.431115682,"10,846,439,120",5.755,2,0.981809644,80.011292,-0.018357835
1/6/15,,,3.2,0.047216841,0.716661124,0.80%,-0.081859901,-2.534499306,5.268020975,"10,846,439,120",5.755,2,0.999643717,79.982788,-0.000356346
1/7/15,,,3.2,0.047216841,0.716661124,0.80%,-0.070409781,-2.442878068,6.478981208,"10,846,439,120",5.755,2,1,79.982788,0
1/8/15,,,3.2,0.047216841,0.716661124,0.80%,-0.03147124,-7.350635907,4.874835566,"10,846,439,120",5.755,2,1.044196282,83.517723,0.043247482
1/9/15,,,3.2,0.047216841,0.716661124,0.80%,-0.002623551,-90.84103171,4.74265775,"10,846,439,120",5.755,2,0.996131574,83.194672,-0.003875928
1/12/15,,,3.2,0.047216841,0.716661124,0.80%,-0.024930472,-8.425285608,5.321986016,"10,846,439,120",5.755,2,0.972815478,80.933044,-0.027560857
1/13/15,,,3.2,0.047216841,0.716661124,0.80%,-0.029095032,-8.023847951,4.810593813,"10,846,439,120",5.755,2,0.998238805,80.790512,-0.001762748
1/14/15,,,3.2,0.047216841,0.716661124,0.80%,-0.022464865,-9.637857809,5.045588776,"10,846,439,120",5.755,2,1.004351941,81.142105,0.004342499
1/15/15,,,3.2,0.047216841,0.716661124,0.80%,-0.041650454,-4.349258128,5.625607543,"10,846,439,120",5.755,2,0.966506616,78.424385,-0.034067135
1/16/15,,,3.2,0.047216841,0.716661124,0.80%,-0.039690419,-5.195890912,4.926844124,"10,846,439,120",5.755,2,1.011511014,79.327126,0.011445267
1/20/15,,,3.2,0.047216841,0.716661124,0.80%,-0.044845301,-4.012896372,5.728194412,"10,846,439,120",5.755,2,1.00551029,79.764236,0.005495164
1/21/15,,,3.2,0.047216841,0.716661124,0.80%,-0.046249372,-4.871152146,4.601701826,"10,846,439,120",5.755,2,1.001667858,79.897278,0.001666469
1/22/15,,,3.2,0.047216841,0.716661124,0.80%,-0.041367797,-6.129018819,4.10256042,"10,846,439,120",5.755,2,1.019386263,81.446175,0.019200743
1/23/15,,,3.2,0.047216841,0.716661124,0.80%,-0.016783847,-16.79668186,3.780996403,"10,846,439,120",5.755,2,1.020184378,83.090118,0.019983373
1/26/15,,,3.2,0.047216841,0.716661124,0.80%,-0.019512753,-14.51398384,3.770110083,"10,846,439,120",5.755,2,0.998284527,82.947594,-0.001716947
1/27/15,,,3.2,0.047216841,0.716661124,0.80%,-0.029890139,-9.666929137,3.595049118,"10,846,439,120",5.755,2,0.993011788,82.367928,-0.007012744
1/28/15,,,3.2,0.047216841,0.716661124,0.80%,-0.026772341,-9.601340045,3.981433197,"10,846,439,120",5.755,2,0.990655318,81.598221,-0.009388617
1/29/15,,,3.2,0.047216841,0.716661124,0.80%,0.00695494,41.34086627,3.546631429,"10,846,439,120",5.755,2,1.008151822,82.263405,0.008118776
1/30/15,,,3.2,0.047216841,0.716661124,0.80%,0.006655267,41.97269016,3.562571445,"10,846,439,120",5.755,2,0.992607139,81.655235,-0.007420324
