Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,STMR,momentum,ltmr,Size,P/B Ratio,Sector Index,Normal Return,Adj Close,Log Returns
1/2/15,,,1.2,0.165315254,0.141640867,0.00%,-0.012328089,4.683546044,-7.836547271,"359,503,564,566",3.618,5,0.2987494,523.373108,-1.2081502
1/5/15,,,1.2,0.165315254,0.141640867,0.00%,-0.044604956,1.60259454,-6.230490819,"359,503,564,566",3.618,5,0.97915427,512.463013,-0.0210661
1/6/15,,,1.2,0.165315254,0.141640867,0.00%,-0.045372946,2.336661046,-4.109215933,"359,503,564,566",3.618,5,0.97682295,500.585632,-0.0234499
1/7/15,,,1.2,0.165315254,0.141640867,0.00%,-0.05035686,2.518636913,-3.763073353,"359,503,564,566",3.618,5,0.99828674,499.727997,-0.0017147
1/8/15,,,1.2,0.165315254,0.141640867,0.00%,-0.059261613,2.122140037,-3.811416691,"359,503,564,566",3.618,5,1.00315308,501.30368,0.00314812
1/9/15,,,1.2,0.165315254,0.141640867,0.00%,-0.058496616,2.207307141,-3.576354095,"359,503,564,566",3.618,5,0.98704939,494.811493,-0.0130352
1/12/15,,,1.2,0.165315254,0.141640867,0.00%,-0.070144054,1.944419739,-3.289069328,"359,503,564,566",3.618,5,0.99270414,491.201416,-0.0073226
1/13/15,,,1.2,0.165315254,0.141640867,0.00%,-0.044309811,2.768138157,-3.777646605,"359,503,564,566",3.618,5,1.0073698,494.821472,0.00734278
1/14/15,,,1.2,0.165315254,0.141640867,0.00%,-0.025487547,5.355639937,-3.4214116,"359,503,564,566",3.618,5,1.00945221,499.498627,0.00940781
1/15/15,,,1.2,0.165315254,0.141640867,0.00%,0.012836375,-10.43816169,-3.44806703,"359,503,564,566",3.618,5,1.0018368,500.416107,0.00183512
1/16/15,,,1.2,0.165315254,0.141640867,0.00%,0.006298289,-20.34294449,-3.621360503,"359,503,564,566",3.618,5,1.0125351,506.688873,0.01245719
1/20/15,,,1.2,0.165315254,0.141640867,0.00%,-0.008251535,15.21142019,-4.375146256,"359,503,564,566",3.618,5,0.99767755,505.512115,-0.0023251
1/21/15,,,1.2,0.165315254,0.141640867,0.00%,0.00326773,-35.24179986,-4.964357559,"359,503,564,566",3.618,5,1.02197678,516.621643,0.02173877
1/22/15,,,1.2,0.165315254,0.141640867,0.00%,0.017975226,-4.741026629,-7.165394059,"359,503,564,566",3.618,5,1.03156116,532.926819,0.03107334
1/23/15,,,1.2,0.165315254,0.141640867,0.00%,0.017486907,-4.039497385,-9.072723982,"359,503,564,566",3.618,5,1.01040443,538.471619,0.01035068
1/26/15,,,1.2,0.165315254,0.141640867,0.00%,0.01210563,-3.939639578,-13.30434627,"359,503,564,566",3.618,5,0.99122147,533.744629,-0.0088173
1/27/15,,,1.2,0.165315254,0.141640867,0.00%,-0.029261208,2.011042074,-9.89614539,"359,503,564,566",3.618,5,0.9690215,517.210022,-0.0314685
1/28/15,,,1.2,0.165315254,0.141640867,0.00%,-0.039088758,2.435749876,-5.981697131,"359,503,564,566",3.618,5,0.98335998,508.603638,-0.01678
1/29/15,,,1.2,0.165315254,0.141640867,0.00%,-0.037965148,2.093657335,-7.128712514,"359,503,564,566",3.618,5,1.00129408,509.26181,0.00129324
1/30/15,,,1.2,0.165315254,0.141640867,0.00%,0.015307789,-3.868330313,-10.31920598,"359,503,564,566",3.618,5,1.04672392,533.056519,0.04566521
2/2/15,,,1.2,0.165315254,0.141640867,0.00%,0.006968594,-15.77646378,-5.387966353,"359,503,564,566",3.618,5,0.98870007,527.03302,-0.0113643
2/3/15,,,1.2,0.165315254,0.141640867,0.00%,0.029471748,-2.287445717,-8.526207899,"359,503,564,566",3.618,5,1.00143812,527.790955,0.00143708
2/4/15,,,1.2,0.165315254,0.141640867,0.00%,0.040602018,-2.066376484,-6.451837861,"359,503,564,566",3.618,5,0.98775598,521.328674,-0.0123196
2/5/15,,,1.2,0.165315254,0.141640867,0.00%,0.051494836,-1.536842407,-7.004059826,"359,503,564,566",3.618,5,1.00922033,526.135498,0.00917809
2/6/15,,,1.2,0.165315254,0.141640867,0.00%,0.054808241,-1.591586825,-6.370313555,"359,503,564,566",3.618,5,1.00648245,529.546143,0.00646153
2/9/15,,,1.2,0.165315254,0.141640867,0.00%,0.061855688,-1.748858526,-5.057195546,"359,503,564,566",3.618,5,0.99403014,526.384827,-0.0059878
2/10/15,,,1.2,0.165315254,0.141640867,0.00%,0.086290324,-1.010857477,-6.572507007,"359,503,564,566",3.618,5,1.01725928,535.469849,0.01711203
2/11/15,,,1.2,0.165315254,0.141640867,0.00%,0.077139377,-1.343477607,-5.4148279,"359,503,564,566",3.618,5,0.99819346,534.502502,-0.0018082
2/12/15,,,1.2,0.165315254,0.141640867,0.00%,0.080633837,-1.088823814,-6.584142193,"359,503,564,566",3.618,5,1.01298587,541.443481,0.01290227
2/13/15,,,1.2,0.165315254,0.141640867,0.00%,0.089934981,-0.975484315,-6.794808805,"359,503,564,566",3.618,5,1.0111985,547.506836,0.01113626
2/17/15,0.258963951,0.601372979,1.2,0.165315254,0.141640867,0.00%,0.0661757,-1.532982669,-5.749091853,"359,503,564,566",3.618,5,0.98876153,541.353699,-0.0113021
2/18/15,0.251362272,0.521918958,1.2,0.165315254,0.141640867,0.00%,0.062699649,-1.817276167,-5.094906718,"359,503,564,566",3.618,5,0.9942156,538.22229,-0.0058012
2/19/15,0.240174266,0.427825452,1.2,0.165315254,0.141640867,0.00%,0.046817321,-2.157502115,-5.653205311,"359,503,564,566",3.618,5,1.00587363,541.383606,0.00585644
2/20/15,0.241584926,0.447727187,1.2,0.165315254,0.141640867,0.00%,0.008496951,-12.91362891,-5.228394414,"359,503,564,566",3.618,5,0.99277917,537.474365,-0.007247
2/23/15,0.245763239,0.510339315,1.2,0.165315254,0.141640867,0.00%,-0.015002277,8.172712656,-4.596384326,"359,503,564,566",3.618,5,0.98693751,530.453613,-0.0131486
2/24/15,0.242135981,0.465135762,1.2,0.165315254,0.141640867,0.00%,0.001642813,-74.26235703,-4.632440378,"359,503,564,566",3.618,5,1.00785852,534.622192,0.0078278
2/25/15,0.242566498,0.420760704,1.2,0.165315254,0.141640867,0.00%,0.047519535,-2.393734658,-5.103596797,"359,503,564,566",3.618,5,1.01451254,542.38092,0.01440824
2/26/15,0.247868302,0.406493407,1.2,0.165315254,0.141640867,0.00%,0.085421862,-1.085976551,-6.326230784,"359,503,564,566",3.618,5,1.02134696,553.959106,0.02112231
2/27/15,0.247347485,0.433281545,1.2,0.165315254,0.141640867,0.00%,0.089371538,-0.970512923,-6.829087504,"359,503,564,566",3.618,5,1.00525668,556.871094,0.00524292
3/2/15,0.25356743,0.493155415,1.2,0.165315254,0.141640867,0.00%,0.06661531,-0.914249547,-9.992086486,"359,503,564,566",3.618,5,1.02317341,569.775696,0.02290898
3/3/15,0.252408914,0.465316104,1.2,0.165315254,0.141640867,0.00%,0.081997104,-0.563035292,-13.30845877,"359,503,564,566",3.618,5,1.00402562,572.069397,0.00401754
3/4/15,0.252051519,0.474981721,1.2,0.165315254,0.141640867,0.00%,0.080089186,-0.708551862,-11.01859334,"359,503,564,566",3.618,5,0.99952928,571.80011,-0.0004708
