Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,Short Term Mean Reversion,momentum,Long Term Mean Reversion,Size,P/B Ratio,Sector Index,Normal Return,Adj Close,Log Returns
1/2/15,,,10.6,0.014415104,-0.085759826,3.20%,0.02173138,4.478596287,6.820940985,"232,471,512,203",1.101,4,0.491776202,51.583958,-0.70973154
1/5/15,,,10.6,0.014415104,-0.085759826,3.20%,-0.007202085,-8.065501559,10.52957497,"232,471,512,203",1.101,4,0.968954986,49.982536,-0.031537122
1/6/15,,,10.6,0.014415104,-0.085759826,3.20%,-0.054750552,-0.475566555,22.82798254,"232,471,512,203",1.101,4,0.974071032,48.686527,-0.02627105
1/7/15,,,10.6,0.014415104,-0.085759826,3.20%,-0.052747378,-0.742301833,15.26281206,"232,471,512,203",1.101,4,1.001525941,48.760834,0.001524778
1/8/15,,,10.6,0.014415104,-0.085759826,3.20%,-0.027130154,-1.911845655,11.54230943,"232,471,512,203",1.101,4,1.022346352,49.85046,0.02210033
1/9/15,,,10.6,0.014415104,-0.085759826,3.20%,-0.015918146,-2.274065886,15.59065325,"232,471,512,203",1.101,4,0.982613032,48.983707,-0.017539897
1/12/15,,,10.6,0.014415104,-0.085759826,3.20%,-0.032102114,-1.002194136,17.11283653,"232,471,512,203",1.101,4,0.991405494,48.562721,-0.008631652
1/13/15,,,10.6,0.014415104,-0.085759826,3.20%,-0.013776938,-3.334637427,12.54421563,"232,471,512,203",1.101,4,1.000169947,48.570984,0.000169933
1/14/15,,,10.6,0.014415104,-0.085759826,3.20%,-0.034121064,-0.297135376,56.1919438,"232,471,512,203",1.101,4,0.965499677,46.895264,-0.035109512
1/15/15,,,10.6,0.014415104,-0.085759826,3.20%,-0.054265757,0.963413537,-9.401445936,"232,471,512,203",1.101,4,0.967963405,45.392895,-0.032560997
1/16/15,,,10.6,0.014415104,-0.085759826,3.20%,-0.05999061,0.448247956,-18.51363838,"232,471,512,203",1.101,4,1.01709398,46.168842,0.016949522
1/20/15,,,10.6,0.014415104,-0.085759826,3.20%,-0.092139902,0.171496068,-30.52383103,"232,471,512,203",1.101,4,0.996066494,45.987247,-0.003941263
1/21/15,,,10.6,0.014415104,-0.085759826,3.20%,-0.096206675,0.141442714,-35.09435183,"232,471,512,203",1.101,4,1.003231018,46.13583,0.003225809
1/22/15,,,10.6,0.014415104,-0.085759826,3.20%,-0.066404804,-0.397208561,19.24124865,"232,471,512,203",1.101,4,1.030416909,47.539127,0.029963486
1/23/15,,,10.6,0.014415104,-0.085759826,3.20%,-0.091012919,-0.330594006,16.39122838,"232,471,512,203",1.101,4,0.984198646,46.787945,-0.015927527
1/26/15,,,10.6,0.014415104,-0.085759826,3.20%,-0.089426354,-0.630868504,8.821942994,"232,471,512,203",1.101,4,1.001587862,46.862251,0.001586602
1/27/15,,,10.6,0.014415104,-0.085759826,3.20%,-0.100637182,-0.460318105,10.68764807,"232,471,512,203",1.101,4,0.989959503,46.391724,-0.010091242
1/28/15,,,10.6,0.014415104,-0.085759826,3.20%,-0.13330965,-0.063430287,56.09792354,"232,471,512,203",1.101,4,0.974199271,45.194767,-0.026139406
1/29/15,,,10.6,0.014415104,-0.085759826,3.20%,-0.119659182,-0.241473671,16.72341114,"232,471,512,203",1.101,4,1.016803616,45.954212,0.016663998
1/30/15,,,10.6,0.014415104,-0.085759826,3.20%,-0.134037075,0.022224905,-151.6500225,"232,471,512,203",1.101,4,0.976827788,44.889351,-0.023444909
2/2/15,,,10.6,0.014415104,-0.085759826,3.20%,-0.119164312,-0.238002912,16.67531688,"232,471,512,203",1.101,4,1.020044134,45.789124,0.019845895
2/3/15,,,10.6,0.014415104,-0.085759826,3.20%,-0.065342682,-1.06814051,6.819480316,"232,471,512,203",1.101,4,1.022534703,46.820961,0.022284548
2/4/15,,,10.6,0.014415104,-0.085759826,3.20%,-0.045084024,-1.154887659,9.096320009,"232,471,512,203",1.101,4,0.994005642,46.540298,-0.006012396
2/5/15,,,10.6,0.014415104,-0.085759826,3.20%,-0.03971526,-1.365727298,8.989933392,"232,471,512,203",1.101,4,1.006917329,46.862251,0.006893514
2/6/15,,,10.6,0.014415104,-0.085759826,3.20%,-0.042279062,-1.207091879,9.716173939,"232,471,512,203",1.101,4,1.019728712,47.786781,0.019536624
2/9/15,,,10.6,0.014415104,-0.085759826,3.20%,-0.025948882,-1.824699284,10.69099004,"232,471,512,203",1.101,4,0.998790827,47.728992,-0.001209904
2/10/15,,,10.6,0.014415104,-0.085759826,3.20%,-0.006309357,-8.91370571,9.314411916,"232,471,512,203",1.101,4,1.011068817,48.257282,0.011008006
2/11/15,,,10.6,0.014415104,-0.085759826,3.20%,-0.008019828,-5.313291212,11.83054896,"232,471,512,203",1.101,4,0.998460486,48.182995,-0.0015407
2/12/15,,,10.6,0.014415104,-0.085759826,3.20%,0.047439663,1.294186276,8.704845693,"232,471,512,203",1.101,4,1.020558524,49.173573,0.02035005
