Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,Short Term Mean Reversioj,momentum,Long Term Mean Reversion,Size,P/B Ratio,Sector Index,Normal Return,Adj Close,Log Returns
1/2/15,,,2.9,0.117405175,0.931662558,0.00%,0.05203993,4.053518687,1.199039879,"9,128,340,000",3.294,9,0.547383917,111.419998,-0.602604863
1/5/15,,,2.9,0.117405175,0.931662558,0.00%,0.0700166,3.051364339,1.205554922,"9,128,340,000",3.294,9,1.008705807,112.389999,0.00866813
1/6/15,,,2.9,0.117405175,0.931662558,0.00%,0.041161103,4.913111196,1.163583087,"9,128,340,000",3.294,9,0.984073307,110.599998,-0.016054886
1/7/15,,,2.9,0.117405175,0.931662558,0.00%,0.066305388,3.009793636,1.284048677,"9,128,340,000",3.294,9,1.017540715,112.540001,0.017388652
1/8/15,,,2.9,0.117405175,0.931662558,0.00%,0.09791805,2.361617633,1.193342774,"9,128,340,000",3.294,9,1.026923751,115.57,0.026567684
1/9/15,,,2.9,0.117405175,0.931662558,0.00%,0.111124191,2.030386661,1.255221041,"9,128,340,000",3.294,9,1.003720689,116,0.003713784
1/12/15,,,2.9,0.117405175,0.931662558,0.00%,0.107818995,2.139128634,1.213028955,"9,128,340,000",3.294,9,0.998620655,115.839996,-0.001380297
1/13/15,,,2.9,0.117405175,0.931662558,0.00%,0.128194402,1.909796733,1.172935902,"9,128,340,000",3.294,9,1.000172695,115.860001,0.00017268
1/14/15,,,2.9,0.117405175,0.931662558,0.00%,0.124077303,1.871623983,1.11659051,"9,128,340,000",3.294,9,0.990419463,114.75,-0.009626725
1/15/15,,,2.9,0.117405175,0.931662558,0.00%,0.120244257,1.933547262,1.125053747,"9,128,340,000",3.294,9,1.001481464,114.919998,0.001480368
1/16/15,,,2.9,0.117405175,0.931662558,0.00%,0.12236463,2.011829673,1.120297769,"9,128,340,000",3.294,9,1.018447642,117.040001,0.018279549
1/20/15,,,2.9,0.117405175,0.931662558,0.00%,0.096556378,2.532463603,1.143253431,"9,128,340,000",3.294,9,1.001623394,117.230003,0.001622077
1/21/15,,,2.9,0.117405175,0.931662558,0.00%,0.091953415,2.606557335,1.109300919,"9,128,340,000",3.294,9,0.98942246,115.989998,-0.010633879
1/22/15,,,2.9,0.117405175,0.931662558,0.00%,0.103894103,2.481033925,1.028825174,"9,128,340,000",3.294,9,1.02482977,118.870003,0.024526521
1/23/15,,,2.9,0.117405175,0.931662558,0.00%,0.090606487,2.758646284,0.981211788,"9,128,340,000",3.294,9,0.986708152,117.290001,-0.013380975
1/26/15,,,2.9,0.117405175,0.931662558,0.00%,0.084539818,3.109498327,0.959682708,"9,128,340,000",3.294,9,0.999147421,117.190002,-0.000852943
1/27/15,,,2.9,0.117405175,0.931662558,0.00%,0.071643713,3.592626698,0.939112196,"9,128,340,000",3.294,9,0.992320155,116.290001,-0.007709486
1/28/15,,,2.9,0.117405175,0.931662558,0.00%,0.063355821,3.88356476,0.972190276,"9,128,340,000",3.294,9,0.993120621,115.489998,-0.006903151
1/29/15,,,2.9,0.117405175,0.931662558,0.00%,0.057969271,4.541972238,0.909581566,"9,128,340,000",3.294,9,1.005455061,116.120003,0.005440236
1/30/15,,,2.9,0.117405175,0.931662558,0.00%,0.061812353,4.10447028,0.850621496,"9,128,340,000",3.294,9,0.988460179,114.779999,-0.011606921
2/2/15,,,2.9,0.117405175,0.931662558,0.00%,0.035963703,6.989033088,0.886913884,"9,128,340,000",3.294,9,1.006272879,115.5,0.006253286
2/3/15,,,2.9,0.117405175,0.931662558,0.00%,0.039258356,7.272048274,0.797462801,"9,128,340,000",3.294,9,1.012034623,116.889999,0.011962783
2/4/15,,,2.9,0.117405175,0.931662558,0.00%,0.056681149,4.84136979,0.917377925,"9,128,340,000",3.294,9,1.001368843,117.050003,0.001367907
2/5/15,,,2.9,0.117405175,0.931662558,0.00%,0.030367689,8.827748798,0.867028289,"9,128,340,000",3.294,9,0.9911149,116.010002,-0.008924808
2/6/15,,,2.9,0.117405175,0.931662558,0.00%,-0.003640763,-66.71038469,0.924566942,"9,128,340,000",3.294,9,0.992586846,115.150002,-0.007440768
2/9/15,,,2.9,0.117405175,0.931662558,0.00%,-0.020730618,-11.69956495,0.865328334,"9,128,340,000",3.294,9,0.986712992,113.620003,-0.01337607
2/10/15,,,2.9,0.117405175,0.931662558,0.00%,-0.003892208,-60.02234506,1.062303569,"9,128,340,000",3.294,9,1.015578208,115.389999,0.015458113
2/11/15,,,2.9,0.117405175,0.931662558,0.00%,0.007481027,32.37710251,1.1267478,"9,128,340,000",3.294,9,1.011612826,116.730003,0.011545915
