Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,Short Term Mean Reversion,momentum,Long Term Mean Reversion,Size,P/B Ratio,Sector Index,Normal Return,Adj Close,Log Returns
1/2/15,,,12.9,0.008289099,-0.027042004,4.40%,-0.0272638,-1.453175039,14.7779556,"61,225,979,786",0.865,4,1.023389243,37.272564,0.023119907
1/5/15,,,12.9,0.008289099,-0.027042004,4.40%,-0.057243558,0.103561964,-88.99798573,"61,225,979,786",0.865,4,0.966611081,36.028076,-0.033959056
1/6/15,,,12.9,0.008289099,-0.027042004,4.40%,-0.109015337,0.297524682,-15.40152931,"61,225,979,786",0.865,4,0.969679538,34.935684,-0.030789635
1/7/15,,,12.9,0.008289099,-0.027042004,4.40%,-0.096020263,0.159711974,-32.72351825,"61,225,979,786",0.865,4,1.013259384,35.398922,0.013172248
1/8/15,,,12.9,0.008289099,-0.027042004,4.40%,-0.078235699,0.197651922,-30.96995619,"61,225,979,786",0.865,4,1.01523446,35.938202,0.01511958
1/9/15,,,12.9,0.008289099,-0.027042004,4.40%,-0.074387816,0.5474812,-10.43560251,"61,225,979,786",0.865,4,0.981531294,35.274467,-0.018641382
1/12/15,,,12.9,0.008289099,-0.027042004,4.40%,-0.090557569,0.486694716,-9.290392697,"61,225,979,786",0.865,4,0.988435967,34.866554,-0.011631417
1/13/15,,,12.9,0.008289099,-0.027042004,4.40%,-0.058674393,0.602239944,-11.78637413,"61,225,979,786",0.865,4,0.987705702,34.437889,-0.012370498
1/14/15,,,12.9,0.008289099,-0.027042004,4.40%,-0.054476009,1.185728483,-6.4363381,"61,225,979,786",0.865,4,0.982533607,33.836388,-0.01762073
1/15/15,,,12.9,0.008289099,-0.027042004,4.40%,-0.054154837,1.808418053,-3.763817255,"61,225,979,786",0.865,4,0.980384166,33.172657,-0.019810778
1/16/15,,,12.9,0.008289099,-0.027042004,4.40%,-0.055580905,1.10008308,-6.27310347,"61,225,979,786",0.865,4,1.021050408,33.87096,0.020831909
1/20/15,,,12.9,0.008289099,-0.027042004,4.40%,-0.103039022,0.551858669,-6.397061013,"61,225,979,786",0.865,4,0.994896927,33.698109,-0.005116138
1/21/15,,,12.9,0.008289099,-0.027042004,4.40%,-0.088329734,0.459150652,-8.959204062,"61,225,979,786",0.865,4,1.010874008,34.064537,0.010815311
1/22/15,,,12.9,0.008289099,-0.027042004,4.40%,-0.073510027,0.248049547,-20.74036989,"61,225,979,786",0.865,4,1.019078578,34.714455,0.018898864
1/23/15,,,12.9,0.008289099,-0.027042004,4.40%,-0.120399953,0.223693514,-13.93979673,"61,225,979,786",0.865,4,0.97132042,33.718845,-0.029098876
1/26/15,,,12.9,0.008289099,-0.027042004,4.40%,-0.117259351,-0.098280173,36.18591543,"61,225,979,786",0.865,4,1.000410104,33.732677,0.00041002
1/27/15,,,12.9,0.008289099,-0.027042004,4.40%,-0.13106127,-0.075487018,37.82917039,"61,225,979,786",0.865,4,0.986472667,33.276363,-0.01361966
1/28/15,,,12.9,0.008289099,-0.027042004,4.40%,-0.158593678,0.199781962,-10.78637049,"61,225,979,786",0.865,4,0.973197558,32.384472,-0.027168177
1/29/15,,,12.9,0.008289099,-0.027042004,4.40%,-0.1581352,0.096132783,-23.22696927,"61,225,979,786",0.865,4,1.000640551,32.405228,0.000640346
1/30/15,,,12.9,0.008289099,-0.027042004,4.40%,-0.151196977,0.277695317,-7.694245292,"61,225,979,786",0.865,4,0.992105784,32.149399,-0.007925541
2/2/15,,,12.9,0.008289099,-0.027042004,4.40%,-0.119035736,-0.013557001,213.606468,"61,225,979,786",0.865,4,1.029247306,33.089687,0.028827764
2/3/15,,,12.9,0.008289099,-0.027042004,4.40%,-0.059294264,-1.160536976,4.893125479,"61,225,979,786",0.865,4,1.026117843,33.953915,0.025782597
2/4/15,,,12.9,0.008289099,-0.027042004,4.40%,-0.028299262,-1.695236841,6.995231165,"61,225,979,786",0.865,4,0.993076728,33.960884,-0.006947349
2/5/15,,,12.9,0.008289099,-0.027042004,4.40%,-0.037174864,-1.462436032,6.24205684,"61,225,979,786",0.865,4,1.004305977,34.107109,0.004296733
2/6/15,,,12.9,0.008289099,-0.027042004,4.40%,-0.039716224,-1.20953195,7.331657361,"61,225,979,786",0.865,4,1.012658258,34.538864,0.012578812
2/9/15,,,12.9,0.008289099,-0.027042004,4.40%,-0.02208288,-1.647681198,9.974655843,"61,225,979,786",0.865,4,0.998991851,34.504028,-0.001008657
2/10/15,,,12.9,0.008289099,-0.027042004,4.40%,-0.000811048,-70.6347655,6.673017909,"61,225,979,786",0.865,4,1.009687242,34.838287,0.009640621
2/11/15,,,12.9,0.008289099,-0.027042004,4.40%,0.019126425,2.114551268,9.115439365,"61,225,979,786",0.865,4,1.007595422,35.102898,0.007566722
