Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,Short Term Mean Reversion,momentum,Long Term Mean Reversion,Size,P/B Ratio,Sector Index,Normal Return,Adj Close,Log Returns
1/2/15,,,1.7,0.04889744,1.147124245,0.00%,-0.237232373,-3.794962109,2.058465192,"11,760,000,000",2.99,1,0.201853659,0.000264,-1.600212307
1/5/15,,,1.7,0.04889744,1.147124245,0.00%,-0.237232373,-3.794962109,2.058465192,"11,760,000,000",2.99,1,1,0.000264,-1.600212307
1/6/15,,,1.7,0.04889744,1.147124245,0.00%,-0.237232373,-3.794962109,2.058465192,"11,760,000,000",2.99,1,1,0.000264,-1.600212307
1/7/15,,,1.7,0.04889744,1.147124245,0.00%,-0.237232373,-3.794962109,2.058465192,"11,760,000,000",2.99,1,1,0.000264,-1.600212307
1/8/15,,,1.7,0.04889744,1.147124245,0.00%,-0.237232373,-3.794962109,2.058465192,"11,760,000,000",2.99,1,1,0.000264,-1.600212307
1/9/15,,,1.7,0.04889744,1.147124245,0.00%,-0.237232373,-3.794962109,2.058465192,"11,760,000,000",2.99,1,1,0.000264,-1.600212307
1/12/15,,,1.7,0.04889744,1.147124245,0.00%,-0.237232373,-3.794962109,2.058465192,"11,760,000,000",2.99,1,1,0.000264,-1.600212307
1/13/15,,,1.7,0.04889744,1.147124245,0.00%,-0.237232373,-3.794962109,2.08717424,"11,760,000,000",2.99,1,1,0.000264,-1.600212307
1/14/15,,,1.7,0.04889744,1.147124245,0.00%,-0.237232373,-3.794962109,2.08717424,"11,760,000,000",2.99,1,1,0.000264,-1.600212307
1/15/15,,,1.7,0.04889744,1.147124245,0.00%,-0.237232373,-3.794962109,2.08717424,"11,760,000,000",2.99,1,1,0.000264,-1.600212307
1/16/15,,,1.7,0.04889744,1.147124245,0.00%,-0.237232373,-3.794962109,2.08717424,"11,760,000,000",2.99,1,1,0.000264,-1.600212307
1/20/15,,,1.7,0.04889744,1.147124245,0.00%,-0.237232373,-3.794962109,2.08717424,"11,760,000,000",2.99,1,1.522474625,0.000402,0.420337054
1/21/15,,,1.7,0.04889744,1.147124245,0.00%,-0.237232373,-3.794962109,2.08717424,"11,760,000,000",2.99,1,1.016695238,0.000409,0.016557405
1/22/15,,,1.7,0.04889744,1.147124245,0.00%,-0.237232373,-3.794962109,2.08717424,"11,760,000,000",2.99,1,1,0.000409,0.016557405
1/23/15,,,1.7,0.04889744,1.147124245,0.00%,-0.237232373,-3.794962109,2.08717424,"11,760,000,000",2.99,1,1,0.000409,0.016557405
1/26/15,,,1.7,0.04889744,1.147124245,0.00%,-0.237232373,-3.794962109,2.08717424,"11,760,000,000",2.99,1,1,0.000409,0.016557405
1/27/15,,,1.7,0.04889744,1.147124245,0.00%,-0.237232373,-3.794962109,2.08717424,"11,760,000,000",2.99,1,1,0.000409,0.016557405
1/28/15,,,1.7,0.04889744,1.147124245,0.00%,-0.237232373,-3.794962109,2.08717424,"11,760,000,000",2.99,1,1,0.000409,0.016557405
1/29/15,,,1.7,0.04889744,1.147124245,0.00%,-0.237232373,-3.794962109,2.08717424,"11,760,000,000",2.99,1,1,0.000409,0.016557405
1/30/15,,,1.7,0.04889744,1.147124245,0.00%,-0.237232373,-3.794962109,1.899101846,"11,760,000,000",2.99,1,1,0.000409,0.016557405
2/2/15,,,1.7,0.04889744,1.147124245,0.00%,-0.237232373,-3.794962109,1.899101846,"11,760,000,000",2.99,1,1,0.000409,0.016557405
2/3/15,,,1.7,0.04889744,1.147124245,0.00%,-0.237232373,-3.794962109,1.899101846,"11,760,000,000",2.99,1,1,0.000409,0.016557405
2/4/15,,,1.7,0.04889744,1.147124245,0.00%,-0.237232373,-3.794962109,1.899101846,"11,760,000,000",2.99,1,1,0.000409,0.016557405
2/5/15,,,1.7,0.04889744,1.147124245,0.00%,-0.237232373,-3.794962109,4.236797451,"11,760,000,000",2.99,1,1,0.000409,0.016557405
2/6/15,,,1.7,0.04889744,1.147124245,0.00%,-0.237232373,-3.794962109,4.236797451,"11,760,000,000",2.99,1,1,0.000409,0.016557405
2/9/15,,,1.7,0.04889744,1.147124245,0.00%,-0.237232373,-3.794962109,4.236797451,"11,760,000,000",2.99,1,1,0.000409,0.016557405
2/10/15,,,1.7,0.04889744,1.147124245,0.00%,-0.237232373,-3.794962109,4.236797451,"11,760,000,000",2.99,1,1,0.000409,0.016557405
