Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,Short Term Mean Reversion,,Long Term Mean Reversion,Size,P/B Ratio,Sector Index,Normal Return,Adj Close,Log Returns
1/2/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
1/5/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
1/6/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
1/7/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
1/8/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
1/9/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
1/12/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
1/13/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
1/14/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
1/15/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
1/16/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
1/20/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
1/21/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
1/22/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
1/23/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
1/26/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
1/27/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
1/28/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
1/29/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
1/30/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
2/2/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
2/3/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
2/4/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
2/5/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
2/6/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
2/9/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
2/10/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
2/11/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
2/12/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
2/13/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
2/17/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
2/18/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
2/19/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
2/20/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
2/23/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
2/24/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,,,
2/25/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,0.407797144,17.049999,-0.896985424
2/26/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,1.043988272,17.799999,0.043048256
2/27/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,1.106741691,19.700001,0.101420285
3/2/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,1.097969437,21.629999,0.093462507
3/3/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,0.920480856,19.91,-0.082859076
3/4/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,1.019588096,20.299999,0.019398719
3/5/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,0.972413841,19.74,-0.027973803
3/6/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,0.937183384,18.5,-0.064876302
3/9/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,1.008108108,18.65,0.008075414
3/10/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,1.012332386,18.879999,0.012256962
3/11/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,0.989406832,18.68,-0.010649675
3/12/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,1.005353373,18.780001,0.005339094
3/13/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,1.076144724,20.209999,0.073384955
3/16/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,0.989114349,19.99,-0.010945333
3/17/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,0.913956978,18.27,-0.089971778
3/18/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,1.023535906,18.700001,0.023263207
3/19/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,0.939037329,17.559999,-0.062900046
3/20/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,0.9965832,17.5,-0.00342265
3/23/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,1,17.5,0
3/24/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,0.982285771,17.190001,-0.017873003
3/25/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,1.029086677,17.690001,0.028671687
3/26/15,,,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,1.005652911,17.790001,0.005636993
3/27/15,0.786018458,0.787064228,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,1.026981393,18.27,0.026623813
3/30/15,0.776315781,0.697059104,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,1.061850027,19.4,0.060012696
3/31/15,0.708552978,0.629204189,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,0.952061804,18.469999,-0.049125326
4/1/15,0.647474328,0.64746727,1.1,-0.537051691,0.216614907,0.00%,,,,"262,187,343",1.627,9,1.002707147,18.52,0.002703489
