Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,STMR,momentum,ltmr,Size,P/B Ratio,Sector Index,Normal Return,Adj Close,Log Returns
1/2/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
1/5/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
1/6/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
1/7/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
1/8/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
1/9/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
1/12/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
1/13/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
1/14/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
1/15/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
1/16/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
1/20/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
1/21/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
1/22/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
1/23/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
1/26/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
1/27/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
1/28/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
1/29/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
1/30/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
2/2/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
2/3/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
2/4/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
2/5/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
2/6/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
2/9/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
2/10/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
2/11/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
2/12/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
2/13/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
2/17/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
2/18/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
2/19/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
2/20/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
2/23/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
2/24/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
2/25/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
2/26/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
2/27/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
3/2/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
3/3/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
3/4/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
3/5/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
3/6/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
3/9/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
3/10/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
3/11/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
3/12/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
3/13/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
3/16/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
3/17/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
3/18/15,,,1.2,0.047574771,0.120701633,0.00%,,,,,,5,,,
