Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,Short Term Mean Reversion,momentum,Long Term Mean Reversion,Size,P/B Ratio,Sector Index,Normal Return,Adj Close,Log Returns
1/2/15,,,2.3,130.0708104,-0.119196119,3.70%,0.000219494,653.5089025,2.820854329,"213,040,000,000",3.13,8,0.64999283,73.138329,-0.4307939
1/5/15,,,2.3,130.0708104,-0.119196119,3.70%,0.004877012,30.14635264,2.706453798,"213,040,000,000",3.13,8,0.99524547,72.790581,-0.0047659
1/6/15,,,2.3,130.0708104,-0.119196119,3.70%,-0.006312419,-22.71341388,2.771367491,"213,040,000,000",3.13,8,0.99544491,72.459015,-0.0045655
1/7/15,,,2.3,130.0708104,-0.119196119,3.70%,-0.008668021,-15.7419458,2.896201384,"213,040,000,000",3.13,8,1.00524556,72.839104,0.00523185
1/8/15,,,2.3,130.0708104,-0.119196119,3.70%,-0.007631404,-17.30453516,3.000294766,"213,040,000,000",3.13,8,1.01143553,73.672035,0.01137064
1/9/15,,,2.3,130.0708104,-0.119196119,3.70%,0.004290094,36.83534638,2.608703924,"213,040,000,000",3.13,8,0.99066962,72.984657,-0.0093742
1/12/15,,,2.3,130.0708104,-0.119196119,3.70%,0.002773796,52.78399926,2.818890774,"213,040,000,000",3.13,8,0.99634347,72.717796,-0.0036632
1/13/15,,,2.3,130.0708104,-0.119196119,3.70%,-0.005434422,-26.54232421,2.822192828,"213,040,000,000",3.13,8,1.00422603,73.025085,0.00421713
1/14/15,,,2.3,130.0708104,-0.119196119,3.70%,0.008340238,18.23417141,2.7045206,"213,040,000,000",3.13,8,0.99656694,72.774384,-0.003439
1/15/15,,,2.3,130.0708104,-0.119196119,3.70%,0.008817756,15.64426811,2.907215824,"213,040,000,000",3.13,8,0.99855543,72.669258,-0.0014456
1/16/15,,,2.3,130.0708104,-0.119196119,3.70%,0.005579484,24.64227471,2.873780978,"213,040,000,000",3.13,8,1.0154685,73.793358,0.01535008
1/20/15,,,2.3,130.0708104,-0.119196119,3.70%,0.006045175,25.75477279,2.631557631,"213,040,000,000",3.13,8,0.99934249,73.744827,-0.0006577
1/21/15,,,2.3,130.0708104,-0.119196119,3.70%,-0.008843263,-18.48989822,2.487828479,"213,040,000,000",3.13,8,0.9949556,73.894714,-0.0050572
1/22/15,,,2.3,130.0708104,-0.119196119,3.70%,-0.007357082,-21.99143733,2.64266064,"213,040,000,000",3.13,8,1.00980932,74.619537,0.00976152
1/23/15,,,2.3,130.0708104,-0.119196119,3.70%,-0.003552376,-49.52641624,2.529591602,"213,040,000,000",3.13,8,0.98319143,73.365311,-0.0169514
1/26/15,,,2.3,130.0708104,-0.119196119,3.70%,-0.027927312,-6.143072226,2.452102911,"213,040,000,000",3.13,8,0.99444938,72.958069,-0.0055661
1/27/15,,,2.3,130.0708104,-0.119196119,3.70%,-0.031884417,-4.831533834,2.712673828,"213,040,000,000",3.13,8,0.96550565,70.441429,-0.0351033
1/28/15,,,2.3,130.0708104,-0.119196119,3.70%,-0.07041729,-1.817096492,3.052107196,"213,040,000,000",3.13,8,0.98450693,69.35006,-0.0156143
1/29/15,,,2.3,130.0708104,-0.119196119,3.70%,-0.077219196,-1.349634764,3.761502032,"213,040,000,000",3.13,8,1.00610682,69.77359,0.00608825
1/30/15,,,2.3,130.0708104,-0.119196119,3.70%,-0.068536855,-1.883110005,3.105445238,"213,040,000,000",3.13,8,0.98389171,68.649658,-0.0162394
2/2/15,,,2.3,130.0708104,-0.119196119,3.70%,-0.070497465,-1.741758271,3.109905192,"213,040,000,000",3.13,8,1.00984698,69.325645,0.00979881
2/3/15,,,2.3,130.0708104,-0.119196119,3.70%,-0.053537356,-2.537406711,2.870335128,"213,040,000,000",3.13,8,1.00975087,70.00164,0.00970364
2/4/15,,,2.3,130.0708104,-0.119196119,3.70%,-0.039067991,-4.034761444,2.590569826,"213,040,000,000",3.13,8,0.9981385,69.87133,-0.0018632
2/5/15,,,2.3,130.0708104,-0.119196119,3.70%,-0.036365142,-4.142093334,2.620819523,"213,040,000,000",3.13,8,1.01060725,70.61248,0.01055139
2/6/15,,,2.3,130.0708104,-0.119196119,3.70%,-0.031046157,-5.039559925,2.571487312,"213,040,000,000",3.13,8,0.98742796,69.724716,-0.0126517
2/9/15,,,2.3,130.0708104,-0.119196119,3.70%,-0.055068512,-2.50484751,2.831870121,"213,040,000,000",3.13,8,0.99345873,69.268646,-0.0065628
2/10/15,,,2.3,130.0708104,-0.119196119,3.70%,-0.05225667,-2.412291573,2.996982585,"213,040,000,000",3.13,8,1.0039976,69.545563,0.00398963
2/11/15,,,2.3,130.0708104,-0.119196119,3.70%,-0.044604361,-2.707758315,3.181756463,"213,040,000,000",3.13,8,1.00292774,69.749168,0.00292347
2/12/15,,,2.3,130.0708104,-0.119196119,3.70%,-0.045897954,-2.470136964,3.367122983,"213,040,000,000",3.13,8,1.00455395,70.066803,0.00454361
2/13/15,,,2.3,130.0708104,-0.119196119,3.70%,-0.03791533,-3.565561679,2.828651308,"213,040,000,000",3.13,8,0.99848893,69.960922,-0.0015122
2/17/15,0.167143827,0.828078828,2.3,130.0708104,-0.119196119,3.70%,-0.037981815,-3.414382565,2.928700357,"213,040,000,000",3.13,8,0.99522696,69.626984,-0.0047845
