Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,Short Term Mean Reversion,momentum,Long Term Mean Reversion,Size,P/B Ratio,Sector Index,Normal Return,Adj Close,Log Returns
1/2/15,,,2.2,0.046026437,0.218040737,4.40%,0.024560695,7.938324703,2.645681929,"21,923,698,940",1.641,10,0.43578164,35.395031,-0.830614
1/5/15,,,2.2,0.046026437,0.218040737,4.40%,0.027857588,6.654506702,2.640573409,"21,923,698,940",1.641,10,0.99930928,35.370575,-0.000691
1/6/15,,,2.2,0.046026437,0.218040737,4.40%,0.03036805,6.076832159,2.755290166,"21,923,698,940",1.641,10,1.00345615,35.492825,0.00345019
1/7/15,,,2.2,0.046026437,0.218040737,4.40%,0.040255919,4.739627916,2.79132074,"21,923,698,940",1.641,10,1.01515499,36.03072,0.0150413
1/8/15,,,2.2,0.046026437,0.218040737,4.40%,0.036983959,5.20091467,2.629742906,"21,923,698,940",1.641,10,1.00022624,36.038879,0.00022621
1/9/15,,,2.2,0.046026437,0.218040737,4.40%,0.041705568,4.881516422,2.425145885,"21,923,698,940",1.641,10,0.99841703,35.981823,-0.0015842
1/12/15,,,2.2,0.046026437,0.218040737,4.40%,0.046938308,4.325519648,2.465109594,"21,923,698,940",1.641,10,1.01019243,36.348568,0.01014084
1/13/15,,,2.2,0.046026437,0.218040737,4.40%,0.042052498,4.892482019,2.35927715,"21,923,698,940",1.641,10,0.98004486,35.623219,-0.0201569
1/14/15,,,2.2,0.046026437,0.218040737,4.40%,0.057185552,3.379562157,2.345788273,"21,923,698,940",1.641,10,1.00022883,35.631374,0.0002288
1/15/15,,,2.2,0.046026437,0.218040737,4.40%,0.056392617,3.309717746,2.401867554,"21,923,698,940",1.641,10,1.00114362,35.672127,0.00114297
1/16/15,,,2.2,0.046026437,0.218040737,4.40%,0.040916329,4.916619089,2.18004012,"21,923,698,940",1.641,10,1.00868179,35.981823,0.00864432
1/20/15,,,2.2,0.046026437,0.218040737,4.40%,0.027753993,7.295245442,2.056052254,"21,923,698,940",1.641,10,0.99297844,35.729172,-0.0070463
