Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,Short Term Mean Reversion,momentum,Long Term Mean Reversion,Size,P/B Ratio,Sector Index,Normal Return,Adj Close,Log Returns
1/2/15,,,3.302728089,-0.198270929,-0.024121764,0%,,,,,,5,,,
1/5/15,,,3.302728089,-0.198270929,-0.024121764,0%,,,,,,5,,,
1/6/15,,,3.302728089,-0.198270929,-0.024121764,0%,,,,,,5,,,
1/7/15,,,3.302728089,-0.198270929,-0.024121764,0%,,,,,,5,,,
1/8/15,,,3.302728089,-0.198270929,-0.024121764,0%,,,,,,5,,,
1/9/15,,,3.302728089,-0.198270929,-0.024121764,0%,,,,,,5,,,
1/12/15,,,3.302728089,-0.198270929,-0.024121764,0%,,,,,,5,,,
1/13/15,,,3.302728089,-0.198270929,-0.024121764,0%,,,,,,5,,,
1/14/15,,,3.302728089,-0.198270929,-0.024121764,0%,,,,,,5,,,
1/15/15,,,3.302728089,-0.198270929,-0.024121764,0%,,,,,,5,,,
1/16/15,,,3.302728089,-0.198270929,-0.024121764,0%,,,,,,5,,,
1/20/15,,,3.302728089,-0.198270929,-0.024121764,0%,,,,,,5,,,
1/21/15,,,3.302728089,-0.198270929,-0.024121764,0%,,,,,,5,,,
1/22/15,,,3.302728089,-0.198270929,-0.024121764,0%,,,,,,5,,,
1/23/15,,,3.302728089,-0.198270929,-0.024121764,0%,,,,,,5,,,
1/26/15,,,3.302728089,-0.198270929,-0.024121764,0%,,,,,,5,,,
1/27/15,,,3.302728089,-0.198270929,-0.024121764,0%,,,,,,5,,,
1/28/15,,,3.302728089,-0.198270929,-0.024121764,0%,,,,,,5,,,
1/29/15,,,3.302728089,-0.198270929,-0.024121764,0%,,,,,,5,,,
1/30/15,,,3.302728089,-0.198270929,-0.024121764,0%,,,,,,5,,,
2/2/15,,,3.302728089,-0.198270929,-0.024121764,0%,,,,,,5,,,
2/3/15,,,3.302728089,-0.198270929,-0.024121764,0%,,,,,,5,,,
2/4/15,,,3.302728089,-0.198270929,-0.024121764,0%,,,,,,5,,,
