Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,Short Term Mean Reversion,momentum,Long Term Mean Reversion,Size,P/B Ratio,Sector Index,Normal Return,Adj Close,Log Returns
1/2/15,,,3.3,0.110368374,0.288462874,1.90%,-0.000198348,-1600.738695,2.216876282,"96,439,860,000",2.958,9,0.287384513,90.38269,-1.246934193
1/5/15,,,3.3,0.110368374,0.288462874,1.90%,-0.005533387,-53.09805921,2.316373093,"96,439,860,000",2.958,9,0.983528517,88.893959,-0.016608646
1/6/15,,,3.3,0.110368374,0.288462874,1.90%,-0.014153415,-21.43013699,2.225292433,"96,439,860,000",2.958,9,0.997982193,88.714592,-0.002019845
1/7/15,,,3.3,0.110368374,0.288462874,1.90%,9.99E-05,2834.955324,2.421907526,"96,439,860,000",2.958,9,1.010210291,89.620392,0.010158518
1/8/15,,,3.3,0.110368374,0.288462874,1.90%,0.035780834,9.549253381,2.150480086,"96,439,860,000",2.958,9,1.047733383,93.898277,0.046629148
1/9/15,,,3.3,0.110368374,0.288462874,1.90%,0.045666494,7.143339742,2.200991146,"96,439,860,000",2.958,9,0.990639962,93.019386,-0.009404119
1/12/15,,,3.3,0.110368374,0.288462874,1.90%,0.027883981,11.94851623,2.128893127,"96,439,860,000",2.958,9,0.988719649,91.97007,-0.011344457
1/13/15,,,3.3,0.110368374,0.288462874,1.90%,0.0427155,8.157607318,2.059272935,"96,439,860,000",2.958,9,1.005070668,92.436401,0.005057855
1/14/15,,,3.3,0.110368374,0.288462874,1.90%,0.050209076,6.968741898,2.011215487,"96,439,860,000",2.958,9,1.002522577,92.669617,0.002519401
1/15/15,,,3.3,0.110368374,0.288462874,1.90%,0.086019744,4.065965497,2.023441726,"96,439,860,000",2.958,9,1.010935807,93.683029,0.010876444
1/16/15,,,3.3,0.110368374,0.288462874,1.90%,0.064733904,6.030882367,1.922789757,"96,439,860,000",2.958,9,1.012540666,94.85788,0.012462684
1/20/15,,,3.3,0.110368374,0.288462874,1.90%,0.032524888,12.06113869,1.912370719,"96,439,860,000",2.958,9,0.998581885,94.723373,-0.001419121
1/21/15,,,3.3,0.110368374,0.288462874,1.90%,0.064513872,6.478174479,1.870097805,"96,439,860,000",2.958,9,1.035031215,98.041656,0.034431585
1/22/15,,,3.3,0.110368374,0.288462874,1.90%,0.099764598,4.563340455,1.852523917,"96,439,860,000",2.958,9,1.041437962,102.104294,0.040602414
1/23/15,,,3.3,0.110368374,0.288462874,1.90%,0.085227402,5.181496422,1.862143189,"96,439,860,000",2.958,9,0.983750566,100.445137,-0.016382904
1/26/15,,,3.3,0.110368374,0.288462874,1.90%,0.08339312,5.518647717,1.831277741,"96,439,860,000",2.958,9,0.996517866,100.09539,-0.003488211
1/27/15,,,3.3,0.110368374,0.288462874,1.90%,0.070220907,6.33828004,1.831418328,"96,439,860,000",2.958,9,0.985664376,98.660469,-0.014439372
1/28/15,,,3.3,0.110368374,0.288462874,1.90%,0.058178516,7.391953581,1.860138353,"96,439,860,000",2.958,9,0.985910345,97.27037,-0.014189857
1/29/15,,,3.3,0.110368374,0.288462874,1.90%,0.061647714,7.21658794,1.785841542,"96,439,860,000",2.958,9,1.00857459,98.104416,0.008538037
1/30/15,,,3.3,0.110368374,0.288462874,1.90%,0.049783798,7.921866795,1.869724353,"96,439,860,000",2.958,9,0.971295374,95.288345,-0.029124661
2/2/15,,,3.3,0.110368374,0.288462874,1.90%,0.062595325,6.570612717,1.849631824,"96,439,860,000",2.958,9,1.009788245,96.221054,0.00974065
2/3/15,,,3.3,0.110368374,0.288462874,1.90%,0.084039176,5.20781627,1.803356696,"96,439,860,000",2.958,9,1.004846649,96.687408,0.004834942
2/4/15,,,3.3,0.110368374,0.288462874,1.90%,0.087078804,5.075140759,1.789096041,"96,439,860,000",2.958,9,1.001020314,96.786064,0.001019793
