Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,Short Term Mean Reversion,momentum,Long Term Mean Reversion,Size,P/B Ratio,Sector Index,Normal Return,Adj Close,Log Returns
1/2/15,,,1.1,-0.021906578,-0.160128102,0.00%,0.105360516,-0.904610035,14.54508179,"45,846,239",0.41,1,0.15690377,1.5,-1.8521226
1/5/15,,,1.1,-0.021906578,-0.160128102,0.00%,-4.16E-16,4.37922E+14,7.322233806,"45,846,239",0.41,1,1,1.5,0
1/6/15,,,1.1,-0.021906578,-0.160128102,0.00%,0.200670695,-0.433602808,14.54598717,"45,846,239",0.41,1,1.1,1.65,0.09531018
1/7/15,,,1.1,-0.021906578,-0.160128102,0.00%,0.105360516,-1.730454295,7.464704542,"45,846,239",0.41,1,0.90909091,1.5,-0.0953102
1/8/15,,,1.1,-0.021906578,-0.160128102,0.00%,-4.72E-16,-2.01995E+14,-13.54508179,"45,846,239",0.41,1,1.1,1.65,0.09531018
1/9/15,,,1.1,-0.021906578,-0.160128102,0.00%,0.09531018,1,-13.80415814,"45,846,239",0.41,1,1,1.65,0
1/12/15,,,1.1,-0.021906578,-0.160128102,0.00%,0.09531018,1,-13.54508179,"45,846,239",0.41,1,1,1.65,0
1/13/15,,,1.1,-0.021906578,-0.160128102,0.00%,0.336472237,0.716736867,-4.353181169,"45,846,239",0.41,1,1.27272727,2.1,0.24116206
1/14/15,,,1.1,-0.021906578,-0.160128102,0.00%,0.182321557,0.477241301,-12.9409659,"45,846,239",0.41,1,0.85714286,1.8,-0.1541507
1/15/15,,,1.1,-0.021906578,-0.160128102,0.00%,0.287682072,0.302456723,-13.2474574,"45,846,239",0.41,1,1,1.8,0
1/16/15,,,1.1,-0.021906578,-0.160128102,0.00%,0.182321557,0.477241301,-13.83695841,"45,846,239",0.41,1,1,1.8,0
1/20/15,,,1.1,-0.021906578,-0.160128102,0.00%,0.441832752,0.167728562,-14.16611593,"45,846,239",0.41,1,1.16666667,2.1,0.15415068
1/21/15,,,1.1,-0.021906578,-0.160128102,0.00%,0.441832752,0.34888921,-6.970548156,"45,846,239",0.41,1,1,2.1,0
1/22/15,,,1.1,-0.021906578,-0.160128102,0.00%,0.441832752,0.545822046,-4.65306525,"45,846,239",0.41,1,1,2.1,0
1/23/15,,,1.1,-0.021906578,-0.160128102,0.00%,0.336472237,0.716736867,-4.841579043,"45,846,239",0.41,1,1,2.1,0
1/26/15,,,1.1,-0.021906578,-0.160128102,0.00%,0.182321557,3.04E-16,-2.50E+16,"45,846,239",0.41,1,0.85714286,1.8,-0.1541507
1/27/15,,,1.1,-0.021906578,-0.160128102,0.00%,0.287682072,1.93E-16,-2.46E+16,"45,846,239",0.41,1,1,1.8,0
1/28/15,,,1.1,-0.021906578,-0.160128102,0.00%,0.287682072,1.93E-16,-2.46E+16,"45,846,239",0.41,1,1,1.8,0
1/29/15,,,1.1,-0.021906578,-0.160128102,0.00%,0.09531018,-0.912928474,16.93233447,"45,846,239",0.41,1,0.91666667,1.65,-0.0870114
1/30/15,,,1.1,-0.021906578,-0.160128102,0.00%,0.182321557,0.477241301,-15.93233447,"45,846,239",0.41,1,1.09090909,1.8,0.08701138
2/2/15,,,1.1,-0.021906578,-0.160128102,0.00%,0.405465108,0.764936174,-3.750225141,"45,846,239",0.41,1,1.25,2.25,0.22314355
2/3/15,,,1.1,-0.021906578,-0.160128102,0.00%,0.405465108,0.550339713,-5.304971127,"45,846,239",0.41,1,1,2.25,0
2/4/15,,,1.1,-0.021906578,-0.160128102,0.00%,0.310154928,1,-3.750225141,"45,846,239",0.41,1,1,2.25,0
2/5/15,,,1.1,-0.021906578,-0.160128102,0.00%,0.405465108,0.550339713,-5.021839927,"45,846,239",0.41,1,1,2.25,0
2/6/15,,,1.1,-0.021906578,-0.160128102,0.00%,0.374693449,1,-2.818444453,"45,846,239",0.41,1,1.06666667,2.4,0.06453852
2/9/15,,,1.1,-0.021906578,-0.160128102,0.00%,0.492476485,1.193532448,-1.596275817,"45,846,239",0.41,1,1.125,2.7,0.11778304
2/10/15,,,1.1,-0.021906578,-0.160128102,0.00%,0.374693449,0.767779829,-3.670901927,"45,846,239",0.41,1,0.88888889,2.4,-0.117783
2/11/15,,,1.1,-0.021906578,-0.160128102,0.00%,0.133531393,2.154415279,-3.670901927,"45,846,239",0.41,1,1,2.4,0
2/12/15,,,1.1,-0.021906578,-0.160128102,0.00%,0.287682072,1,-3.670901927,"45,846,239",0.41,1,1,2.4,0
2/13/15,,,1.1,-0.021906578,-0.160128102,0.00%,0.287682072,0.464163065,-7.744049899,"45,846,239",0.41,1,1,2.4,0
2/17/15,1.54755446,-0.503891175,1.1,-0.021906578,-0.160128102,0.00%,0.223143551,0.309186042,-16.24213011,"45,846,239",0.41,1,0.9375,2.25,-0.0645385
2/18/15,1.566222096,-0.671322664,1.1,-0.021906578,-0.160128102,0.00%,2.08E-16,-3.31431E+14,16.92356232,"45,846,239",0.41,1,0.93333333,2.1,-0.0689929
2/19/15,1.546152217,-0.29928126,1.1,-0.021906578,-0.160128102,0.00%,2.08E-16,2.066666667,-2.71403E+15,"45,846,239",0.41,1,1,2.1,0
2/20/15,1.535838923,0.014596887,1.1,-0.021906578,-0.160128102,0.00%,-0.074107972,1.930977727,8.677189461,"45,846,239",0.41,1,0.92857143,1.95,-0.074108
2/23/15,1.525909059,-0.734310887,1.1,-0.021906578,-0.160128102,0.00%,2.91E-16,1.761904762,-2.23015E+15,"45,846,239",0.41,1,1.07692308,2.1,0.07410797
2/24/15,1.525909059,-0.831916891,1.1,-0.021906578,-0.160128102,0.00%,0.15415068,-0.447567741,16.5978351,"45,846,239",0.41,1,1,2.1,0
2/25/15,1.525909059,-0.912701155,1.1,-0.021906578,-0.160128102,0.00%,0.15415068,-0.447567741,15.92356232,"45,846,239",0.41,1,1,2.1,0
2/26/15,1.310984237,-0.295240496,1.1,-0.021906578,-0.160128102,0.00%,0.15415068,3.33E-15,-2.18538E+15,"45,846,239",0.41,1,1,2.1,0
2/27/15,1.235933798,-0.900713398,1.1,-0.021906578,-0.160128102,0.00%,0.241162057,0.307295323,-15.4522148,"45,846,239",0.41,1,1,2.1,0
3/2/15,1.235933798,-1.024629079,1.1,-0.021906578,-0.160128102,0.00%,0.15415068,3.33E-15,-2.27391E+15,"45,846,239",0.41,1,1,2.1,0
3/3/15,1.257079473,-0.752126857,1.1,-0.021906578,-0.160128102,0.00%,-0.143100844,1,8.677189461,"45,846,239",0.41,1,0.92857143,1.95,-0.074108
3/4/15,1.181790419,-1.050339524,1.1,-0.021906578,-0.160128102,0.00%,-0.068992871,-1.074139553,-15.4522148,"48,948,016",0.459,1,1.07692308,2.1,0.07410797
3/5/15,1.198455504,-1.058497658,1.1,-0.021906578,-0.160128102,0.00%,2.78E-16,5.15575E+14,-7.026666231,"48,948,016",0.459,1,1.07142857,2.25,0.06899287
3/6/15,1.263764679,0.175434481,1.1,-0.021906578,-0.160128102,0.00%,-0.143100844,0.517872364,16.14199827,"48,948,016",0.459,1,0.86666667,1.95,-0.1431008
3/9/15,1.283542889,0.009162949,1.1,-0.021906578,-0.160128102,0.00%,-0.287682072,0.535836935,8.428655557,"48,948,016",0.459,1,0.92307692,1.8,-0.0800427
3/10/15,1.307863167,1.564632853,1.1,-0.021906578,-0.160128102,0.00%,-0.587786665,0.572439384,4.265090456,"48,948,016",0.459,1,0.83333333,1.5,-0.1823216
3/11/15,1.341440087,1.583614222,1.1,-0.021906578,-0.160128102,0.00%,-0.374693449,0.445842021,8.020003511,"48,948,016",0.459,1,1.1,1.65,0.09531018
3/12/15,1.341440087,1.614100863,1.1,-0.021906578,-0.160128102,0.00%,-0.374693449,0.445842021,7.875753512,"48,948,016",0.459,1,1,1.65,0
3/13/15,1.317728034,2.059655437,1.1,-0.021906578,-0.160128102,0.00%,-0.374693449,0.445842021,7.727941426,"48,948,016",0.459,1,1,1.65,0
3/16/15,1.317728034,3.475272438,1.1,-0.021906578,-0.160128102,0.00%,-0.287682072,0.278233214,14.7253264,"48,948,016",0.459,1,1.09090909,1.8,0.08701138
