Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,STMR,momentum,ltmr,Size,P/B Ratio,Sector Index,Normal Return,Adj Close,Log Returns
1/2/15,,,2,0.096445962,-0.036337625,5.10%,-0.022580517,1.945797684,-3.553362544,"388,380,000,000",2.15,7,2.2520621,66.025826,0.81184629
1/5/15,,,2,0.096445962,-0.036337625,5.10%,-0.044196645,1.567346945,-1.897003317,"388,380,000,000",2.15,7,0.97263815,64.219261,-0.0277432
1/6/15,,,2,0.096445962,-0.036337625,5.10%,-0.043681959,1.742327549,-1.754980422,"388,380,000,000",2.15,7,0.99468376,63.877872,-0.0053304
1/7/15,,,2,0.096445962,-0.036337625,5.10%,-0.010744285,7.452828047,-1.73831023,"388,380,000,000",2.15,7,1.01013254,64.525093,0.01008155
1/8/15,,,2,0.096445962,-0.036337625,5.10%,0.009258619,-6.512605424,-2.539625292,"388,380,000,000",2.15,7,1.01664464,65.599113,0.01650764
1/9/15,,,2,0.096445962,-0.036337625,5.10%,0.037952965,-1.368346801,-3.065825635,"388,380,000,000",2.15,7,0.99859043,65.506622,-0.0014106
1/12/15,,,2,0.096445962,-0.036337625,5.10%,0.012589003,-6.269513647,-1.822146423,"388,380,000,000",2.15,7,0.9807818,64.247719,-0.0194053
1/13/15,,,2,0.096445962,-0.036337625,5.10%,0.038510167,-1.630576729,-2.205726028,"388,380,000,000",2.15,7,0.99634671,64.013,-0.00366
1/14/15,,,2,0.096445962,-0.036337625,5.10%,0.032158264,-2.221979504,-1.764952835,"388,380,000,000",2.15,7,0.99711109,63.828083,-0.0028931
1/15/15,,,2,0.096445962,-0.036337625,5.10%,0.029083427,-2.63890796,-1.414425744,"388,380,000,000",2.15,7,0.99130823,63.2733,-0.0087298
1/16/15,,,2,0.096445962,-0.036337625,5.10%,0.023316807,-2.332044487,-2.314614051,"388,380,000,000",2.15,7,1.02428062,64.809601,0.02399053
1/20/15,,,2,0.096445962,-0.036337625,5.10%,-0.000768547,74.0703707,-2.112507628,"388,380,000,000",2.15,7,0.99967069,64.788277,-0.0003294
1/21/15,,,2,0.096445962,-0.036337625,5.10%,-0.019083526,2.186289205,-3.092189005,"388,380,000,000",2.15,7,1.00856304,65.343056,0.00852658
1/22/15,,,2,0.096445962,-0.036337625,5.10%,-0.004941076,4.974913363,-5.823904071,"388,380,000,000",2.15,7,1.01088495,66.054306,0.01082613
1/23/15,,,2,0.096445962,-0.036337625,5.10%,-0.039901541,0.922052353,-3.292918585,"388,380,000,000",2.15,7,0.97867983,64.646011,-0.0215507
1/26/15,,,2,0.096445962,-0.036337625,5.10%,-0.021775033,0.236975107,-26.32676474,"388,380,000,000",2.15,7,1.00957204,65.264816,0.00952652
1/27/15,,,2,0.096445962,-0.036337625,5.10%,-0.024544629,0.601536354,-9.338309344,"388,380,000,000",2.15,7,0.99117257,64.688698,-0.0088666
1/28/15,,,2,0.096445962,-0.036337625,5.10%,-0.056583186,0.989111642,-1.935125098,"388,380,000,000",2.15,7,0.96701484,62.554932,-0.0335414
1/29/15,,,2,0.096445962,-0.036337625,5.10%,-0.060262009,0.904739517,-2.288463669,"388,380,000,000",2.15,7,0.99579312,62.291759,-0.0042158
1/30/15,,,2,0.096445962,-0.036337625,5.10%,-0.055943658,0.79552181,-2.700830995,"388,380,000,000",2.15,7,0.99817305,62.177963,-0.0018286
2/2/15,,,2,0.096445962,-0.036337625,5.10%,-0.035637725,0.012187792,-345.0264876,"388,380,000,000",2.15,7,1.02470835,63.714287,0.02440804
2/3/15,,,2,0.096445962,-0.036337625,5.10%,0.021475987,2.425835277,3.123533774,"388,380,000,000",2.15,7,1.02980574,65.613342,0.02937018
2/4/15,,,2,0.096445962,-0.036337625,5.10%,0.018205583,2.407499493,3.294553093,"388,380,000,000",2.15,7,0.9914363,65.051437,-0.0086006
2/5/15,,,2,0.096445962,-0.036337625,5.10%,0.017916124,3.266435946,2.517618111,"388,380,000,000",2.15,7,1.00984039,65.691559,0.00979229
2/6/15,,,2,0.096445962,-0.036337625,5.10%,-0.00044753,-105.3673079,3.221389803,"388,380,000,000",2.15,7,0.9906886,65.569725,-0.009355
2/9/15,,,2,0.096445962,-0.036337625,5.10%,0.001618754,24.19271656,4.027647729,"388,380,000,000",2.15,7,1.00065572,65.61274,0.0006555
2/10/15,,,2,0.096445962,-0.036337625,5.10%,0.014998451,2.994213862,3.663244201,"388,380,000,000",2.15,7,0.99399305,65.218613,-0.0060251
2/11/15,,,2,0.096445962,-0.036337625,5.10%,0.014143084,1.8210975,5.925805241,"388,380,000,000",2.15,7,0.99549496,64.924805,-0.0045152
2/12/15,,,2,0.096445962,-0.036337625,5.10%,0.036384356,1.167126299,3.98009779,"388,380,000,000",2.15,7,1.01953648,66.193184,0.01934809
2/13/15,,,2,0.096445962,-0.036337625,5.10%,0.055882085,0.883960132,3.771453421,"388,380,000,000",2.15,7,1.01082603,66.909798,0.01076784
2/17/15,0.236964763,1.199001135,2,0.096445962,-0.036337625,5.10%,0.028458281,0.599961496,9.819008631,"388,380,000,000",2.15,7,0.99657278,66.680489,-0.0034331
2/18/15,0.231941953,1.171991261,2,0.096445962,-0.036337625,5.10%,0.006620228,-0.705201302,-30.63571382,"388,380,000,000",2.15,7,0.97807629,65.218613,-0.0221676
2/19/15,0.237007407,1.21937397,2,0.096445962,-0.036337625,5.10%,-0.01930729,1.076957091,-5.510947195,"388,380,000,000",2.15,7,0.98274915,64.093536,-0.0174014
2/20/15,0.235630171,1.23374358,2,0.096445962,-0.036337625,5.10%,-0.024781215,1.22845265,-3.807398935,"388,380,000,000",2.15,7,1.00536668,64.437485,0.00535233
2/23/15,0.231751666,1.264462171,2,0.096445962,-0.036337625,5.10%,-0.013402435,2.763885664,-2.823370811,"388,380,000,000",2.15,7,0.98987994,63.785385,-0.0101716
2/24/15,0.23233265,1.318641248,2,0.096445962,-0.036337625,5.10%,-0.018333269,2.573222457,-2.236549278,"388,380,000,000",2.15,7,1.00460618,64.079201,0.0045956
2/25/15,0.2258285,1.280130801,2,0.096445962,-0.036337625,5.10%,-0.007455715,5.876776147,-2.482721403,"388,380,000,000",2.15,7,1.00201297,64.208168,0.00201095
2/26/15,0.227650062,1.295001593,2,0.096445962,-0.036337625,5.10%,0.015426556,-3.180286886,-2.0210596,"388,380,000,000",2.15,7,0.98939737,63.527412,-0.0106592
2/27/15,0.227543845,1.310298435,2,0.096445962,-0.036337625,5.10%,0.018400518,-2.762133861,-2.071526244,"388,380,000,000",2.15,7,0.99875915,63.448574,-0.0012416
3/2/15,0.226743565,1.320386675,2,0.096445962,-0.036337625,5.10%,0.014566293,-4.185266498,-1.571655561,"388,380,000,000",2.15,7,0.99435283,63.090271,-0.0056632
3/3/15,0.214750603,1.237027774,2,0.096445962,-0.036337625,5.10%,-0.014623798,3.946685421,-1.67731139,"388,380,000,000",2.15,7,0.99522946,62.789303,-0.004782
3/4/15,0.215012668,1.22583929,2,0.096445962,-0.036337625,5.10%,-0.049028733,1.496554547,-1.14381765,"388,380,000,000",2.15,7,0.99497828,62.473984,-0.0050344
3/5/15,0.213157896,1.21363012,2,0.096445962,-0.036337625,5.10%,-0.045487954,1.0958642,-1.849030385,"388,380,000,000",2.15,7,0.99495295,62.158688,-0.0050598
3/6/15,0.211933058,1.182618609,2,0.096445962,-0.036337625,5.10%,-0.068159464,0.914050737,-1.27833129,"388,380,000,000",2.15,7,0.98720312,61.363251,-0.0128795
3/9/15,0.204632886,1.123007386,2,0.096445962,-0.036337625,5.10%,-0.071806916,1.125774084,-1.062091533,"388,380,000,000",2.15,7,0.99451135,61.026443,-0.0055038
3/10/15,0.202979394,1.023835155,2,0.096445962,-0.036337625,5.10%,-0.083087158,1.165253435,-0.841791596,"388,380,000,000",2.15,7,0.98943164,60.381496,-0.0106246
3/11/15,0.202164245,1.077299394,2,0.096445962,-0.036337625,5.10%,-0.079914767,1.050437079,-0.761548216,"388,380,000,000",2.15,7,0.99715161,60.209507,-0.0028525
3/12/15,0.180765881,0.887834907,2,0.096445962,-0.036337625,5.10%,-0.07302199,1.146133186,-0.610673632,"388,380,000,000",2.15,7,1.00238043,60.352844,0.0023776
3/13/15,0.180758998,0.923635277,2,0.096445962,-0.036337625,5.10%,-0.096534228,0.84725038,-0.692795942,"388,380,000,000",2.15,7,0.99584424,60.102009,-0.0041644
3/16/15,0.184056312,1.025542148,2,0.096445962,-0.036337625,5.10%,-0.096746066,0.717503518,-0.956638634,"388,380,000,000",2.15,7,1.01061165,60.739799,0.01055574
3/17/15,0.168142163,0.925353787,2,0.096445962,-0.036337625,5.10%,-0.101368227,0.853555032,-0.627496735,"388,380,000,000",2.15,7,0.99197735,60.252518,-0.008055
3/18/15,0.15871206,0.864787807,2,0.096445962,-0.036337625,5.10%,-0.055808609,1.205149032,-1.060736921,"388,380,000,000",2.15,7,1.02366791,61.678566,0.02339217
3/19/15,0.165317851,0.902571059,2,0.096445962,-0.036337625,5.10%,-0.057882392,1.318736266,-0.738369506,"388,380,000,000",2.15,7,0.98071342,60.488968,-0.019475
3/20/15,0.161590695,0.877877812,2,0.096445962,-0.036337625,5.10%,-0.061695789,1.358606454,-0.772315865,"388,380,000,000",2.15,7,1.00154007,60.582146,0.00153888
3/23/15,0.164940086,0.839809457,2,0.096445962,-0.036337625,5.10%,-0.041051702,1.71708101,-1.179555669,"388,380,000,000",2.15,7,1.01052755,61.219913,0.01047252
3/24/15,0.166467853,0.879588829,2,0.096445962,-0.036337625,5.10%,-0.056355898,1.502788841,-0.824907974,"388,380,000,000",2.15,7,0.98934797,60.567799,-0.0107092
3/25/15,0.167225796,0.775728462,2,0.096445962,-0.036337625,5.10%,-0.054352234,1.53673498,-0.679140074,"388,380,000,000",2.15,7,1.00402276,60.811462,0.00401469
3/26/15,0.167527528,0.780441839,2,0.096445962,-0.036337625,5.10%,-0.050077167,1.751170098,-0.627903941,"388,380,000,000",2.15,7,0.99363657,60.424492,-0.0063838
3/27/15,0.155034169,0.666449474,2,0.096445962,-0.036337625,5.10%,-0.057650314,1.953848082,-0.488820121,"388,380,000,000",2.15,7,0.99122393,59.894199,-0.0088148
3/30/15,0.170211034,0.786798795,2,0.096445962,-0.036337625,5.10%,-0.027755799,3.727672627,-0.741640221,"388,380,000,000",2.15,7,1.02452734,61.363251,0.02423137
3/31/15,0.170712245,0.778703693,2,0.096445962,-0.036337625,5.10%,-0.030358033,3.644641145,-0.558786065,"388,380,000,000",2.15,7,0.9926428,60.911781,-0.0073844
4/1/15,0.161388906,0.789595634,2,0.096445962,-0.036337625,5.10%,-0.03169683,3.707918502,-0.438533467,"388,380,000,000",2.15,7,0.99364705,60.524799,-0.0063732
4/2/15,0.155156863,0.781122295,2,0.096445962,-0.036337625,5.10%,-0.028532906,4.264338131,-0.525895728,"388,380,000,000",2.15,7,0.99810566,60.410149,-0.0018961
4/6/15,0.157511188,0.798708162,2,0.096445962,-0.036337625,5.10%,-0.005856424,19.06837778,-0.749852237,"388,380,000,000",2.15,7,1.00984572,61.004948,0.00979756
4/7/15,0.157575611,0.788084578,2,0.096445962,-0.036337625,5.10%,0.006903847,-14.2787301,-0.942190046,"388,380,000,000",2.15,7,1.00728301,61.449234,0.00725662
4/8/15,0.16536176,0.731788507,2,0.096445962,-0.036337625,5.10%,-0.002376363,47.34467382,-0.747668023,"388,380,000,000",2.15,7,0.98029152,60.238167,-0.0199053
4/9/15,0.167046869,0.747812833,2,0.096445962,-0.036337625,5.10%,0.007470462,-15.04768551,-0.993740395,"388,380,000,000",2.15,7,1.00701884,60.660973,0.00699433
4/10/15,0.168767523,0.769399016,2,0.096445962,-0.036337625,5.10%,0.015785801,-6.365720579,-1.154101512,"388,380,000,000",2.15,7,1.0107501,61.313087,0.01069273
4/13/15,0.168819334,0.769052118,2,0.096445962,-0.036337625,5.10%,0.017375388,-5.605396206,-1.053170233,"388,380,000,000",2.15,7,0.99742868,61.15543,-0.0025746
4/14/15,0.174660692,0.824869179,2,0.096445962,-0.036337625,5.10%,0.02182253,-3.747156167,-1.533319555,"388,380,000,000",2.15,7,1.01511602,62.079845,0.01500291
4/15/15,0.181075629,0.856719557,2,0.096445962,-0.036337625,5.10%,0.046476877,-1.654393984,-1.68139869,"388,380,000,000",2.15,7,1.01673791,63.118961,0.01659937
4/16/15,0.180836445,0.853260818,2,0.096445962,-0.036337625,5.10%,0.019103297,-4.670244418,-1.213978635,"388,380,000,000",2.15,7,0.99602635,62.868145,-0.0039816
4/17/15,0.182256729,0.855353241,2,0.096445962,-0.036337625,5.10%,0.029417444,-3.77550519,-0.861130117,"388,380,000,000",2.15,7,0.99088108,62.294834,-0.0091608
4/20/15,0.178293701,0.821558472,2,0.096445962,-0.036337625,5.10%,0.031438215,-3.572006699,-0.932326221,"388,380,000,000",2.15,7,1.00356606,62.516987,0.00355972
4/21/15,0.177927393,0.845438576,2,0.096445962,-0.036337625,5.10%,0.016830639,-7.218884187,-0.825754612,"388,380,000,000",2.15,7,0.99587344,62.259003,-0.0041351
4/22/15,0.175416041,0.881507539,2,0.096445962,-0.036337625,5.10%,0.034193152,-3.19597579,-0.93722225,"388,380,000,000",2.15,7,1.0066759,62.674641,0.00665371
4/23/15,0.174980847,0.876763827,2,0.096445962,-0.036337625,5.10%,0.031092748,-3.526892631,-0.876569762,"388,380,000,000",2.15,7,1.00091473,62.731968,0.00091431
4/24/15,0.176451615,0.950048349,2,0.096445962,-0.036337625,5.10%,0.030944074,-3.596991489,-0.748889441,"388,380,000,000",2.15,7,0.99348869,62.323513,-0.0065326
4/27/15,0.175755593,0.941411499,2,0.096445962,-0.036337625,5.10%,0.040219182,-2.855292849,-0.808422437,"388,380,000,000",2.15,7,1.00045994,62.35215,0.00045983
4/28/15,0.175103939,0.982880273,2,0.096445962,-0.036337625,5.10%,0.025025872,-4.528894141,-0.897827382,"388,380,000,000",2.15,7,1.00907943,62.918289,0.00903846
4/29/15,0.172904443,0.949231316,2,0.096445962,-0.036337625,5.10%,0.033206924,-3.472362433,-0.863268846,"388,380,000,000",2.15,7,1.00079727,62.968452,0.00079695
4/30/15,0.160746857,0.801042226,2,0.096445962,-0.036337625,5.10%,0.033873958,-3.850488298,-0.657505536,"388,380,000,000",2.15,7,0.99430978,62.610142,-0.0057065
5/1/15,0.156124047,0.801811417,2,0.096445962,-0.036337625,5.10%,0.052567587,-1.974989698,-1.081234874,"388,380,000,000",2.15,7,1.0169394,63.670742,0.01679752
5/4/15,0.156159013,0.812064408,2,0.096445962,-0.036337625,5.10%,0.045692181,-2.337332532,-1.138385492,"388,380,000,000",2.15,7,1.00292631,63.857048,0.00292204
5/5/15,0.155326841,0.80898547,2,0.096445962,-0.036337625,5.10%,0.032808602,-3.694432567,-1.061303566,"388,380,000,000",2.15,7,0.99438896,63.498749,-0.0056268
5/6/15,0.152300877,0.785910677,2,0.096445962,-0.036337625,5.10%,0.047962656,-2.577529696,-1.010745812,"388,380,000,000",2.15,7,0.99526014,63.197777,-0.0047511
5/7/15,0.153892359,0.943313408,2,0.096445962,-0.036337625,5.10%,0.034255903,-3.929669148,-0.918929429,"388,380,000,000",2.15,7,0.99330985,62.774963,-0.0067126
5/8/15,0.157951745,0.957944443,2,0.096445962,-0.036337625,5.10%,0.039305868,-2.82858211,-1.330547022,"388,380,000,000",2.15,7,1.01586758,63.771053,0.01574301
5/11/15,0.17343373,1.064270632,2,0.096445962,-0.036337625,5.10%,0.024969761,-5.255747766,-0.989156041,"388,380,000,000",2.15,7,0.97516576,62.701702,-0.0251478
5/12/15,0.158986478,0.933730492,2,0.096445962,-0.036337625,5.10%,0.012728388,-10.30888645,-0.98646395,"388,380,000,000",2.15,7,1.00276559,62.875103,0.00276177
5/13/15,0.158198749,0.940232055,2,0.096445962,-0.036337625,5.10%,-0.009170703,15.02463526,-0.987053642,"388,380,000,000",2.15,7,0.99471387,62.542744,-0.0053002
5/14/15,0.157192011,0.8850946,2,0.096445962,-0.036337625,5.10%,-0.000463983,285.305364,-1.093502321,"388,380,000,000",2.15,7,1.00473663,62.838982,0.00472545
5/15/15,0.157229728,0.897393468,2,0.096445962,-0.036337625,5.10%,0.013056696,-8.665676728,-1.276934271,"388,380,000,000",2.15,7,1.00436929,63.113533,0.00435977
5/18/15,0.156291236,0.860887821,2,0.096445962,-0.036337625,5.10%,0.003756313,-31.54398,-1.197638949,"388,380,000,000",2.15,7,0.9942759,62.75227,-0.0057405
5/19/15,0.155079528,0.890084263,2,0.096445962,-0.036337625,5.10%,0.009502452,-12.43549502,-1.260112692,"388,380,000,000",2.15,7,1.00161197,62.853436,0.00161068
5/20/15,0.142726275,0.939802257,2,0.096445962,-0.036337625,5.10%,0.004456407,-25.71015809,-1.252808563,"388,380,000,000",2.15,7,1.00160937,62.954575,0.00160808
5/21/15,0.141669475,0.927070857,2,0.096445962,-0.036337625,5.10%,0.004460136,-28.49150747,-1.145426952,"388,380,000,000",2.15,7,1.00091819,63.012386,0.00091777
5/22/15,0.140868263,0.918365944,2,0.096445962,-0.036337625,5.10%,0.00304925,-42.57153754,-1.051641497,"388,380,000,000",2.15,7,0.99208804,62.513844,-0.0079434
5/26/15,0.14635157,0.959271865,2,0.096445962,-0.036337625,5.10%,-0.011025646,12.84744984,-0.818743374,"388,380,000,000",2.15,7,0.98647713,61.668472,-0.0136151
5/27/15,0.139366011,0.859977106,2,0.096445962,-0.036337625,5.10%,-0.022880229,6.331334445,-0.825584768,"388,380,000,000",2.15,7,0.99718808,61.495049,-0.0028159
5/28/15,0.129408357,0.810827524,2,0.096445962,-0.036337625,5.10%,-0.023676945,5.993107625,-0.855721498,"388,380,000,000",2.15,7,1,61.495049,0
5/29/15,0.129262516,0.772647015,2,0.096445962,-0.036337625,5.10%,-0.01691339,8.44991435,-1.042216011,"388,380,000,000",2.15,7,1.00105741,61.560085,0.00105685
6/1/15,0.126917653,0.779717014,2,0.096445962,-0.036337625,5.10%,-0.03453329,3.949949456,-1.193304557,"388,380,000,000",2.15,7,0.9991784,61.509525,-0.0008219
6/2/15,0.126310458,0.79768192,2,0.096445962,-0.036337625,5.10%,-0.037337578,3.49248777,-1.318706106,"388,380,000,000",2.15,7,1.00011749,61.516731,0.00011748
6/3/15,0.125993345,0.787277529,2,0.096445962,-0.036337625,5.10%,-0.033944722,4.039745271,-1.2461506,"388,380,000,000",2.15,7,0.99776836,61.379459,-0.0022341
6/4/15,0.125978778,0.777132528,2,0.096445962,-0.036337625,5.10%,-0.037824292,3.761228979,-1.161285697,"388,380,000,000",2.15,7,0.99140676,60.851994,-0.0086304
6/5/15,0.125950249,0.772402026,2,0.096445962,-0.036337625,5.10%,-0.03039948,4.823723526,-0.908468114,"388,380,000,000",2.15,7,1.0007124,60.895359,0.00071214
6/8/15,0.126988585,0.727468691,2,0.096445962,-0.036337625,5.10%,-0.039401872,3.814198479,-0.889079361,"388,380,000,000",2.15,7,1.00676316,61.30719,0.00674039
6/9/15,0.127115399,0.740290869,2,0.096445962,-0.036337625,5.10%,-0.025678436,5.946092004,-0.84206571,"388,380,000,000",2.15,7,0.99681796,61.112118,-0.0031871
6/10/15,0.126085106,0.713917519,2,0.096445962,-0.036337625,5.10%,-0.021019154,6.882972164,-0.988905282,"388,380,000,000",2.15,7,1.00744853,61.567322,0.00742093
6/11/15,0.125978924,0.723187536,2,0.096445962,-0.036337625,5.10%,-0.017128694,8.80986839,-0.857523043,"388,380,000,000",2.15,7,0.99859168,61.480602,-0.0014093
6/12/15,0.12971192,0.784823561,2,0.096445962,-0.036337625,5.10%,-0.034508418,4.657043476,-0.77488954,"388,380,000,000",2.15,7,0.98742509,60.707504,-0.0126546
6/15/15,0.117762392,0.681356645,2,0.096445962,-0.036337625,5.10%,-0.042445061,4.098839462,-0.589285144,"388,380,000,000",2.15,7,0.99642947,60.490746,-0.0035769
